GROUP,Species,Strain,Protein,DNA,GFF3,Short,TaxonGroup
IN,Anthracina ramosa,CGMCC 3.16372,Anthracina_ramosa_CGMCC_3.16372.proteins.fa,Anthracina_ramosa_CGMCC_3.16372.scaffolds.fa,Anthracina_ramosa_CGMCC_3.16372.gff3,Anthramo,Chaetothyriales
IN,Arthrocladium fulminans,CBS 136243,Arthrocladium_fulminans_CBS_136243.proteins.fa,Arthrocladium_fulminans_CBS_136243.scaffolds.fa,Arthrocladium_fulminans_CBS_136243.gff3,Arthfulm,Chaetothyriales
IN,Bradymyces pullus,CGMCC 3.17288,Bradymyces_pullus_CGMCC_3.17288.proteins.fa,Bradymyces_pullus_CGMCC_3.17288.scaffolds.fa,Bradymyces_pullus_CGMCC_3.17288.gff3,Bradpull,Chaetothyriales
IN,Camptophora hylomeconis,CBS 113311,Camptophora_hylomeconis_CBS_113311.proteins.fa,Camptophora_hylomeconis_CBS_113311.scaffolds.fa,Camptophora_hylomeconis_CBS_113311.gff3,Camphylo,Chaetothyriales
IN,Capronia coronata,CBS 617.96,Capronia_coronata_CBS_617.96.proteins.fa,Capronia_coronata_CBS_617.96.scaffolds.fa,Capronia_coronata_CBS_617.96.gff3,Caprcoro,Chaetothyriales
IN,Capronia epimyces,CBS 606.96,Capronia_epimyces_CBS_606.96.proteins.fa,Capronia_epimyces_CBS_606.96.scaffolds.fa,Capronia_epimyces_CBS_606.96.gff3,Caprepim,Chaetothyriales
IN,Chaetothyriales sp. BF4,BF4,Chaetothyriales_sp._BF4_BF4.proteins.fa,Chaetothyriales_sp._BF4_BF4.scaffolds.fa,Chaetothyriales_sp._BF4_BF4.gff3,Chaesp,Chaetothyriales
IN,Chaetothyriales sp. CBS 132003,CBS 132003,Chaetothyriales_sp._CBS_132003_CBS_132003.proteins.fa,Chaetothyriales_sp._CBS_132003_CBS_132003.scaffolds.fa,Chaetothyriales_sp._CBS_132003_CBS_132003.gff3,Chaesp2,Chaetothyriales
IN,Chaetothyriales sp. CBS 134916,CBS 134916,Chaetothyriales_sp._CBS_134916_CBS_134916.proteins.fa,Chaetothyriales_sp._CBS_134916_CBS_134916.scaffolds.fa,Chaetothyriales_sp._CBS_134916_CBS_134916.gff3,Chaesp3,Chaetothyriales
IN,Chaetothyriales sp. CBS 134920,CBS 134920,Chaetothyriales_sp._CBS_134920_CBS_134920.proteins.fa,Chaetothyriales_sp._CBS_134920_CBS_134920.scaffolds.fa,Chaetothyriales_sp._CBS_134920_CBS_134920.gff3,Chaesp4,Chaetothyriales
IN,Chaetothyriales sp. CBS 135597,CBS 135597,Chaetothyriales_sp._CBS_135597_CBS_135597.proteins.fa,Chaetothyriales_sp._CBS_135597_CBS_135597.scaffolds.fa,Chaetothyriales_sp._CBS_135597_CBS_135597.gff3,Chaesp5,Chaetothyriales
IN,Cladophialophora bantiana,CBS 173.52,Cladophialophora_bantiana_CBS_173.52.proteins.fa,Cladophialophora_bantiana_CBS_173.52.scaffolds.fa,Cladophialophora_bantiana_CBS_173.52.gff3,Cladban2,Chaetothyriales
IN,Cladophialophora bantiana,BMU 10859,Cladophialophora_bantiana_BMU_10859.proteins.fa,Cladophialophora_bantiana_BMU_10859.scaffolds.fa,Cladophialophora_bantiana_BMU_10859.gff3,Cladbant,Chaetothyriales
IN,Cladophialophora carrionii,KSF,Cladophialophora_carrionii_KSF.proteins.fa,Cladophialophora_carrionii_KSF.scaffolds.fa,Cladophialophora_carrionii_KSF.gff3,Cladcar2,Chaetothyriales
IN,Cladophialophora carrionii,CBS 160.54,Cladophialophora_carrionii_CBS_160.54.proteins.fa,Cladophialophora_carrionii_CBS_160.54.scaffolds.fa,Cladophialophora_carrionii_CBS_160.54.gff3,Cladcarr,Chaetothyriales
IN,Cladophialophora chaetospira,TK_41,Cladophialophora_chaetospira_TK_41.proteins.fa,Cladophialophora_chaetospira_TK_41.scaffolds.fa,Cladophialophora_chaetospira_TK_41.gff3,Cladchae,Chaetothyriales
IN,Cladophialophora endolichena,BF3,Cladophialophora_endolichena_BF3.proteins.fa,Cladophialophora_endolichena_BF3.scaffolds.fa,Cladophialophora_endolichena_BF3.gff3,Cladendo,Chaetothyriales
IN,Cladophialophora exuberans,CMRP1227,Cladophialophora_exuberans_CMRP1227.proteins.fa,Cladophialophora_exuberans_CMRP1227.scaffolds.fa,Cladophialophora_exuberans_CMRP1227.gff3,Cladexub,Chaetothyriales
IN,Cladophialophora humicola,CBS 117536,Cladophialophora_humicola_CBS_117536.proteins.fa,Cladophialophora_humicola_CBS_117536.scaffolds.fa,Cladophialophora_humicola_CBS_117536.gff3,Cladhumi,Chaetothyriales
IN,Cladophialophora immunda,CBS 83496,Cladophialophora_immunda_CBS_83496.proteins.fa,Cladophialophora_immunda_CBS_83496.scaffolds.fa,Cladophialophora_immunda_CBS_83496.gff3,Cladimmu,Chaetothyriales
IN,Cladophialophora minutissima,CBS 121758,Cladophialophora_minutissima_CBS_121758.proteins.fa,Cladophialophora_minutissima_CBS_121758.scaffolds.fa,Cladophialophora_minutissima_CBS_121758.gff3,Cladminu,Chaetothyriales
IN,Cladophialophora psammophila,CBS 110553,Cladophialophora_psammophila_CBS_110553.proteins.fa,Cladophialophora_psammophila_CBS_110553.scaffolds.fa,Cladophialophora_psammophila_CBS_110553.gff3,Cladpsam,Chaetothyriales
IN,Cladophialophora sylvestris,CBS 350.83,Cladophialophora_sylvestris_CBS_350.83.proteins.fa,Cladophialophora_sylvestris_CBS_350.83.scaffolds.fa,Cladophialophora_sylvestris_CBS_350.83.gff3,Cladsylv,Chaetothyriales
IN,Cladophialophora yegresii,CBS 114405,Cladophialophora_yegresii_CBS_114405.proteins.fa,Cladophialophora_yegresii_CBS_114405.scaffolds.fa,Cladophialophora_yegresii_CBS_114405.gff3,Cladyegr,Chaetothyriales
IN,Cyphellophora europaea,CBS 101466,Cyphellophora_europaea_CBS_101466.proteins.fa,Cyphellophora_europaea_CBS_101466.scaffolds.fa,Cyphellophora_europaea_CBS_101466.gff3,Cypheur2,Chaetothyriales
IN,Cyphellophora europaea,C02,Cyphellophora_europaea_C02.proteins.fa,Cyphellophora_europaea_C02.scaffolds.fa,Cyphellophora_europaea_C02.gff3,Cypheuro,Chaetothyriales
IN,Epibryon bryophilum,CBS 126278,Epibryon_bryophilum_CBS_126278.proteins.fa,Epibryon_bryophilum_CBS_126278.scaffolds.fa,Epibryon_bryophilum_CBS_126278.gff3,Epibbryo,Chaetothyriales
IN,Epibryon interlamellare,CBS 126286,Epibryon_interlamellare_CBS_126286.proteins.fa,Epibryon_interlamellare_CBS_126286.scaffolds.fa,Epibryon_interlamellare_CBS_126286.gff3,Epibinte,Chaetothyriales
IN,Epibryon turfosorum,CBS 126587,Epibryon_turfosorum_CBS_126587.proteins.fa,Epibryon_turfosorum_CBS_126587.scaffolds.fa,Epibryon_turfosorum_CBS_126587.gff3,Epibturf,Chaetothyriales
IN,Exophiala alcalophila,JCM 1751,Exophiala_alcalophila_JCM_1751.proteins.fa,Exophiala_alcalophila_JCM_1751.scaffolds.fa,Exophiala_alcalophila_JCM_1751.gff3,Exopalca,Chaetothyriales
IN,Exophiala aquamarina,CBS 119918,Exophiala_aquamarina_CBS_119918.proteins.fa,Exophiala_aquamarina_CBS_119918.scaffolds.fa,Exophiala_aquamarina_CBS_119918.gff3,Exopaqua,Chaetothyriales
IN,Exophiala bonariae,CCFEE 5792,Exophiala_bonariae_CCFEE_5792.proteins.fa,Exophiala_bonariae_CCFEE_5792.scaffolds.fa,Exophiala_bonariae_CCFEE_5792.gff3,Exopbona,Chaetothyriales
IN,Exophiala calicioides,JCM 6030,Exophiala_calicioides_JCM_6030.proteins.fa,Exophiala_calicioides_JCM_6030.scaffolds.fa,Exophiala_calicioides_JCM_6030.gff3,Exopcali,Chaetothyriales
IN,Exophiala dermatitidis,Ex19,Exophiala_dermatitidis_Ex19.proteins.fa,Exophiala_dermatitidis_Ex19.scaffolds.fa,Exophiala_dermatitidis_Ex19.gff3,Exopde17,Chaetothyriales
IN,Exophiala dermatitidis,CBS 115663,Exophiala_dermatitidis_CBS_115663.proteins.fa,Exophiala_dermatitidis_CBS_115663.scaffolds.fa,Exophiala_dermatitidis_CBS_115663.gff3,Exopder2,Chaetothyriales
IN,Exophiala lecanii-corni,CBS 102400,Exophiala_lecanii-corni_CBS_102400.proteins.fa,Exophiala_lecanii-corni_CBS_102400.scaffolds.fa,Exophiala_lecanii-corni_CBS_102400.gff3,Exopleca,Chaetothyriales
IN,Exophiala mesophila,CCFEE 6314,Exophiala_mesophila_CCFEE_6314.proteins.fa,Exophiala_mesophila_CCFEE_6314.scaffolds.fa,Exophiala_mesophila_CCFEE_6314.gff3,Exopmes3,Chaetothyriales
IN,Exophiala mesophila,CBS 120910,Exophiala_mesophila_CBS_120910.proteins.fa,Exophiala_mesophila_CBS_120910.scaffolds.fa,Exophiala_mesophila_CBS_120910.gff3,Exopmeso,Chaetothyriales
IN,Exophiala oligosperma,CBS 72588,Exophiala_oligosperma_CBS_72588.proteins.fa,Exophiala_oligosperma_CBS_72588.scaffolds.fa,Exophiala_oligosperma_CBS_72588.gff3,Exopoli2,Chaetothyriales
IN,Exophiala oligosperma,CCFEE 6327,Exophiala_oligosperma_CCFEE_6327.proteins.fa,Exophiala_oligosperma_CCFEE_6327.scaffolds.fa,Exophiala_oligosperma_CCFEE_6327.gff3,Exopoli3,Chaetothyriales
IN,Exophiala phaeomuriformis,CBS 132758,Exophiala_phaeomuriformis_CBS_132758.proteins.fa,Exophiala_phaeomuriformis_CBS_132758.scaffolds.fa,Exophiala_phaeomuriformis_CBS_132758.gff3,Exopphae,Chaetothyriales
IN,Exophiala sideris,CCFEE 5748,Exophiala_sideris_CCFEE_5748.proteins.fa,Exophiala_sideris_CCFEE_5748.scaffolds.fa,Exophiala_sideris_CCFEE_5748.gff3,Exopsid2,Chaetothyriales
IN,Exophiala sideris,CCFEE 6328,Exophiala_sideris_CCFEE_6328.proteins.fa,Exophiala_sideris_CCFEE_6328.scaffolds.fa,Exophiala_sideris_CCFEE_6328.gff3,Exopsid4,Chaetothyriales
IN,Exophiala sp.,S2_009_000R2a,Exophiala_sp._S2_009_000R2a.proteins.fa,Exophiala_sp._S2_009_000R2a.scaffolds.fa,Exophiala_sp._S2_009_000R2a.gff3,Exopsp,Chaetothyriales
IN,Exophiala spinifera,JCM 15939,Exophiala_spinifera_JCM_15939.proteins.fa,Exophiala_spinifera_JCM_15939.scaffolds.fa,Exophiala_spinifera_JCM_15939.gff3,Exopsp11,Chaetothyriales
IN,Exophiala sp. BF2,BF2,Exophiala_sp._BF2_BF2.proteins.fa,Exophiala_sp._BF2_BF2.scaffolds.fa,Exophiala_sp._BF2_BF2.gff3,Exopsp2,Chaetothyriales
IN,Exophiala sp. BO6,BO6,Exophiala_sp._BO6_BO6.proteins.fa,Exophiala_sp._BO6_BO6.scaffolds.fa,Exophiala_sp._BO6_BO6.gff3,Exopsp3,Chaetothyriales
IN,Exophiala sp. CCFEE 6169,CCFEE 6169,Exophiala_sp._CCFEE_6169_CCFEE_6169.proteins.fa,Exophiala_sp._CCFEE_6169_CCFEE_6169.scaffolds.fa,Exophiala_sp._CCFEE_6169_CCFEE_6169.gff3,Exopsp4,Chaetothyriales
