GROUP,Species,Strain,Protein,DNA,GFF3,Short,TaxonGroup
OUT,Neolecta irregularis,DAH-3,Neolecta_irregularis_DAH-3.proteins.fa,Neolecta_irregularis_DAH-3.scaffolds.fa,Neolecta_irregularis_DAH-3.gff3,Nirr,Taphrinomycotina
OUT,Schizosaccharomyces pombe,972h,Schizosaccharomyces_pombe_972h.pep.fa,Schizosaccharomyces_pombe_972h-.scaffolds.fa,,Spom,Taphrinomycotina
OUT,Saccharomyces cerevisiae,S288c,Saccharomyces_cerevisiae_S288C.pep.fa,Saccharomyces_cerevisiae_S288c.scaffolds.fa,,Scer,Saccharomycotina
OUT,Yarrowia lipolytica,CLIB122,Yarrowia_lipolytica_CLIB122.proteins.fa,Yarrowia_lipolytica_CLIB122.scaffolds.fa,Yarrowia_lipolytica_CLIB122.gff3,Ylip,Saccharomycotina
IN,Neurospora crassa,OR74A,Neurospora_crassa_OR74A.pep.fa,Neurospora_crassa_OR74A.scaffolds.fa,,Ncra,Sordariomycete
IN,Aspergillus fumigatus,Af293,Aspergillus_fumigatus_Af293.pep.fa,Aspergillus_fumigatus_Af293.dna.fa,,Afum,Eurotiomycete
IN,Fusarium graminearum,PH-1,Fusarium_graminearum_PH-1.proteins.fa,Fusarium_graminearum_PH-1.scaffolds.fa,Fusarium_graminearum_PH-1.gff3,FgraPH1,Sordariomycete
IN,Coccidioides immitis,WA_211,Coccidioides_immitis_WA_211.proteins.fa,Coccidioides_immitis_WA_211.scaffolds.fa,Coccidioides_immitis_WA_211.gff3,Cimm,Eurotiomycete
OUT,Zymoseptoria tritici,,Zymoseptoria_tritici.proteins.fa,Zymoseptoria_tritici.scaffolds.fa,Zymoseptoria_tritici.gff3,Ztri,Dothideomycete
OUT,Cryptococcus neoformans,H99,Cryptococcus_neoformans_H99.pep.fa,Cryptococcus_neoformans_H99.scaffolds.fa,,CneoH99,Basidiomycota
OUT,Coprinus cinerea,okyama 7-130,Coprinus_cinerea.pep.fa,Coprinus_cinerea.scaffolds.fa,,Ccin,Basidiomycota
OUT,Mucor circinelloides,1006PhL,Mucor_circinelloides.pep.fa,Mucor_circinelloides.scaffolds.fa,,Mcir,Mucoromycotina
