Species,Strain,Protein,DNA,Short,Lineage
Neolecta irregularis,DAH-3,Neolecta_irregularis_DAH-3.proteins.fa,Neolecta_irregularis_DAH-3.scaffolds.fa,Nirr,Fungi;Ascomycota;Taphrinomycotina;Neolectomycetes;Neolectales;Neolecta
Schizosaccharomyces pombe,972h,Schizosaccharomyces_pombe_972h.pep.fa,Schizosaccharomyces_pombe_972h-.scaffolds.fa,Spom,Fungi;Ascomycota;Taphrinomycotina;Schizosaccharomycetes;Schizosaccharomycetales;Schizosaccharomyces
Saccharomyces cerevisiae,S288c,Saccharomyces_cerevisiae_S288C.pep.fa,Saccharomyces_cerevisiae_S288c.scaffolds.fa,Scer,Fungi;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomyces
Neurospora crassa,OR74A,Neurospora_crassa_OR74A.pep.fa,Neurospora_crassa_OR74A.scaffolds.fa,Ncra,Fungi;Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Neurospora
Aspergillus fumigatus,Af293,Aspergillus_fumigatus_Af293.pep.fa,Aspergillus_fumigatus_Af293.dna.fa,Afum,Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillus
Zymoseptoria tritici,,Zymoseptoria_tritici.proteins.fa,Zymoseptoria_tritici.scaffolds.fa,Ztri,Fungi;Ascomycota;Pezizomycotina;Dothideomycetes;Mycosphaerellales;Zymoseptoria
Coccidioides immitis,WA_211,Coccidioides_immitis_WA_211.proteins.fa,Coccidioides_immitis_WA_211.scaffolds.fa,Cimm,Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes;Onygenales;Coccidioides
Cryptococcus neoformans,H99,Cryptococcus_neoformans_H99.pep.fa,Cryptococcus_neoformans_H99.scaffolds.fa,CneoH99,Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Cryptococcus
Coprinus cinerea,okyama 7-130,Coprinus_cinerea.pep.fa,Coprinus_cinerea.scaffolds.fa,Ccin,Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Coprinus
Mucor circinelloides,1006PhL,Mucor_circinelloides.pep.fa,Mucor_circinelloides.scaffolds.fa,Mcir,Fungi;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucor
Antarctolithica obscura,MARS-82_9,Antarctolithica_obscura_FM_MARS-82_9.pep.fa,Antarctolithica_obscura_FM_MARS-82_9.scaffolds.fa,AOBS82_9,Fungi;Ascomycota;Antarctolithicomycotina;Antarctolithicomycetes;Antarctolithicales;Antarctolithica
Antarctolithica obscura,MARS-17_30,Antarctolithica_obscura_FM_MARS-17_30.pep.fa,Antarctolithica_obscura_FM_MARS-17_30.scaffolds.fa,AOBS17_30,Fungi;Ascomycota;Antarctolithicomycotina;Antarctolithicomycetes;Antarctolithicales;Antarctolithica
