GROUP,Species,Strain,Protein,DNA,GFF3,Short,TaxonGroup
IN,Anthracina ramosa,CGMCC 3.16372,Anthracina_ramosa_CGMCC_3.16372.proteins.fa,Anthracina_ramosa_CGMCC_3.16372.scaffolds.fa,Anthracina_ramosa_CGMCC_3.16372.gff3,Anthramo,Chaetothyriales
IN,Capronia coronata,CBS 617.96,Capronia_coronata_CBS_617.96.proteins.fa,Capronia_coronata_CBS_617.96.scaffolds.fa,Capronia_coronata_CBS_617.96.gff3,Caprcoro,Chaetothyriales
IN,Chaetothyriales sp. CBS 134916,CBS 134916,Chaetothyriales_sp._CBS_134916_CBS_134916.proteins.fa,Chaetothyriales_sp._CBS_134916_CBS_134916.scaffolds.fa,Chaetothyriales_sp._CBS_134916_CBS_134916.gff3,Chaesp3,Chaetothyriales
IN,Cladophialophora bantiana,BMU 10859,Cladophialophora_bantiana_BMU_10859.proteins.fa,Cladophialophora_bantiana_BMU_10859.scaffolds.fa,Cladophialophora_bantiana_BMU_10859.gff3,Cladbant,Chaetothyriales
IN,Cladophialophora endolichena,BF3,Cladophialophora_endolichena_BF3.proteins.fa,Cladophialophora_endolichena_BF3.scaffolds.fa,Cladophialophora_endolichena_BF3.gff3,Cladendo,Chaetothyriales
IN,Cladophialophora minutissima,CBS 121758,Cladophialophora_minutissima_CBS_121758.proteins.fa,Cladophialophora_minutissima_CBS_121758.scaffolds.fa,Cladophialophora_minutissima_CBS_121758.gff3,Cladminu,Chaetothyriales
IN,Cyphellophora europaea,CBS 101466,Cyphellophora_europaea_CBS_101466.proteins.fa,Cyphellophora_europaea_CBS_101466.scaffolds.fa,Cyphellophora_europaea_CBS_101466.gff3,Cypheur2,Chaetothyriales
IN,Epibryon turfosorum,CBS 126587,Epibryon_turfosorum_CBS_126587.proteins.fa,Epibryon_turfosorum_CBS_126587.scaffolds.fa,Epibryon_turfosorum_CBS_126587.gff3,Epibturf,Chaetothyriales
IN,Exophiala calicioides,JCM 6030,Exophiala_calicioides_JCM_6030.proteins.fa,Exophiala_calicioides_JCM_6030.scaffolds.fa,Exophiala_calicioides_JCM_6030.gff3,Exopcali,Chaetothyriales
IN,Exophiala mesophila,CCFEE 6314,Exophiala_mesophila_CCFEE_6314.proteins.fa,Exophiala_mesophila_CCFEE_6314.scaffolds.fa,Exophiala_mesophila_CCFEE_6314.gff3,Exopmes3,Chaetothyriales
IN,Exophiala phaeomuriformis,CBS 132758,Exophiala_phaeomuriformis_CBS_132758.proteins.fa,Exophiala_phaeomuriformis_CBS_132758.scaffolds.fa,Exophiala_phaeomuriformis_CBS_132758.gff3,Exopphae,Chaetothyriales
IN,Exophiala spinifera,JCM 15939,Exophiala_spinifera_JCM_15939.proteins.fa,Exophiala_spinifera_JCM_15939.scaffolds.fa,Exophiala_spinifera_JCM_15939.gff3,Exopsp11,Chaetothyriales
IN,Exophiala sp. CCFEE 6388,CCFEE 6388,Exophiala_sp._CCFEE_6388_CCFEE_6388.proteins.fa,Exophiala_sp._CCFEE_6388_CCFEE_6388.scaffolds.fa,Exophiala_sp._CCFEE_6388_CCFEE_6388.gff3,Exopsp5,Chaetothyriales
IN,Exophiala viscosa,JF 03-4F,Exophiala_viscosa_JF_03-4F.proteins.fa,Exophiala_viscosa_JF_03-4F.scaffolds.fa,Exophiala_viscosa_JF_03-4F.gff3,Exopvis2,Chaetothyriales
IN,Fonsecaea erecta,CBS 125763,Fonsecaea_erecta_CBS_125763.proteins.fa,Fonsecaea_erecta_CBS_125763.scaffolds.fa,Fonsecaea_erecta_CBS_125763.gff3,Fonserec,Chaetothyriales
IN,Fonsecaea nubica,CBS 269.64,Fonsecaea_nubica_CBS_269.64.proteins.fa,Fonsecaea_nubica_CBS_269.64.scaffolds.fa,Fonsecaea_nubica_CBS_269.64.gff3,Fonsnubi,Chaetothyriales
IN,Knufia fluminis,FJI-L2-BK-P2,Knufia_fluminis_FJI-L2-BK-P2.proteins.fa,Knufia_fluminis_FJI-L2-BK-P2.scaffolds.fa,Knufia_fluminis_FJI-L2-BK-P2.gff3,Knufflum,Chaetothyriales
IN,Neophaeococcomyces aloes,FJII-L3-CM-P2,Neophaeococcomyces_aloes_FJII-L3-CM-P2.proteins.fa,Neophaeococcomyces_aloes_FJII-L3-CM-P2.scaffolds.fa,Neophaeococcomyces_aloes_FJII-L3-CM-P2.gff3,Neopaloe,Chaetothyriales
IN,Rhinocladiella mackenziei,IHM 22877,Rhinocladiella_mackenziei_IHM_22877.proteins.fa,Rhinocladiella_mackenziei_IHM_22877.scaffolds.fa,Rhinocladiella_mackenziei_IHM_22877.gff3,Rhinmac2,Chaetothyriales
IN,Coccidioides immitis,WA_211,Coccidioides_immitis_WA_211.proteins.fa,Coccidioides_immitis_WA_211.scaffolds.fa,Coccidioides_immitis_WA_211.gff3,Cimm,Pezizomycotina
OUT,Amauroascus verrucosus,UAMH 3576,Amauroascus_verrucosus_UAMH_3576.proteins.fa,Amauroascus_verrucosus_UAMH_3576.scaffolds.fa,Amauroascus_verrucosus_UAMH_3576.gff3,Amauverr,Onygenales
OUT,Arthroderma sp. MBC 290,MBC 290,Arthroderma_sp._MBC_290_MBC_290.proteins.fa,Arthroderma_sp._MBC_290_MBC_290.scaffolds.fa,Arthroderma_sp._MBC_290_MBC_290.gff3,Arthsp,Onygenales
OUT,Arthroderma sp. PD_2,PD_2,Arthroderma_sp._PD_2_PD_2.proteins.fa,Arthroderma_sp._PD_2_PD_2.scaffolds.fa,Arthroderma_sp._PD_2_PD_2.gff3,Arthsp5,Onygenales
OUT,Ascosphaera aggregata,USDA-ARS PIBMSR Wild2,Ascosphaera_aggregata_USDA-ARS_PIBMSR_Wild2.proteins.fa,Ascosphaera_aggregata_USDA-ARS_PIBMSR_Wild2.scaffolds.fa,Ascosphaera_aggregata_USDA-ARS_PIBMSR_Wild2.gff3,Ascoaggr,Onygenales
OUT,Ascosphaera pollenicola,ATCC 62712,Ascosphaera_pollenicola_ATCC_62712.proteins.fa,Ascosphaera_pollenicola_ATCC_62712.scaffolds.fa,Ascosphaera_pollenicola_ATCC_62712.gff3,Ascopoll,Onygenales
OUT,Aspergillus aflatoxiformans,LH_A394,Aspergillus_aflatoxiformans_LH_A394.proteins.fa,Aspergillus_aflatoxiformans_LH_A394.scaffolds.fa,Aspergillus_aflatoxiformans_LH_A394.gff3,Aspeafla,Eurotiales
OUT,Aspergillus austwickii,LH_A515,Aspergillus_austwickii_LH_A515.proteins.fa,Aspergillus_austwickii_LH_A515.scaffolds.fa,Aspergillus_austwickii_LH_A515.gff3,Aspeaust,Eurotiales
OUT,Aspergillus bombycis,NRRL26010,Aspergillus_bombycis_NRRL26010.proteins.fa,Aspergillus_bombycis_NRRL26010.scaffolds.fa,Aspergillus_bombycis_NRRL26010.gff3,Aspebom2,Eurotiales
OUT,Aspergillus bridgeri,NRRL 13000,Aspergillus_bridgeri_NRRL_13000.proteins.fa,Aspergillus_bridgeri_NRRL_13000.scaffolds.fa,Aspergillus_bridgeri_NRRL_13000.gff3,Aspebrid,Eurotiales
OUT,Aspergillus carbonarius,ITEM 5010,Aspergillus_carbonarius_ITEM_5010.proteins.fa,Aspergillus_carbonarius_ITEM_5010.scaffolds.fa,Aspergillus_carbonarius_ITEM_5010.gff3,Aspecarb,Eurotiales
OUT,Aspergillus clavatus,NRRL 1,Aspergillus_clavatus_NRRL_1.proteins.fa,Aspergillus_clavatus_NRRL_1.scaffolds.fa,Aspergillus_clavatus_NRRL_1.gff3,Aspecla2,Eurotiales
OUT,Aspergillus costaricensis,CBS 115574,Aspergillus_costaricensis_CBS_115574.proteins.fa,Aspergillus_costaricensis_CBS_115574.scaffolds.fa,Aspergillus_costaricensis_CBS_115574.gff3,Aspecost,Eurotiales
OUT,Aspergillus croceus,JS3-P1,Aspergillus_croceus_JS3-P1.proteins.fa,Aspergillus_croceus_JS3-P1.scaffolds.fa,Aspergillus_croceus_JS3-P1.gff3,Aspecroc,Eurotiales
