taxon,growthForm,guild,trophicMode,confidenceRanking,n_assemblies
Aaosphaeria,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,2
Abortiporus,Polyporoid,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Highly Probable,1
Absidia,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,4
Acaromyces ingoldii,Dimorphic,Animal Pathogen,Pathotroph,Highly Probable,1
Acarospora,Thallus,|Lichenized|,Symbiotroph,Highly Probable,2
Acaulopage,Microfungus,Animal Parasite-Animal Pathogen-|Protist Parasite|,Pathotroph,Probable,1
Acaulospora,Microfungus,|Arbuscular Mycorrhizal|-Endophyte,Symbiotroph,Highly Probable,2
Acephala,Microfungus,Ectomycorrhizal-Endophyte-|Undefined Saprotroph|,Saprotroph-Symbiotroph,Possible,1
Achaetomium,Microfungus,Endophyte-|Undefined Saprotroph|,Saprotroph-Symbiotroph,Probable,1
Aciculoconidium,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,1
Aciculosporium,Microfungus,Endophyte-|Plant Pathogen|,Pathotroph-Symbiotroph,Probable,1
Acidiella bohemica,Microfungus,Soil Saprotroph,Saprotroph,Highly Probable,1
Acidomyces,Microfungus,Endophyte-Plant Pathogen-|Undefined Saprotroph|-Unknown Saprotroph-Wood Saprotroph,Pathotroph-Pathotroph-Saprotroph-Symbiotroph,Possible,1
Acremonium,Microfungus,Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-|Undefined Saprotroph|-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,2
Acrocalymma,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Acrodontium,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,1
Actinomucor,Microfungus,Animal Parasite-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,1
Aeminium,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,1
Afroboletus,Agaricoid-Secotioid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Agaricales,Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,1
Agaricus,Agaricoid-Gasteroid-Secotioid,|Undefined Saprotroph|,Saprotroph,Probable,5
Agmasoma,Microfungus,|Animal Parasite|,Pathotroph,Probable,1
Agrocybe,Agaricoid,Dung Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,4
Agyrium,Microfungus-Thallus,Lichenized-|Undefined Saprotroph|,Saprotroph-Symbiotroph,Highly Probable,1
Akanthomyces,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,3
Albatrellus,Agaricoid-Polyporoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,2
Albifimbria verrucaria,Microfungus,Fungal Parasite-Soil Saprotroph-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Albophoma,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Alectoria,Thallus,|Lichenized|,Symbiotroph,Highly Probable,2
Allantophomopsis cytisporea,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Allantophomopsis lycopodina,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Alloascoidea,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,2
Allodekkera,Yeast,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Allomyces,Chytrid-Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,2
Allomyces arbusculus,NULL,Undefined Saprotroph,Saprotroph,Probable,1
Alternaria,Microfungus,Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,48
Alternaria alternata,Microfungus,Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Alternaria brassicae,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Alternaria brassicicola,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Alternaria dauci,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Alternaria infectoria,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Alternaria longipes,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Alternaria panax,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Alternaria porri,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Alternaria solani,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Alternaria tenuissima,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Probable,1
Alternaria triticina,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Alternosema,Microfungus,|Animal Parasite|,Pathotroph,Probable,1
Alyxoria,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Amanita,Agaricoid,|Ectomycorrhizal|-Undefined Saprotroph,Saprotroph-Symbiotroph,Probable,9
Amanita bisporigera,Agaricoid,Ectomycorrhizal,Symbiotroph,Probable,1
Amanita brunnescens,Agaricoid,Ectomycorrhizal,Symbiotroph,Probable,1
Amanita exitialis,Agaricoid,Ectomycorrhizal,Symbiotroph,Probable,1
Amanita muscaria,Agaricoid,Ectomycorrhizal,Symbiotroph,Probable,1
Amanita phalloides,Agaricoid,Ectomycorrhizal,Symbiotroph,Highly Probable,1
Amanita subjunquillea,Agaricoid,Ectomycorrhizal,Symbiotroph,Probable,1
Amanita thiersii,Agaricoid,Undefined Saprotroph,Saprotroph,Highly Probable,1
Amauroascus,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,2
Amauroderma,Polyporoid,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Ambispora,Microfungus,|Arbuscular Mycorrhizal|-Endophyte,Symbiotroph,Highly Probable,2
Ambrosiella,Microfungus,|Plant Pathogen|,Pathotroph,Probable,3
Ambrosiozyma,Yeast,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,13
Ambrosiozyma oregonensis,Yeast,Undefined Saprotroph,Saprotroph,Probable,1
Amesia,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Amniculicola,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Amoeboradix,Chytrid-Microfungus,|Algal Parasite|,Pathotroph,Probable,1
Amorphotheca,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Ampelomyces quisqualis,Microfungus,Endophyte,Symbiotroph,Probable,1
Amphiamblys,Microfungus,|Protist Parasite|,Pathotroph,Probable,1
Amphirosellinia,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Amylocarpus,Microfungus,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Amylocystis,Polyporoid,|Wood Saprotroph|,Saprotroph,Highly Probable,1
Amyloporia,Corticioid,|Wood Saprotroph|,Saprotroph,Probable,1
Amylostereum,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,2
Anaeromyces,Chytrid-Microfungus,|Animal Symbiotroph|-Plant Saprotroph,Saprotroph-Symbiotroph,Probable,1
Anisogramma anomala,NULL,Plant Pathogen,Pathotroph,Probable,1
Anncaliia,Microfungus,|Animal Parasite|,Pathotroph,Probable,1
Annulohypoxylon,Microfungus,Endophyte-Undefined Saprotroph-|Wood Saprotroph|,Saprotroph-Symbiotroph,Probable,6
