Species,trait,value,source,notes
Mucor circinelloides,hyphal_septation,coenocytic,,mucoralean hyphae are aseptate except near sporangiophores
Mucor circinelloides,spore_motility,nonmotile,,sporangiospores; no flagellum
Mucor circinelloides,thermotolerance,high,,grows at 37C+; clinically relevant (mucormycosis)
Mucor circinelloides,animal_association,pathogen,,opportunistic agent of mucormycosis in immunocompromised hosts; well established in medical mycology literature
Mucor circinelloides,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Undefined Saprotroph"") -- not species-verified"
Phycomyces blakesleeanus,hyphal_septation,coenocytic,,
Phycomyces blakesleeanus,spore_motility,nonmotile,,
Phycomyces blakesleeanus,light_response,phototropic,,classic sporangiophore phototropism model organism
Phycomyces blakesleeanus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Dung Saprotroph-Undefined Saprotroph"") -- not species-verified"
Basidiobolus meristosporus,hyphal_septation,septate,,unusual among early-diverging fungi for regular septa
Basidiobolus meristosporus,animal_association,commensal,,amphibian/reptile gut commensal
Basidiobolus meristosporus,animal_association,pathogen,,"causes basidiobolomycosis (subcutaneous zygomycosis) in humans/animals, typically opportunistic/rare; needs a primary-literature citation before treating as settled"
Basidiobolus meristosporus,spore_motility,nonmotile,,forcibly discharged conidia; not flagellated
Basidiobolus meristosporus,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- not species-verified"
Basidiobolus meristosporus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call, see above"
Basidiobolus meristosporus,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call, see above"
Spizellomyces punctatus,hyphal_septation,unicellular_rhizoidal,,chytrid growth form; no true hyphae
Spizellomyces punctatus,spore_motility,motile,,flagellated zoospore
Spizellomyces punctatus,habitat,aquatic_soil,,
Spizellomyces punctatus,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph""); guild also carries ""Undefined Parasite"" -- host unspecified"
Spizellomyces punctatus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call, see above"
