locus	fam_a	fam_b	arch_a	arch_b	pident	aln_len	cov_a	cov_b
L001	H029	H030	NB-ARC	NB-ARC	99.2	125.0	0.461	0.833
L001	H029	H031	NB-ARC	NB-ARC	98.5	196.0	0.723	1.0
L001	H029	H032	NB-ARC	NB-ARC	98.0	196.0	0.723	1.0
L001	H029	H033	NB-ARC	NB-ARC	99.2	259.0	0.956	0.662
L001	H029	H034	NB-ARC	NB-ARC	95.9	196.0	0.723	1.0
L001	H029	H035	NB-ARC	NB-ARC	98.0	196.0	0.723	1.0
L001	H029	H039	NB-ARC	NB-ARC	94.9	196.0	0.723	1.0
L001	H029	H048	NB-ARC	NPHP3_N				
L001	H029	H053	NB-ARC	NPHP3_N				
L001	H029	H060	NB-ARC	NPHP3_N				
L001	H030	H031	NB-ARC	NB-ARC	100.0	125.0	0.833	0.638
L001	H030	H032	NB-ARC	NB-ARC	99.2	125.0	0.833	0.638
L001	H030	H033	NB-ARC	NB-ARC	99.2	125.0	0.833	0.32
L001	H030	H034	NB-ARC	NB-ARC	100.0	125.0	0.833	0.638
L001	H030	H035	NB-ARC	NB-ARC	99.2	125.0	0.833	0.638
L001	H030	H039	NB-ARC	NB-ARC	99.2	125.0	0.833	0.638
L001	H030	H048	NB-ARC	NPHP3_N				
L001	H030	H053	NB-ARC	NPHP3_N				
L001	H030	H060	NB-ARC	NPHP3_N				
L001	H031	H032	NB-ARC	NB-ARC	99.5	196.0	1.0	1.0
L001	H031	H033	NB-ARC	NB-ARC	98.5	196.0	1.0	0.501
L001	H031	H034	NB-ARC	NB-ARC	97.4	196.0	1.0	1.0
L001	H031	H035	NB-ARC	NB-ARC	99.5	196.0	1.0	1.0
L001	H031	H039	NB-ARC	NB-ARC	96.4	196.0	1.0	1.0
L001	H031	H048	NB-ARC	NPHP3_N				
L001	H031	H053	NB-ARC	NPHP3_N				
L001	H031	H060	NB-ARC	NPHP3_N				
L001	H032	H033	NB-ARC	NB-ARC	98.0	196.0	1.0	0.501
L001	H032	H034	NB-ARC	NB-ARC	96.9	196.0	1.0	1.0
L001	H032	H035	NB-ARC	NB-ARC	99.0	196.0	1.0	1.0
L001	H032	H039	NB-ARC	NB-ARC	96.9	196.0	1.0	1.0
L001	H032	H048	NB-ARC	NPHP3_N				
L001	H032	H053	NB-ARC	NPHP3_N				
L001	H032	H060	NB-ARC	NPHP3_N				
L001	H033	H034	NB-ARC	NB-ARC	95.9	196.0	0.501	1.0
