label	family	Short	species	contig	start	overlapping_gene	overlapping_family	overlapping_is_het_nlr
H021	409B-0_L_OLD_CPA0011|C90261E_002168-T1	Beeville	Cp	scaffold_140	8740	Beeville|C6949CF_002275-T1	H019	True
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	485B-1_L_OLD_CPA0023	Cp	scaffold_117	2201	485B-1_L_OLD_CPA0023|C4025D1_007262-T1;485B-1_L_OLD_CPA0023|C4025D1_007263-T1	B11035|C5FC1D8_000795-T1;H028	True
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	4SD	Ci	scaffold_158	39740	4SD|C8AA998_005958-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B11034	Ci	scaffold_37	28178	B11034|C8CCFFB_002748-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B11035	Ci	scaffold_13	28177	B11035|C5FC1D8_000795-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B11057	Ci	scaffold_55	28177	B11057|CCF9097_002685-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B11080	Ci	scaffold_15	37576	B11080|C6468CC_000326-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B11198	Ci	scaffold_24	32862	B11198|CD3667B_001929-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B11343	Ci	scaffold_29	28184	B11343|C7ABD37_000896-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B11517	Ci	scaffold_4	39824	B11517|C06DA8C_000386-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B11518	Ci	scaffold_19	28238	B11518|CF63038_000481-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B12219	Ci	scaffold_18	187179	B12219|CCF25C2_001481-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B12496	Ci	scaffold_5	82400	B12496|CD2FAA9_000608-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B12526	Ci	scaffold_24	40054	B12526|CF6BC4C_002474-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B13956	Ci	scaffold_13	54424	B13956|C873431_001276-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B14133	Ci	scaffold_46	54738	B14133|CC7F067_002972-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B15145	Ci	scaffold_14	40011	B15145|CD39A0E_001238-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B15146	Ci	scaffold_14	28246	B15146|CF83403_001059-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B16692	Ci	scaffold_57	28298	B16692|C4E9409_002891-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B17554	Ci	scaffold_199	28297	B17554|C3D42E5_005674-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B17567	Ci	scaffold_31	28396	B17567|C539AD4_001192-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	CA14	Ci	scaffold_102	24928	CA14|CB9423C_002009-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	CA15	Ci	scaffold_4	81983	CA15|CEB9A78_000959-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	CA17	Ci	scaffold_33	85215	CA17|C6A2BBC_003339-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	CA2	Ci	scaffold_107	57400	CA2|CD8B963_007419-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	CA22	Ci	scaffold_45	160296	CA22|C23090C_004511-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	CA23	Ci	scaffold_23	32805	CA23|C477594_002454-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	CA24	Ci	scaffold_54	59408	CA24|C32A5BD_005395-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	CA25	Ci	scaffold_62	38823	CA25|C4385CC_004906-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	CA27	Ci	scaffold_13	54344	CA27|C176CCC_001983-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	CA29	Ci	scaffold_2	489773	CA29|CCF2728_000451-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	CA3	Ci	scaffold_17	61175	CA3|CFB083D_002535-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	CA6	Ci	scaffold_37	214138	CA6|C814216_005586-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	CA8	Ci	scaffold_140	55186	CA8|CDEC7A5_007645-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	GT-104	Ci	scaffold_127	54699	GT-104|C25A2E6_007825-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	GT-109	Ci	scaffold_43	153114	GT-109|CD1EFBA_004274-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	GT-117	Ci	scaffold_205	12023	GT-117|CA4078A_008289-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	GT-118	Ci	scaffold_129	57383	GT-118|C574A51_006972-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	GT-121	Ci	scaffold_5	82083	GT-121|CDB778D_001390-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	GT-123	Ci	scaffold_79	27699	GT-123|C56C88A_001696-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	GT-125	Ci	scaffold_148	42905	GT-125|C1C7FC0_008231-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	GT-128	Ci	scaffold_33	106489	GT-128|C01BA78_004457-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	GT-146	Ci	scaffold_89	57064	GT-146|CDEB87D_007710-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	GT-169	Ci	scaffold_165	32829	GT-169|C64D5CD_007744-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	Guerrero_1	Ci	scaffold_9	54816	Guerrero_1|C3F11B8_002323-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	RS	Ci	scaffold_48	74247	RS|C3CED3A_003551-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	SDVA15	Ci	scaffold_14	53290	SDVA15|C06EC09_001902-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	SDVA41	Ci	scaffold_3	28181	SDVA41|C3A076D_000137-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	SDVA44	Ci	scaffold_115	37579	SDVA44|CA3B123_003257-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	SDVA6	Ci	scaffold_74	81962	SDVA6|C2E5ED1_006836-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	SJV_10	Ci	scaffold_27	28250	SJV_10|CFC625B_001162-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	SJV_2	Ci	scaffold_35	247813	SJV_2|CEBEDBD_006392-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	SJV_6	Ci	scaffold_39	18663	SJV_6|C9A977F_004763-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	SJV_7	Ci	scaffold_25	295736	SJV_7|C6C2D48_004478-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	SJV_8	Ci	scaffold_44	199839	SJV_8|C93969F_005902-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	SJV_9	Ci	scaffold_70	87653	SJV_9|C94D1D0_007318-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	San_Diego_1	Ci	scaffold_15	39819	San_Diego_1|CF4510F_002987-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	UTAH_20380X10	Ci	scaffold_5	580412	UTAH_20380X10|CE3D476_002171-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	UTAH_20380X16	Ci	scaffold_17	569470	UTAH_20380X16|CAD5A21_005142-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	UTAH_23742X138	Ci	scaffold_79	28358	UTAH_23742X138|C48ED4E_004406-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	UTAH_23742X153	Ci	scaffold_85	53489	UTAH_23742X153|C767353_007300-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	UTAH_23742X162	Ci	scaffold_211	28171	UTAH_23742X162|C879AC5_004770-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	UTAH_23742X170	Ci	scaffold_24	57684	UTAH_23742X170|C9AA314_003111-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	UTAH_23742X211	Ci	scaffold_73	28299	UTAH_23742X211|CDB7B17_004592-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	UTAH_23742X214	Ci	scaffold_35	57649	UTAH_23742X214|CF30678_004540-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	UTAH_23742X225	Ci	scaffold_40	28277	UTAH_23742X225|C759FAD_005263-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	UTAH_23742X255	Ci	scaffold_2	557751	UTAH_23742X255|C01015C_000391-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	UTAH_23742X257	Ci	scaffold_7	33106	UTAH_23742X257|CDDFF5A_000840-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	UTAH_23742X260	Ci	scaffold_50	57325	UTAH_23742X260|CC29979_004822-T1	B11035|C5FC1D8_000795-T1	False
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	VFC052	Ci	scaffold_28	164696	VFC052|CBE28CD_004406-T1	B11035|C5FC1D8_000795-T1	False
H028	5SD|CCCC1E1_001065-T1	B3256	Cp	scaffold_120	54805	B3256|C818D8D_007817-T1	H025	True
H014	A502-1|C7FAE4E_005112-T1	B15257	Ci	scaffold_68	29766	B15257|C0359CC_004837-T1;B15257|C0359CC_004838-T1	B3457|C4D20AE_001286-T1;H056	True
H014	A502-1|C7FAE4E_005112-T1	B3203	Cp	scaffold_15	324326	B3203|C5B81D8_002636-T1;B3203|C5B81D8_002637-T1	H049;730332_Guatemala|C45F23D_000803-T1	True
H014	A502-1|C7FAE4E_005112-T1	B3222	Cp	scaffold_10	258443	B3222|C3A673A_002129-T1	730332_Guatemala|C45F23D_000803-T1	False
H014	A502-1|C7FAE4E_005112-T1	B3224	Cp	scaffold_20	38558	B3224|CAFF422_002492-T1	730332_Guatemala|C45F23D_000803-T1	False
H014	A502-1|C7FAE4E_005112-T1	B3228	Cp	scaffold_22	76771	B3228|C904DB3_003862-T1;B3228|C904DB3_003863-T1	B3457|C4D20AE_001286-T1;730332_Guatemala|C45F23D_000803-T1	False
H014	A502-1|C7FAE4E_005112-T1	B3246	Cp	scaffold_58	28396	B3246|C90A8A7_006417-T1	730332_Guatemala|C45F23D_000803-T1	False
H014	A502-1|C7FAE4E_005112-T1	B3341	Cp	scaffold_24	81442	B3341|C5A12A5_004272-T1;B3341|C5A12A5_004273-T1	H049;730332_Guatemala|C45F23D_000803-T1	True
H014	A502-1|C7FAE4E_005112-T1	B3476	Ci	scaffold_59	53916	B3476|CE9CA74_007058-T1;B3476|CE9CA74_007059-T1	B3457|C4D20AE_001286-T1;H056	True
H014	A502-1|C7FAE4E_005112-T1	Coahuila_1	Ci	scaffold_273	4043	Coahuila_1|C1B7581_006321-T1	H056	True
H014	A502-1|C7FAE4E_005112-T1	FMC235	Cp	scaffold_6	122303	FMC235|C634783_000628-T1	730332_Guatemala|C45F23D_000803-T1	False
H014	A502-1|C7FAE4E_005112-T1	GT-143	Cp	scaffold_66	81401	GT-143|C1D16CE_004766-T1;GT-143|C1D16CE_004767-T1	H049;730332_Guatemala|C45F23D_000803-T1	True
H014	A502-1|C7FAE4E_005112-T1	M196	Cp	scaffold_34	40444	M196|CA74535_003416-T1	730332_Guatemala|C45F23D_000803-T1	False
H014	A502-1|C7FAE4E_005112-T1	M197	Cp	scaffold_68	40484	M197|C813B11_005067-T1	M197|C813B11_005067-T1	False
H014	A502-1|C7FAE4E_005112-T1	NM_0369	Cp	scaffold_42	40584	NM_0369|CB04693_003097-T1	730332_Guatemala|C45F23D_000803-T1	False
H014	A502-1|C7FAE4E_005112-T1	NM_4233	Cp	scaffold_14	40505	NM_4233|CDAA4AB_001431-T1	730332_Guatemala|C45F23D_000803-T1	False
H014	A502-1|C7FAE4E_005112-T1	SJV_6	Ci	scaffold_24	81439	SJV_6|C9A977F_003480-T1	H056	True
H014	A502-1|C7FAE4E_005112-T1	SOIL_604-1_L_OLD_CPA066	Cp	scaffold_224	3973	SOIL_604-1_L_OLD_CPA066|C04D475_003041-T1;SOIL_604-1_L_OLD_CPA066|C04D475_003042-T1	H049;730332_Guatemala|C45F23D_000803-T1	True
H014	A502-1|C7FAE4E_005112-T1	S_739	Cp	scaffold_10	66511	S_739|CBAF81A_001363-T1	730332_Guatemala|C45F23D_000803-T1	False
H014	A502-1|C7FAE4E_005112-T1	Tucson_4	Cp	scaffold_17	480486	Tucson_4|C189EA8_004070-T1	730332_Guatemala|C45F23D_000803-T1	False
H014	A502-1|C7FAE4E_005112-T1	UCSF_10AZ	Cp	scaffold_13	198409	UCSF_10AZ|CE941EB_001828-T1	730332_Guatemala|C45F23D_000803-T1	False
H014	A502-1|C7FAE4E_005112-T1	UTAH_23742X144	Cp	scaffold_9	40517	UTAH_23742X144|CA87B61_001268-T1	730332_Guatemala|C45F23D_000803-T1	False
H014	A502-1|C7FAE4E_005112-T1	WA31	Cp	scaffold_5	418410	WA31|C87A2FA_001059-T1	730332_Guatemala|C45F23D_000803-T1	False
H018	B11872|C426E4A_003179-T1	Michoacan_2	Ci	scaffold_9	8902			False
H060	B12527|C750C60_003353-T1	UTAH_23742X209	Cp	scaffold_64	3995			False
H068	B16531|C0BF1BA_007130-T1	UTAH_23742X209	Cp	scaffold_64	3995			False
H048	B3491|C53B4A4_001549-T1	COCPO_103721	Cp	scaffold_28	173991			False
H016	CA25|C4385CC_002784-T1	UTAH_9443	Cp	scaffold_45	40972	UTAH_9443|C5C7054_003078-T1	B3491|C53B4A4_000777-T1	False
H017	GT-119|C5FB385_003315-T1	COCPO_103745	Cp	scaffold_151	26006			False
H045	GT-147|C9481DC_003434-T1	UTAH_9443	Cp	scaffold_96	13057	UTAH_9443|C5C7054_004820-T1	H040	False
