locus	families	n_markers	markers	Ci_occupied	Ci_empty_site	Ci_unresolved	Ci_no_marker	Ci_empty_site+rescue	Ci_unresolved+rescue	Ci_no_marker+rescue	Ci_occupied_by_other_family_only	Cp_occupied	Cp_empty_site	Cp_unresolved	Cp_no_marker	Cp_empty_site+rescue	Cp_unresolved+rescue	Cp_no_marker+rescue	Cp_occupied_by_other_family_only	Ci_resolved	Cp_resolved	Ci_occ_frac_resolved	Cp_occ_frac_resolved	fisher_p_resolved	bh_q_resolved	poly_within	poly_between	family_classes	architectures	n_members_total
L001	H029,H030,H031,H032,H033,H034,H035,H039,H042,H043,H044,H048,H053,H060,H061,H066,H067,H068,H070,H078,H083,H085	6	SJV_6|C9A977F_008070-T1,B12496|CD2FAA9_003660-T1,B15257|C0359CC_004728-T1,GT-161|CD86944_006773-T1,578-1_L_NEW_CPA0049|C79DB71_007049-T1,Michoacan_2|C26AA88_004321-T1	169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	355.0	0.0	2.0	3.0	0.0	0.0	0.0	1.0	169.0	355.0	1.0	1.0	1.0	1.0	False	False	NLR_NOD:11;NLR_accessory_only:11	NB-ARC;NPHP3_N	1014
L002	H009,H010,H011,H012,H013,H014,H015,H016,H017,H049,H055,H056,H058,H064,H073,H076,H079,H080,H086	6	578-1_L_NEW_CPA0049|C79DB71_000181-T1,578-1_L_NEW_CPA0049|C79DB71_000182-T1,578-1_L_NEW_CPA0049|C79DB71_000186-T1,578-1_L_NEW_CPA0049|C79DB71_000187-T1,5SD|CCCC1E1_003643-T1,B11002|C5E4193_004067-T1	168.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	356.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	168.0	358.0	1.0	0.994	1.0	1.0	False	False	NLR_accessory_only:10;HeLo_SesA_Goodbye_HETs:9	Goodbye;NPHP3_N	793
L003	H018,H020,H022	6	B11872|C426E4A_003179-T1,578-1_L_NEW_CPA0049|C79DB71_006781-T1,UTAH_350355|C31EB65_002595-T1,578-1_L_NEW_CPA0049|C79DB71_006782-T1,578-1_L_NEW_CPA0049|C79DB71_006783-T1,B3439|C251D21_001752-T1	167.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	356.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	167.0	356.0	1.0	1.0	1.0	1.0	False	False	Het-C:3	Het-C	647
L004	H026,H027,H037,H062,H063,H071,H074	6	578-1_L_NEW_CPA0049|C79DB71_001398-T1,578-1_L_NEW_CPA0049|C79DB71_001400-T1,Tucson_2|C17EB43_005004-T1,730332_Guatemala|C45F23D_001017-T1,B17567|C539AD4_001104-T1,578-1_L_NEW_CPA0049|C79DB71_001395-T1	168.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	360.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.0	360.0	1.0	1.0	1.0	1.0	False	False	NLR_accessory_only:4;NLR_NOD:3	NPHP3_N-WHD;PNP_UDP-NPHP3_N;PNP_UDP-NPHP3_N-NACHT;PNP_UDP-NPHP3_N-NACHT-WHD;PNP_UDP-NPHP3_N-NACHT-WHD-Ank;WHD;WHD-Ank	540
L005	H041,H050,H052,H054,H057,H059,H069,H072,H077	6	485B-0_S_OLD_CPA0021|CFE8A8D_007783-T1,578-1_L_NEW_CPA0049|C79DB71_007501-T1,CA7|CFA4D20_008188-T1,407-1_S_OLD_CPA0004|CC44035_005210-T1,578-1_L_NEW_CPA0049|C79DB71_007492-T1,578-1_L_NEW_CPA0049|C79DB71_007491-T1	169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	358.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	169.0	358.0	1.0	1.0	1.0	1.0	False	False	NLR_accessory_only:8;NLR_NOD:1	NPHP3_N;NPHP3_N-NACHT-WHD;NPHP3_N-WHD;WHD	531
L006	H047,H051,H065,H075	6	B11058|C2FAE97_004741-T1,B3482|C59F6A8_002720-T1,UTAH_20380X10|CE3D476_007199-T1,407-0_S_OLD_CPA0002|C577643_002525-T1,578-1_L_NEW_CPA0049|C79DB71_006974-T1,578-1_L_NEW_CPA0049|C79DB71_006970-T1	167.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	359.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	167.0	359.0	1.0	1.0	1.0	1.0	False	False	NLR_accessory_only:4	NPHP3_N-WHD	530
L007	H001,H003,H004,H005,H006	6	578-1_L_NEW_CPA0049|C79DB71_003019-T1,578-1_L_NEW_CPA0049|C79DB71_003016-T1,578-1_L_NEW_CPA0049|C79DB71_003017-T1,UCSF_5AZ|C4980C8_004787-T1,409B-0_L_OLD_CPA0011|C90261E_000879-T1,GT-109|CD1EFBA_004987-T1	166.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	358.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	166.0	358.0	1.0	1.0	1.0	1.0	False	False	HET_domain:5	HET-Het6_barrel	529
L008	H025,H028	6	UTAH_23742X209|C79CE6E_000397-T1,578-1_L_NEW_CPA0049|C79DB71_000446-T1,B15317|CF7B081_002218-T1,578-1_L_NEW_CPA0049|C79DB71_005293-T1,5SD|CCCC1E1_006163-T1,578-1_L_NEW_CPA0049|C79DB71_005291-T1	158.0	0.0	7.0	4.0	0.0	0.0	0.0	0.0	257.0	1.0	102.0	0.0	0.0	0.0	0.0	1.0	158.0	258.0	1.0	0.996	1.0	1.0	False	False	NLR_NOD:2	NB-ARC-TPR;Patatin-NB-ARC-TPR	525
L009	H019,H024	6	B12216|CA3ACD6_001329-T1,578-1_L_NEW_CPA0049|C79DB71_005227-T1,B12219|CCF25C2_002107-T1,578-1_L_NEW_CPA0049|C79DB71_005220-T1,578-1_L_NEW_CPA0049|C79DB71_005221-T1,582-1_L_NEW_CPA0064|CF9574D_006599-T1	167.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	346.0	0.0	13.0	1.0	0.0	0.0	0.0	1.0	167.0	346.0	1.0	1.0	1.0	1.0	False	False	Het-C:2	Het-C	524
L010	H046	6	5SD|CCCC1E1_004915-T1,UTAH_23742X209|C79CE6E_004723-T1,578-1_L_NEW_CPA0049|C79DB71_006568-T1,GT-158|C010C21_000250-T1,578-1_L_NEW_CPA0049|C79DB71_006563-T1,578-1_L_NEW_CPA0049|C79DB71_006561-T1	167.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	355.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	167.0	355.0	1.0	1.0	1.0	1.0	False	False	NLR_accessory_only:1	NPHP3_N-WHD	523
