site	families	n_markers	markers	Ci_occupied	Ci_empty_site	Ci_unresolved	Ci_no_marker	Ci_resolved	Ci_occ_frac	Cp_occupied	Cp_empty_site	Cp_unresolved	Cp_no_marker	Cp_resolved	Cp_occ_frac	fisher_p	bh_q	poly_within	poly_between
L001a	H029,H030,H031,H032,H033,H034,H035,H039,H042,H043,H044	6	578-1_L_NEW_CPA0049|C79DB71_007037-T1,578-1_L_NEW_CPA0049|C79DB71_007038-T1,578-1_L_NEW_CPA0049|C79DB71_007039-T1,578-1_L_NEW_CPA0049|C79DB71_007048-T1,578-1_L_NEW_CPA0049|C79DB71_007049-T1,578-1_L_NEW_CPA0049|C79DB71_007051-T1	160	1	8	0	161	0.994	351	1	5	3	352	0.997	0.5296052631578947	1.0	False	False
L001b	H048,H053,H060,H061,H066,H067,H068,H070,H078,H083,H085	6	4SD|C8AA998_008272-T1,B16712|C003D23_006796-T1,UTAH_23742X209|C79CE6E_006268-T1,578-1_L_NEW_CPA0049|C79DB71_007048-T1,578-1_L_NEW_CPA0049|C79DB71_007049-T1,578-1_L_NEW_CPA0049|C79DB71_007051-T1	155	1	13	0	156	0.994	321	10	27	2	331	0.97	0.1869224660696538	1.0	False	False
L002	H009,H010,H011,H012,H013,H014,H015,H016,H017,H049,H055,H056,H058,H064,H073,H076,H079,H080,H086	6	578-1_L_NEW_CPA0049|C79DB71_000180-T1,578-1_L_NEW_CPA0049|C79DB71_000181-T1,578-1_L_NEW_CPA0049|C79DB71_000182-T1,578-1_L_NEW_CPA0049|C79DB71_000185-T1,578-1_L_NEW_CPA0049|C79DB71_000186-T1,578-1_L_NEW_CPA0049|C79DB71_000187-T1	167	0	2	0	167	1.0	356	2	2	0	358	0.994	1.0	1.0	False	False
L003	H018,H020,H022	6	B11872|C426E4A_003179-T1,578-1_L_NEW_CPA0049|C79DB71_006781-T1,578-1_L_NEW_CPA0049|C79DB71_006782-T1,UTAH_350355|C31EB65_002595-T1,578-1_L_NEW_CPA0049|C79DB71_006783-T1,B3439|C251D21_001752-T1	167	0	1	1	167	1.0	356	0	1	3	356	1.0	1.0	1.0	False	False
L004	H026,H027,H037,H062,H063,H071,H074	6	578-1_L_NEW_CPA0049|C79DB71_001391-T1,578-1_L_NEW_CPA0049|C79DB71_001392-T1,578-1_L_NEW_CPA0049|C79DB71_001393-T1,578-1_L_NEW_CPA0049|C79DB71_001395-T1,578-1_L_NEW_CPA0049|C79DB71_001398-T1,578-1_L_NEW_CPA0049|C79DB71_001400-T1	168	0	1	0	168	1.0	360	0	0	0	360	1.0	1.0	1.0	False	False
L005	H041,H050,H052,H054,H057,H059,H069,H072,H077	6	485B-0_S_OLD_CPA0021|CFE8A8D_007783-T1,578-1_L_NEW_CPA0049|C79DB71_007501-T1,CA7|CFA4D20_008188-T1,407-1_S_OLD_CPA0004|CC44035_005210-T1,578-1_L_NEW_CPA0049|C79DB71_007489-T1,578-1_L_NEW_CPA0049|C79DB71_007491-T1	169	0	0	0	169	1.0	358	0	1	1	358	1.0	1.0	1.0	False	False
L006	H047,H051,H065,H075	6	407-0_S_OLD_CPA0002|C577643_002515-T1,407-0_S_OLD_CPA0002|C577643_002525-T1,578-1_L_NEW_CPA0049|C79DB71_006966-T1,578-1_L_NEW_CPA0049|C79DB71_006967-T1,578-1_L_NEW_CPA0049|C79DB71_006969-T1,578-1_L_NEW_CPA0049|C79DB71_006970-T1	167	0	1	1	167	1.0	358	0	1	1	358	1.0	1.0	1.0	False	False
L007	H001,H003,H004,H005,H006	6	409B-0_L_OLD_CPA0011|C90261E_000879-T1,578-1_L_NEW_CPA0049|C79DB71_003016-T1,578-1_L_NEW_CPA0049|C79DB71_003017-T1,578-1_L_NEW_CPA0049|C79DB71_003019-T1,GT-109|CD1EFBA_004987-T1,UCSF_5AZ|C4980C8_004787-T1	166	0	3	0	166	1.0	358	0	1	1	358	1.0	1.0	1.0	False	False
L008	H025,H028	6	UTAH_23742X209|C79CE6E_000397-T1,578-1_L_NEW_CPA0049|C79DB71_000446-T1,B15317|CF7B081_002218-T1,578-1_L_NEW_CPA0049|C79DB71_005293-T1,5SD|CCCC1E1_006163-T1,578-1_L_NEW_CPA0049|C79DB71_005291-T1	158	0	7	4	158	1.0	256	1	103	0	257	0.996	1.0	1.0	False	False
L009	H019,H024	6	578-1_L_NEW_CPA0049|C79DB71_005218-T1,578-1_L_NEW_CPA0049|C79DB71_005220-T1,578-1_L_NEW_CPA0049|C79DB71_005221-T1,578-1_L_NEW_CPA0049|C79DB71_005227-T1,582-1_L_NEW_CPA0064|CF9574D_006599-T1,B12216|CA3ACD6_001329-T1	167	0	2	0	167	1.0	345	0	14	1	345	1.0	1.0	1.0	False	False
