site	allele_class	families	Ci_carriers	Ci_resolved	Ci_frac	Cp_carriers	Cp_resolved	Cp_frac	fisher_p	bh_q	poly_within	poly_between	in_both_species_ge5pct
L005	L005-A (PGAP1-type)	H050,H059,H069,H072,H077	52	169	0.308	205	358	0.573	1.64074835978148e-08	2.916885972944853e-08	True	True	True
L005	L005-B (Abhydrolase_6/DUF676-type)	H052,H057,H041	80	169	0.473	82	358	0.229	3.3338012657150416e-08	5.334082025144067e-08	True	True	True
L005	L005-C (ANAPC4_WD40-type)	H054	37	169	0.219	71	358	0.198	0.6438764785874859	0.6868015771599849	True	False	True
L006	L006-A	H047,H065	100	167	0.599	266	358	0.743	0.0010722007769652286	0.001319631725495666	True	True	True
L006	L006-B (Abhydrolase_6/DUF676-type)	H051,H075	67	167	0.401	92	358	0.257	0.0010722007769652286	0.001319631725495666	True	True	True
L008	L008-fused Patatin-NB-ARC-TPR	H025	18	158	0.114	256	257	0.996	4.169444128019315e-89	1.667777651207726e-88	True	True	True
L008	L008-NB-ARC-TPR only	H028	140	158	0.886	0	257	0.0	3.1625903605166514e-91	1.686714858942214e-90	True	True	False
L004	L004-fused (+Ank)	H026,H062	1	168	0.006	353	360	0.981	2.994769764210354e-128	4.791631622736566e-127	False	True	False
L004	L004-no Ank	H027,H037	164	168	0.976	14	360	0.039	1.3353636142600482e-113	1.0682908914080385e-112	False	True	False
L002	L002-G1 Goodbye	H009,H015	1	167	0.006	136	358	0.38	5.0803321394863724e-26	1.354755237196366e-25	True	True	False
L002	L002-G2 Goodbye	H010	57	167	0.341	0	358	0.0	1.9837252994015343e-32	6.34792095808491e-32	True	True	False
L002	L002-G3 Goodbye	H011,H013	0	167	0.0	45	358	0.126	1.5296837504730375e-08	2.916885972944853e-08	True	True	False
L002	L002-G4 Goodbye	H012	20	167	0.12	1	358	0.003	7.53310060431627e-10	1.7218515667008616e-09	True	True	False
L002	L002-H014 (unassigned fragment)	H014	8	167	0.048	0	358	0.0	9.328243244793009e-05	0.00013568353810608014	False	True	False
L001a	L001a NB-ARC fragments (one class)	H029,H030,H031,H032,H033,H034,H035,H039,H042,H043,H044	160	161	0.994	351	352	0.997	0.5296052631578947	0.6052631578947368	False	False	True
L007	L007 HET-Het6_barrel (one class)	H001,H003,H004,H005,H006	166	166	1.0	358	358	1.0	1.0	1.0	False	False	True
