label	family	locus	island_n_strains	example_strain	island_size	n_supporting_pairs	classifications	locus_id	locus_contig	locus_start	locus_end	pfam_domains
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	Phoenix_7	50	10	unexplained_physical	Phoenix_7:scaffold_44:1402-196962	scaffold_44	1402	196962	APH,DUF6540,DUF6914,DUF7770,FKBP_C,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase,SPOK2_N
H036	UTAH_20380X1|CF4A409_007973-T1	L012	1	COCSP-3478	41	3	unexplained_physical	-	-	-	-	Chitin_bind_1,DUF3723,DUF3723_N,DnaJ,FAD_binding_8,Glyco_hydro_18,Myb_DNA-bind_5,NAD_binding_6,PK_Tyr_Ser-Thr,Patatin,Pkinase,zf-C2H2,zf-Di19
H036	UTAH_20380X1|CF4A409_007973-T1	L012	1	WA31	36	3	unexplained_physical	WA31:scaffold_86:17692-82418	scaffold_86	17692	82418	Chitin_bind_1,DUF3723,DUF3723_N,FAD_binding_8,Glyco_hydro_18,Methyltransf_23,Methyltransf_25,Myb_DNA-bind_5,NAD_binding_6,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	GT-128	32	236	ambiguous_linkage,unexplained_physical	GT-128:scaffold_38:119303-209463	scaffold_38	119303	209463	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	CA29	31	271	ambiguous_linkage,unexplained_physical	CA29:scaffold_19:20885-105950	scaffold_19	20885	105950	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET,NAD_binding_6
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X111	31	255	ambiguous_linkage,unexplained_physical	UTAH_23742X111:scaffold_42:5485-129509	scaffold_42	5485	129509	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET,NAD_binding_6
H036	UTAH_20380X1|CF4A409_007973-T1	L012	1	GT-136	30	1	unexplained_physical	GT-136:scaffold_120:319-53566	scaffold_120	319	53566	Chitin_bind_1,DUF3723,DUF3723_N,FAD_binding_8,Glyco_hydro_18,Methyltransf_23,Methyltransf_25,Myb_DNA-bind_5,NAD_binding_6,Patatin,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SDVA44	30	242	ambiguous_linkage,unexplained_physical	SDVA44:scaffold_36:2261-84304	scaffold_36	2261	84304	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Ferric_reduct,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET,NAD_binding_6
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SDVA6	30	241	ambiguous_linkage,unexplained_physical	SDVA6:scaffold_24:219037-304018	scaffold_24	219037	304018	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X241	30	264	ambiguous_linkage,unexplained_physical	UTAH_23742X241:scaffold_58:24550-109531	scaffold_58	24550	109531	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET,NAD_binding_6
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	21SD	29	233	ambiguous_linkage,unexplained_physical	21SD:scaffold_40:20464-104126	scaffold_40	20464	104126	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET,NAD_binding_6
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B12220	29	241	ambiguous_linkage,unexplained_physical	B12220:scaffold_66:44767-129753	scaffold_66	44767	129753	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET,NAD_binding_6
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B12526	29	190	ambiguous_linkage,unexplained_physical	B12526:scaffold_15:21593-159347	scaffold_15	21593	159347	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF3435,DUF6540,Fung_rhodopsin,GGACT,Glyco_hydro_18,HET
