locus	species	combination	Short	contig	idx	start	end	member	family_label	is_marker	bin	het_architecture	rep_pfam
L001	Ci	H029	UTAH_23742X241	scaffold_6	173	479124	480208	UTAH_23742X241|CAC4C37_001407-T1		True	core		
L001	Ci	H029	UTAH_23742X241	scaffold_6	174	480330	483577	UTAH_23742X241|CAC4C37_001408-T1		False	core		
L001	Ci	H029	UTAH_23742X241	scaffold_6	175	485300	486493	UTAH_23742X241|CAC4C37_001409-T1		True	core		Aspzincin_M35,Peptidase_M35
L001	Ci	H029	UTAH_23742X241	scaffold_6	176	487376	488375	UTAH_23742X241|CAC4C37_001410-T1	H029	False	shell	NB-ARC	NB-ARC
L001	Ci	H029	UTAH_23742X241	scaffold_6	177	488522	488944	UTAH_23742X241|CAC4C37_001411-T1		False	shell		
L001	Ci	H029	UTAH_23742X241	scaffold_6	178	490063	490557	UTAH_23742X241|CAC4C37_001412-T1		True	core		
L001	Ci	H029	UTAH_23742X241	scaffold_6	179	494294	496760	UTAH_23742X241|CAC4C37_001413-T1		False	core		Leuk-A4-hydro_C,Peptidase_M1,Peptidase_M1_N
L001	Ci	H033	UTAH_23742X227	scaffold_112	7	12767	13281	UTAH_23742X227|C6CBCE1_008569-T1		False	core		Ribosomal_L38e
L001	Ci	H033	UTAH_23742X227	scaffold_112	8	15154	17620	UTAH_23742X227|C6CBCE1_008570-T1		False	core		Leuk-A4-hydro_C,Peptidase_M1,Peptidase_M1_N
L001	Ci	H033	UTAH_23742X227	scaffold_112	9	20781	21275	UTAH_23742X227|C6CBCE1_008571-T1		True	core		
L001	Ci	H033	UTAH_23742X227	scaffold_112	10	22318	23849	UTAH_23742X227|C6CBCE1_008572-T1	H033	False	shell	NB-ARC	NB-ARC
L001	Ci	H033	UTAH_23742X227	scaffold_112	11	24843	26035	UTAH_23742X227|C6CBCE1_008573-T1		True	core		Aspzincin_M35,Peptidase_M35
L001	Ci	H033	UTAH_23742X227	scaffold_112	12	26311	26610	UTAH_23742X227|C6CBCE1_008574-T1		False	shell		
L001	Ci	H033	UTAH_23742X227	scaffold_112	13	27761	31008	UTAH_23742X227|C6CBCE1_008575-T1		False	core		
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	35	104678	107144	UTAH_20380X16|CAD5A21_007427-T1		False	core		Leuk-A4-hydro_C,Peptidase_M1,Peptidase_M1_N
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	36	110877	111371	UTAH_20380X16|CAD5A21_007428-T1		True	core		
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	37	112490	112912	UTAH_20380X16|CAD5A21_007429-T1		False	shell		
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	38	113059	114058	UTAH_20380X16|CAD5A21_007430-T1	H029	False	shell	NB-ARC	NB-ARC
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	39	114941	116134	UTAH_20380X16|CAD5A21_007431-T1		True	core		Aspzincin_M35,Peptidase_M35
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	40	116410	116709	UTAH_20380X16|CAD5A21_007432-T1		False	shell		
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	41	117857	121104	UTAH_20380X16|CAD5A21_007433-T1		False	core		
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	42	121226	122310	UTAH_20380X16|CAD5A21_007434-T1		True	core		
L001	Ci	H029,H048	UTAH_20380X16	scaffold_34	43	123767	127684	UTAH_20380X16|CAD5A21_007435-T1		True	core		AA_permease,SLC12
