Short	Species	n_contigs	n50	total_length	dedup_group	is_representative	species	n_all_HET_NLR	n_HET_domain	n_HeLo_SesA_Goodbye_HETs	n_Het-C	n_NLR_NOD	n_NLR_accessory_only	n_NLR_total
1M0	Coccidioides immitis	1943	32637	27476767	0	1	Ci	12	1	1	2	3	5	3
21SD	Coccidioides immitis	1118	59044	28201677	1	1	Ci	13	2	1	2	3	5	3
3M3	Coccidioides immitis	1298	48005	27584326	2	1	Ci	13	2	1	2	3	5	3
407-0_S_OLD_CPA0002	Coccidioides posadasii	564	170195	27979740	3	0	Cp	12	1	0	3	3	5	3
407-1_S_OLD_CPA0004	Coccidioides posadasii	528	189216	28234560	3	1	Cp	12	1	0	3	3	5	3
409B-0_L_OLD_CPA0011	Coccidioides posadasii	3462	43669	30138480	4	0	Cp	11	2	0	3	2	4	2
409B-0_S_OLD_CPA0012	Coccidioides posadasii	1210	145813	28626337	4	1	Cp	12	2	0	2	3	5	3
4545-MICE	Coccidioides posadasii	623	105727	27944153	5	0	Cp	11	1	1	2	3	4	3
485B-0_S_OLD_CPA0021	Coccidioides posadasii	524	177431	27543885	6	0	Cp	14	2	1	3	3	5	3
485B-1_L_OLD_CPA0023	Coccidioides posadasii	581	181839	27604680	6	1	Cp	13	2	1	2	3	5	3
485B-4_S_NEW_CPA0029	Coccidioides posadasii	572	143228	27616348	6	0	Cp	12	2	0	2	3	5	3
4M3	Coccidioides immitis	1670	39760	27605063	7	1	Ci	12	2	0	2	3	5	3
4SD	Coccidioides immitis	1358	70037	27072088	8	1	Ci	12	2	0	2	3	5	3
573-1_L_NEW_CPA0031	Coccidioides posadasii	504	167328	27672989	9	0	Cp	13	2	0	3	3	5	3
573-1_S_NEW_CPA0033	Coccidioides posadasii	518	163147	27609340	9	0	Cp	13	2	1	2	3	5	3
574-0_L_OLD_CPA0038	Coccidioides posadasii	514	179386	27562097	10	1	Cp	13	2	1	2	3	5	3
574-0_S_OLD_CPA0039	Coccidioides posadasii	505	174079	27438819	10	0	Cp	12	1	0	3	3	5	3
574-1_L_NEW_CPA0040	Coccidioides posadasii	471	140568	27641230	9	0	Cp	11	1	1	2	2	5	2
578-1_A_NEW_CPA0048	Coccidioides posadasii	473	191851	27043313	11	1	Cp	11	1	0	2	3	5	3
578-1_L_NEW_CPA0049	Coccidioides posadasii	560	165662	27324141	11	0	Cp	13	2	1	2	3	5	3
578-1_L_NEW_CPA0049_alt	Coccidioides posadasii	464	173228	27676834	9	0	Cp	13	2	0	3	3	5	3
582-1_L_NEW_CPA0064	Coccidioides posadasii	422	159556	27321836	12	1	Cp	11	1	0	2	3	5	3
5SD	Coccidioides immitis	1096	55297	27914942	13	1	Ci	12	1	1	2	3	5	3
730332_Guatemala	Coccidioides posadasii	2215	28581	28782010	14	1	Cp	12	2	0	2	3	5	3
730333_Guatemala	Coccidioides posadasii	2292	27511	28780861	14	0	Cp	13	2	1	2	3	5	3
730334_Guatemala	Coccidioides posadasii	1749	34257	27325492	15	1	Cp	13	2	1	2	3	5	3
A391	Coccidioides immitis	782	78927	27079088	16	0	Ci	12	2	0	2	3	5	3
A432	Coccidioides immitis	731	83748	27188973	16	0	Ci	13	2	1	2	3	5	3
A502-1	Coccidioides immitis	711	86488	27172582	16	0	Ci	13	2	1	2	3	5	3
A502-2	Coccidioides immitis	737	81871	27094810	16	0	Ci	13	2	1	2	3	5	3
B0727_Argentina	Coccidioides immitis	1606	39643	27840373	17	1	Ci	13	2	1	2	3	5	3
B0858-Guatemala	Coccidioides posadasii	1813	36218	28976806	18	1	Cp	12	1	0	3	4	4	4
B10757_Nevada	Coccidioides posadasii	1523	39543	27985983	19	1	Cp	11	1	0	2	2	6	2
B10813_Texas	Coccidioides posadasii	1228	47781	27255890	20	1	Cp	11	1	0	2	3	5	3
B10917	Coccidioides posadasii	1478	41446	28087710	21	1	Cp	12	1	1	2	3	5	3
