label	n	relaxed_NOD	relaxed_NACHT_or_NBARC	median_len
H001	419	0	0	2183.0
H002	275	0	0	835.0
H003	61	0	0	758.0
H004	30	0	0	475.0
H005	16	0	0	1078.0
H006	3	0	0	1652.0
H007	2	0	0	503.0
H008	1	0	0	135.0
H009	130	0	0	243.0
H010	59	0	0	231.0
H011	32	0	0	242.0
H012	22	0	0	237.0
H013	13	0	0	156.0
H014	8	0	0	182.0
H015	7	0	0	159.0
H016	4	0	0	151.0
H017	2	0	0	196.0
H018	524	0	0	792.0
H019	523	0	0	1001.0
H020	121	0	0	81.0
H021	3	0	0	893.0
H022	2	0	0	619.0
H023	1	0	0	490.0
H024	1	0	0	765.0
H025	380	380	380	1139.0
H026	347	347	347	1357.0
H027	168	168	168	838.0
H028	145	145	145	797.0
H029	125	125	125	271.0
H030	102	102	102	150.0
H031	95	95	95	196.0
H032	76	76	76	196.0
H033	51	51	51	398.0
H034	34	34	34	196.0
H035	28	28	28	196.0
H036	14	14	14	440.0
H037	10	10	10	589.0
H038	8	8	8	105.0
H039	5	5	5	196.0
H040	4	4	4	1048.0
H041	2	2	2	1116.0
H042	2	2	2	182.0
H043	1	1	1	188.0
H044	1	1	1	390.0
H045	1	1	1	618.0
H046	523	518	518	916.0
H047	365	263	263	1608.0
H048	333	330	0	1243.0
H049	316	0	0	457.0
H050	240	240	240	1545.0
H051	160	11	11	1632.0
H052	128	128	128	1575.0
H053	119	112	0	1495.0
H054	109	109	109	1579.0
H055	100	0	0	105.0
H056	61	0	0	149.0
H057	33	0	0	1179.0
H058	26	0	0	690.0
H059	14	13	13	1177.0
H060	12	11	0	1531.0
H061	11	11	0	1147.0
H062	7	0	0	746.0
H063	5	0	0	233.0
H064	5	0	0	257.0
H065	4	4	4	898.0
H066	4	4	0	817.5
H067	4	4	0	1084.5
H068	3	3	0	1339.0
H069	3	3	3	995.0
H070	2	2	0	572.0
H071	2	1	1	458.0
H072	1	0	0	905.0
H073	1	0	0	130.0
H074	1	1	1	581.0
H075	1	0	0	768.0
H076	1	0	0	117.0
H077	1	1	1	541.0
H078	1	1	0	798.0
H079	1	0	0	80.0
H080	1	0	0	102.0
H081	1	0	0	138.0
H082	1	0	0	131.0
H083	1	1	0	983.0
H084	1	1	0	983.0
H085	1	1	0	983.0
H086	1	0	0	89.0
