metric	value
HET_NLR_genes	6462
HET_NLR_within10genes_of_HrmA	21
nonHET_nonHrmA_within10genes_of_HrmA	29738/4496073
fisher_OR_within10_HrmA	0.49
fisher_p_within10_HrmA	0.0003790072183322597
HET_NLR_with_adjacent_APH	438/6462
nonHET_with_adjacent_APH	47716/4496073
fisher_OR_adjacent_APH	6.778
fisher_p_adjacent_APH	9.7841368914829e-199
islands_total	12197
islands_with_HET_NLR_family	384
HET_NLR_families_in_islands	37
HET_NLR_families_in_pair_table	18
pairs_with_HET_NLR_family	133
rescue_positions_HET_families	368
rescue_overlapping_any_gene	361
rescue_overlapping_HET_NLR_gene	258
