q	s	pident	length	qlen	slen	qstart	qend	sstart	send	evalue	bits	qcov	scov	q_label	s_label	q_locus	s_locus
B10757_Nevada|CAE1CCF_005469-T1	B12495|C0ACC3F_004293-T1	98.6	1658	1652	2189	1	1652	532	2189	0.0	3273.0	1.0	0.757	H006	H001	L007	L007
B12495|C0ACC3F_004293-T1	B10757_Nevada|CAE1CCF_005469-T1	98.6	1658	2189	1652	532	2189	1	1652	0.0	3270.0	0.757	1.0	H001	H006	L007	L007
GT-101|C4EFBB3_002316-T1	578-1_L_NEW_CPA0049|C79DB71_006976-T1	77.2	1607	1631	1608	28	1631	2	1608	0.0	2526.0	0.983	0.999	H051	H047	L006	L006
578-1_L_NEW_CPA0049|C79DB71_006976-T1	GT-101|C4EFBB3_002316-T1	77.2	1607	1608	1631	2	1608	28	1631	0.0	2513.0	0.999	0.983	H047	H051	L006	L006
B10757_Nevada|CAE1CCF_005469-T1	409B-0_L_OLD_CPA0011|C90261E_005737-T1	100.0	1176	1652	1176	477	1652	1	1176	0.0	2351.0	0.712	1.0	H006	H005	L007	L007
409B-0_L_OLD_CPA0011|C90261E_005737-T1	B10757_Nevada|CAE1CCF_005469-T1	100.0	1176	1176	1652	1	1176	477	1652	0.0	2351.0	1.0	0.712	H005	H006	L007	L007
409B-0_L_OLD_CPA0011|C90261E_005737-T1	B12495|C0ACC3F_004293-T1	98.6	1182	1176	2189	1	1176	1008	2189	0.0	2325.0	1.0	0.54	H005	H001	L007	L007
B12495|C0ACC3F_004293-T1	409B-0_L_OLD_CPA0011|C90261E_005737-T1	98.6	1182	2189	1176	1008	2189	1	1176	0.0	2324.0	0.54	1.0	H001	H005	L007	L007
GT-149|C5E7948_005114-T1	B3269|C180A32_006926-T1	97.3	1177	1510	1177	358	1510	1	1177	0.0	2315.0	0.764	1.0	H050	H059	L005	L005
B3269|C180A32_006926-T1	GT-149|C5E7948_005114-T1	97.3	1177	1177	1510	1	1177	358	1510	0.0	2314.0	1.0	0.764	H059	H050	L005	L005
578-1_L_NEW_CPA0049|C79DB71_007498-T1	B11035|C5FC1D8_003314-T1	98.8	1123	1575	1123	453	1575	1	1123	0.0	2232.0	0.713	1.0	H052	H057	L005	L005
B11035|C5FC1D8_003314-T1	578-1_L_NEW_CPA0049|C79DB71_007498-T1	98.8	1123	1123	1575	1	1123	453	1575	0.0	2231.0	1.0	0.713	H057	H052	L005	L005
578-1_L_NEW_CPA0049|C79DB71_007498-T1	GT-147|C9481DC_005228-T1	99.2	1030	1575	1038	1	1030	1	1030	0.0	2059.0	0.654	0.992	H052	H041	L005	L005
GT-147|C9481DC_005228-T1	578-1_L_NEW_CPA0049|C79DB71_007498-T1	99.2	1030	1038	1575	1	1030	1	1030	0.0	2058.0	0.992	0.654	H041	H052	L005	L005
B16531|C0BF1BA_007130-T1	B12527|C750C60_003353-T1	99.2	1039	1371	1595	1	1039	1	1039	0.0	2050.0	0.758	0.651	H068	H060	L001	L001
B12527|C750C60_003353-T1	B16531|C0BF1BA_007130-T1	99.2	1039	1595	1371	1	1039	1	1039	0.0	2050.0	0.651	0.758	H060	H068	L001	L001
B3491|C53B4A4_001549-T1	B3440|C2CD592_003898-T1	99.3	1037	1273	1687	1	1037	1	1037	0.0	2049.0	0.815	0.615	H048	H053	L001	L001
B3440|C2CD592_003898-T1	B3491|C53B4A4_001549-T1	99.3	1037	1687	1273	1	1037	1	1037	0.0	2048.0	0.615	0.815	H053	H048	L001	L001
B16531|C0BF1BA_007130-T1	B3440|C2CD592_003898-T1	98.8	1037	1371	1687	1	1037	1	1037	0.0	2038.0	0.756	0.615	H068	H053	L001	L001
B16531|C0BF1BA_007130-T1	B3491|C53B4A4_001549-T1	98.7	1037	1371	1273	1	1037	1	1037	0.0	2037.0	0.756	0.815	H068	H048	L001	L001
B3491|C53B4A4_001549-T1	B16531|C0BF1BA_007130-T1	98.7	1037	1273	1371	1	1037	1	1037	0.0	2037.0	0.815	0.756	H048	H068	L001	L001
B3440|C2CD592_003898-T1	B16531|C0BF1BA_007130-T1	98.8	1037	1687	1371	1	1037	1	1037	0.0	2036.0	0.615	0.756	H053	H068	L001	L001
B12527|C750C60_003353-T1	B3491|C53B4A4_001549-T1	98.6	1037	1595	1273	1	1037	1	1037	0.0	2035.0	0.65	0.815	H060	H048	L001	L001
B3491|C53B4A4_001549-T1	B12527|C750C60_003353-T1	98.6	1037	1273	1595	1	1037	1	1037	0.0	2034.0	0.815	0.65	H048	H060	L001	L001
B12527|C750C60_003353-T1	B3440|C2CD592_003898-T1	98.3	1037	1595	1687	1	1037	1	1037	0.0	2029.0	0.65	0.615	H060	H053	L001	L001
B3440|C2CD592_003898-T1	B12527|C750C60_003353-T1	98.3	1037	1687	1595	1	1037	1	1037	0.0	2026.0	0.615	0.65	H053	H060	L001	L001
B3491|C53B4A4_001549-T1	UTAH_23742X205|CB0BD29_008619-T1	99.7	1014	1273	1014	1	1014	1	1014	0.0	2013.0	0.797	1.0	H048	H067	L001	L001
UTAH_23742X205|CB0BD29_008619-T1	B3491|C53B4A4_001549-T1	99.7	1014	1014	1273	1	1014	1	1014	0.0	2013.0	1.0	0.797	H067	H048	L001	L001
COCSP_8725|CCC6481_008432-T1	B12527|C750C60_003353-T1	99.6	1012	1012	1595	1	1012	1	1012	0.0	2008.0	1.0	0.634	H061	H060	L001	L001
B12527|C750C60_003353-T1	COCSP_8725|CCC6481_008432-T1	99.6	1012	1595	1012	1	1012	1	1012	0.0	2008.0	0.634	1.0	H060	H061	L001	L001
COCSP_8725|CCC6481_008432-T1	B16531|C0BF1BA_007130-T1	99.6	1012	1012	1371	1	1012	1	1012	0.0	2007.0	1.0	0.738	H061	H068	L001	L001
B16531|C0BF1BA_007130-T1	COCSP_8725|CCC6481_008432-T1	99.6	1012	1371	1012	1	1012	1	1012	0.0	2006.0	0.738	1.0	H068	H061	L001	L001
B3491|C53B4A4_001549-T1	COCSP_8725|CCC6481_008432-T1	99.4	1012	1273	1012	1	1012	1	1012	0.0	2006.0	0.795	1.0	H048	H061	L001	L001
COCSP_8725|CCC6481_008432-T1	B3491|C53B4A4_001549-T1	99.4	1012	1012	1273	1	1012	1	1012	0.0	2006.0	1.0	0.795	H061	H048	L001	L001
B12527|C750C60_003353-T1	UTAH_23742X205|CB0BD29_008619-T1	99.1	1014	1595	1014	1	1014	1	1014	0.0	2005.0	0.636	1.0	H060	H067	L001	L001
UTAH_23742X205|CB0BD29_008619-T1	B12527|C750C60_003353-T1	99.1	1014	1014	1595	1	1014	1	1014	0.0	2004.0	1.0	0.636	H067	H060	L001	L001
B16531|C0BF1BA_007130-T1	UTAH_23742X205|CB0BD29_008619-T1	99.1	1014	1371	1014	1	1014	1	1014	0.0	2003.0	0.74	1.0	H068	H067	L001	L001
UTAH_23742X205|CB0BD29_008619-T1	B3440|C2CD592_003898-T1	99.2	1014	1014	1687	1	1014	1	1014	0.0	2003.0	1.0	0.601	H067	H053	L001	L001
COCSP_8725|CCC6481_008432-T1	UTAH_23742X205|CB0BD29_008619-T1	99.3	1012	1012	1014	1	1012	1	1012	0.0	2003.0	1.0	0.998	H061	H067	L001	L001
UTAH_23742X205|CB0BD29_008619-T1	B16531|C0BF1BA_007130-T1	99.1	1014	1014	1371	1	1014	1	1014	0.0	2002.0	1.0	0.74	H067	H068	L001	L001
B3440|C2CD592_003898-T1	UTAH_23742X205|CB0BD29_008619-T1	99.2	1014	1687	1014	1	1014	1	1014	0.0	2002.0	0.601	1.0	H053	H067	L001	L001
UTAH_23742X205|CB0BD29_008619-T1	COCSP_8725|CCC6481_008432-T1	99.3	1012	1014	1012	1	1012	1	1012	0.0	2002.0	0.998	1.0	H067	H061	L001	L001
COCSP_8725|CCC6481_008432-T1	B3440|C2CD592_003898-T1	99.1	1012	1012	1687	1	1012	1	1012	0.0	2000.0	1.0	0.6	H061	H053	L001	L001
B3440|C2CD592_003898-T1	COCSP_8725|CCC6481_008432-T1	99.1	1012	1687	1012	1	1012	1	1012	0.0	1998.0	0.6	1.0	H053	H061	L001	L001
TX8|C5FF6CA_008304-T1	COCSP_8725|CCC6481_008432-T1	100.0	983	983	1012	1	983	1	983	0.0	1957.0	1.0	0.971	H085	H061	L001	L001
COCSP_8725|CCC6481_008432-T1	TX8|C5FF6CA_008304-T1	100.0	983	1012	983	1	983	1	983	0.0	1957.0	0.971	1.0	H061	H085	L001	L001
B12527|C750C60_003353-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	99.9	983	1595	983	1	983	1	983	0.0	1954.0	0.616	1.0	H060	H083	L001	L001
SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	B12527|C750C60_003353-T1	99.9	983	983	1595	1	983	1	983	0.0	1954.0	1.0	0.616	H083	H060	L001	L001
SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	TX8|C5FF6CA_008304-T1	99.7	983	983	983	1	983	1	983	0.0	1952.0	1.0	1.0	H083	H085	L001	L001
SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	COCSP_8725|CCC6481_008432-T1	99.7	983	983	1012	1	983	1	983	0.0	1952.0	1.0	0.971	H083	H061	L001	L001
TX8|C5FF6CA_008304-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	99.7	983	983	983	1	983	1	983	0.0	1952.0	1.0	1.0	H085	H083	L001	L001
COCSP_8725|CCC6481_008432-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	99.7	983	1012	983	1	983	1	983	0.0	1952.0	0.971	1.0	H061	H083	L001	L001
TX8|C5FF6CA_008304-T1	B12527|C750C60_003353-T1	99.6	983	983	1595	1	983	1	983	0.0	1951.0	1.0	0.616	H085	H060	L001	L001
COCSP_8725|CCC6481_008432-T1	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	99.5	983	1012	983	1	983	1	983	0.0	1951.0	0.971	1.0	H061	H084	L001	L020
TX8|C5FF6CA_008304-T1	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	99.5	983	983	983	1	983	1	983	0.0	1951.0	1.0	1.0	H085	H084	L001	L020
SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	TX8|C5FF6CA_008304-T1	99.5	983	983	983	1	983	1	983	0.0	1950.0	1.0	1.0	H084	H085	L020	L001
B12527|C750C60_003353-T1	TX8|C5FF6CA_008304-T1	99.6	983	1595	983	1	983	1	983	0.0	1950.0	0.616	1.0	H060	H085	L001	L001
SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	COCSP_8725|CCC6481_008432-T1	99.5	983	983	1012	1	983	1	983	0.0	1950.0	1.0	0.971	H084	H061	L020	L001
TX8|C5FF6CA_008304-T1	B16531|C0BF1BA_007130-T1	99.6	983	983	1371	1	983	1	983	0.0	1950.0	1.0	0.717	H085	H068	L001	L001
B16531|C0BF1BA_007130-T1	TX8|C5FF6CA_008304-T1	99.6	983	1371	983	1	983	1	983	0.0	1949.0	0.717	1.0	H068	H085	L001	L001
TX8|C5FF6CA_008304-T1	B3491|C53B4A4_001549-T1	99.4	983	983	1273	1	983	1	983	0.0	1949.0	1.0	0.772	H085	H048	L001	L001
CA23|C477594_005344-T1	578-1_L_NEW_CPA0049|C79DB71_007498-T1	62.9	1568	1580	1575	3	1565	2	1561	0.0	1949.0	0.989	0.99	H054	H052	L005	L005
B3491|C53B4A4_001549-T1	TX8|C5FF6CA_008304-T1	99.4	983	1273	983	1	983	1	983	0.0	1948.0	0.772	1.0	H048	H085	L001	L001
SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	B3491|C53B4A4_001549-T1	99.3	983	983	1273	1	983	1	983	0.0	1948.0	1.0	0.772	H084	H048	L020	L001
SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	B3440|C2CD592_003898-T1	99.4	983	983	1687	1	983	1	983	0.0	1948.0	1.0	0.583	H084	H053	L020	L001
B3491|C53B4A4_001549-T1	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	99.3	983	1273	983	1	983	1	983	0.0	1947.0	0.772	1.0	H048	H084	L001	L020
TX8|C5FF6CA_008304-T1	UTAH_23742X205|CB0BD29_008619-T1	99.3	983	983	1014	1	983	1	983	0.0	1946.0	1.0	0.969	H085	H067	L001	L001
SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	UTAH_23742X205|CB0BD29_008619-T1	99.2	983	983	1014	1	983	1	983	0.0	1946.0	1.0	0.969	H083	H067	L001	L001
SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	99.2	983	983	983	1	983	1	983	0.0	1946.0	1.0	1.0	H084	H083	L020	L001
SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	99.2	983	983	983	1	983	1	983	0.0	1946.0	1.0	1.0	H083	H084	L001	L020
B3440|C2CD592_003898-T1	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	99.4	983	1687	983	1	983	1	983	0.0	1946.0	0.583	1.0	H053	H084	L001	L020
SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	B16531|C0BF1BA_007130-T1	99.3	983	983	1371	1	983	1	983	0.0	1945.0	1.0	0.717	H083	H068	L001	L001
SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	B3491|C53B4A4_001549-T1	99.1	983	983	1273	1	983	1	983	0.0	1945.0	1.0	0.772	H083	H048	L001	L001
UTAH_23742X205|CB0BD29_008619-T1	TX8|C5FF6CA_008304-T1	99.3	983	1014	983	1	983	1	983	0.0	1944.0	0.969	1.0	H067	H085	L001	L001
SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	UTAH_23742X205|CB0BD29_008619-T1	99.2	983	983	1014	1	983	1	983	0.0	1944.0	1.0	0.969	H084	H067	L020	L001
UTAH_23742X205|CB0BD29_008619-T1	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	99.2	983	1014	983	1	983	1	983	0.0	1944.0	0.969	1.0	H067	H084	L001	L020
SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	B12527|C750C60_003353-T1	99.1	983	983	1595	1	983	1	983	0.0	1944.0	1.0	0.616	H084	H060	L020	L001
B16531|C0BF1BA_007130-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	99.3	983	1371	983	1	983	1	983	0.0	1944.0	0.717	1.0	H068	H083	L001	L001
