label	anchor_family	neighbour_family	neighbour_label	frac_anchors	n_anchors	median_offset	bin	pfam
H065	407-0_S_OLD_CPA0002|C577643_002522-T1	407-0_S_OLD_CPA0002|C577643_002515-T1		1.0	4	-7.0	core	Aldedh
H065	407-0_S_OLD_CPA0002|C577643_002522-T1	578-1_L_NEW_CPA0049|C79DB71_006969-T1		1.0	4	-6.0	core	EVE
H065	407-0_S_OLD_CPA0002|C577643_002522-T1	UTAH_20380X10|CE3D476_007199-T1		1.0	4	5.0	core	mRNA_triPase
H065	407-0_S_OLD_CPA0002|C577643_002522-T1	GT-126|C8C79ED_001266-T1		1.0	4	-3.0	shell	MFS_1,Sugar_tr,TRI12
H065	407-0_S_OLD_CPA0002|C577643_002522-T1	B3482|C59F6A8_002720-T1		1.0	4	4.0	core	Kelch_KLHDC2_KLHL20_DRC7
H065	407-0_S_OLD_CPA0002|C577643_002522-T1	B11058|C2FAE97_004741-T1		1.0	4	2.0	core	Aldo_ket_red
H065	407-0_S_OLD_CPA0002|C577643_002522-T1	578-1_L_NEW_CPA0049|C79DB71_006974-T1		1.0	4	-2.0	core	1-cysPrx_C,AhpC-TSA,Redoxin
H065	407-0_S_OLD_CPA0002|C577643_002522-T1	407-0_S_OLD_CPA0002|C577643_002523-T1		1.0	4	1.0	singleton	
H021	409B-0_L_OLD_CPA0011|C90261E_002168-T1	578-1_L_NEW_CPA0049|C79DB71_005231-T1		1.0	3	2.0	singleton	
H021	409B-0_L_OLD_CPA0011|C90261E_002168-T1	UCSF_10AZ|CE941EB_002988-T1		1.0	3	1.0	singleton	Na_Ca_ex
H021	409B-0_L_OLD_CPA0011|C90261E_002168-T1	B3244|CC6B4BB_002422-T1		0.667	2	3.0	singleton	
H021	409B-0_L_OLD_CPA0011|C90261E_002168-T1	485B-1_L_OLD_CPA0023|C4025D1_001528-T1		0.333	1	10.0	singleton	TLD
H021	409B-0_L_OLD_CPA0011|C90261E_002168-T1	578-1_L_NEW_CPA0049|C79DB71_005218-T1		0.333	1	9.0	core	Adaptin_N,Cnd1
H021	409B-0_L_OLD_CPA0011|C90261E_002168-T1	578-1_L_NEW_CPA0049|C79DB71_005220-T1		0.333	1	7.0	core	Evr1_Alr
H021	409B-0_L_OLD_CPA0011|C90261E_002168-T1	578-1_L_NEW_CPA0049|C79DB71_005227-T1		0.333	1	1.0	core	Clr5,DUF7767,Tri-helical
H021	409B-0_L_OLD_CPA0011|C90261E_002168-T1	582-1_L_NEW_CPA0064|CF9574D_006599-T1		0.333	1	5.0	core	
H072	409B-0_L_OLD_CPA0011|C90261E_005650-T1	407-1_S_OLD_CPA0004|CC44035_005210-T1		1.0	1	5.0	core	Ctr
H072	409B-0_L_OLD_CPA0011|C90261E_005650-T1	485B-0_S_OLD_CPA0021|CFE8A8D_007783-T1		1.0	1	3.0	core	2OG-FeII_Oxy,DIOX_N
H072	409B-0_L_OLD_CPA0011|C90261E_005650-T1	578-1_L_NEW_CPA0049|C79DB71_007489-T1		1.0	1	-9.0	core	
H072	409B-0_L_OLD_CPA0011|C90261E_005650-T1	578-1_L_NEW_CPA0049|C79DB71_007491-T1		1.0	1	-7.0	core	PAN_1,PAN_4
H072	409B-0_L_OLD_CPA0011|C90261E_005650-T1	578-1_L_NEW_CPA0049|C79DB71_007492-T1		1.0	1	-6.0	core	2OG-FeII_Oxy_3
H072	409B-0_L_OLD_CPA0011|C90261E_005650-T1	578-1_L_NEW_CPA0049|C79DB71_007493-T1		1.0	1	-5.0	shell	
H072	409B-0_L_OLD_CPA0011|C90261E_005650-T1	578-1_L_NEW_CPA0049|C79DB71_007501-T1		1.0	1	4.0	core	Metallophos
H072	409B-0_L_OLD_CPA0011|C90261E_005650-T1	B11518|CF63038_008059-T1		1.0	1	2.0	shell	APH,Fructosamin_kin
H005	409B-0_L_OLD_CPA0011|C90261E_005737-T1	578-1_L_NEW_CPA0049|C79DB71_003019-T1		0.812	13	2.0	core	
H005	409B-0_L_OLD_CPA0011|C90261E_005737-T1	578-1_L_NEW_CPA0049|C79DB71_003026-T1		0.812	13	-3.0	core	Fcf1,PIN_9
H005	409B-0_L_OLD_CPA0011|C90261E_005737-T1	578-1_L_NEW_CPA0049|C79DB71_003027-T1		0.812	13	-4.0	shell	H_lectin
H005	409B-0_L_OLD_CPA0011|C90261E_005737-T1	5SD|CCCC1E1_004186-T1		0.75	12	10.0	core	Beta_trefoil_fun
H005	409B-0_L_OLD_CPA0011|C90261E_005737-T1	B3382|C074AB1_001916-T1		0.75	12	-7.5	core	
H005	409B-0_L_OLD_CPA0011|C90261E_005737-T1	UCSF_5AZ|C4980C8_004787-T1		0.75	12	6.0	core	Beta-prop_WDR36-Utp21_1st,Beta-prop_WDR36-Utp21_2nd,Utp21,WD40
H005	409B-0_L_OLD_CPA0011|C90261E_005737-T1	409B-0_L_OLD_CPA0011|C90261E_000879-T1		0.75	12	7.0	core	His_Phos_2,PPIP5K2_N,RimK
H005	409B-0_L_OLD_CPA0011|C90261E_005737-T1	B16531|C0BF1BA_003597-T1		0.75	12	8.0	core	DAGK_cat
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	574-0_S_OLD_CPA0039|C27CBD2_004004-T1		0.874	332	-1.0	singleton	
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	Nuevo_Leon_2|CB39D8F_001874-T1		0.85	323	1.0	singleton	Pkinase
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	578-1_L_NEW_CPA0049|C79DB71_000453-T1		0.834	317	-4.0	core	Nop14
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	B10813_Texas|CFDA6A7_003749-T1		0.834	317	-3.0	core	Fungal_trans,Zn_clus
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	578-1_L_NEW_CPA0049|C79DB71_000454-T1		0.829	315	-5.0	core	
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	578-1_L_NEW_CPA0049|C79DB71_000455-T1		0.829	315	-6.0	core	ORC3_N,WHD_ORC
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	578-1_L_NEW_CPA0049|C79DB71_000456-T1		0.829	315	-7.0	core	
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	578-1_L_NEW_CPA0049|C79DB71_000457-T1		0.829	315	-8.0	core	Sec66
H043	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	485B-1_L_OLD_CPA0023|C4025D1_005993-T1		1.0	1	4.0	singleton	
H043	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	574-0_S_OLD_CPA0039|C27CBD2_006443-T1		1.0	1	9.0	cloud	Ribosomal_L5,Ribosomal_L5_C
H043	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	Michoacan_2|C26AA88_004336-T1		1.0	1	-7.0	core	PALP
H043	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	Michoacan_2|C26AA88_004321-T1		1.0	1	8.0	core	LSM
H043	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	GT-164|C437F43_007100-T1		1.0	1	-3.0	core	Leuk-A4-hydro_C,Peptidase_M1,Peptidase_M1_N
H043	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	B3353|C210CF2_002931-T1		1.0	1	-9.0	core	GHMP_kinases_C,GHMP_kinases_N
H043	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	B15257|C0359CC_004728-T1		1.0	1	5.0	core	AA_permease,SLC12
H043	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	B12496|CD2FAA9_003660-T1		1.0	1	1.0	core	Aspzincin_M35,Peptidase_M35
H020	574-0_S_OLD_CPA0039|C27CBD2_001106-T1	B11872|C426E4A_003179-T1	H018	1.0	121	1.0	core	Het-C
H020	574-0_S_OLD_CPA0039|C27CBD2_001106-T1	578-1_L_NEW_CPA0049|C79DB71_006781-T1		0.975	118	3.0	core	zf-C3HC4,zf-RING_5,zf-RING_UBOX
H020	574-0_S_OLD_CPA0039|C27CBD2_001106-T1	578-1_L_NEW_CPA0049|C79DB71_006782-T1		0.975	118	4.0	core	SNARE
H020	574-0_S_OLD_CPA0039|C27CBD2_001106-T1	UTAH_350355|C31EB65_002595-T1		0.975	118	2.0	core	DUF8768
H020	574-0_S_OLD_CPA0039|C27CBD2_001106-T1	578-1_L_NEW_CPA0049|C79DB71_006783-T1		0.95	115	5.0	core	
H020	574-0_S_OLD_CPA0039|C27CBD2_001106-T1	B3439|C251D21_001752-T1		0.934	113	6.0	core	DUF4452
H020	574-0_S_OLD_CPA0039|C27CBD2_001106-T1	578-1_L_NEW_CPA0049|C79DB71_006786-T1		0.884	107	7.0	core	Cyclin_N
H020	574-0_S_OLD_CPA0039|C27CBD2_001106-T1	B12496|CD2FAA9_000897-T1		0.727	88	-3.0	core	IBR,Rcat_RNF216
