label	family	family_class	n_members	n_members_classified	frac_members_classified	class_counts	modal_architecture	architectures	rep_architecture	median_len	n_strains_with_member	max_copies_per_strain	n_strains_multicopy	bin	strain_count_Ci_rep	Ci_present	Ci_genome_only	Ci_n	Cp_present	Cp_genome_only	Cp_n	Ci_frac_any	Cp_frac_any	fisher_p_any	Ci_frac_annot	Cp_frac_annot	fisher_p_annot	bh_q_any	bh_q_annot	poly_within_annot	poly_between_annot	poly_within_any	poly_between_any	Ci_mean_copies_carriers	Cp_mean_copies_carriers	locus	n_markers_family	in_pair_table	rep_pfam_full	frac_APH_adjacent
H001	B12495|C0ACC3F_004293-T1	HET_domain	419	419	1.0	HET_domain:419	HET-Het6_barrel	HET-Het6_barrel:419	HET-Het6_barrel	2183	418	2	1	core	129	165	0	169	253	0	360	0.9763	0.7028	5.704236843729421e-16	0.9763	0.7028	5.704236843729421e-16	2.8856727562395897e-15	2.8856727562395897e-15	True	True	True	True	1.01	1.0	L007	13	False	DUF8348,HET,Het-6_barrel	0.0
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	HET_domain	275	275	1.0	HET_domain:275	HET	HET:275	HET	835	275	1	0	shell	107	142	0	169	133	0	360	0.8402	0.3694	3.0401226022909423e-25	0.8402	0.3694	3.0401226022909423e-25	2.376823125427464e-24	2.178754531641842e-24	True	True	True	True	1.0	1.0	L011	0	True	HET	0.989
H003	574-0_S_OLD_CPA0039|C27CBD2_001617-T1	HET_domain	61	61	1.0	HET_domain:61	HET-Het6_barrel	HET-Het6_barrel:61	HET-Het6_barrel	758	61	1	0	singleton	0	0	0	169	61	0	360	0.0	0.1694	1.8004436323491404e-11	0.0	0.1694	1.8004436323491404e-11	7.741907619101304e-11	8.149376441159266e-11	True	True	True	True	0.0	1.0	L007	13	False	HET,Het-6_barrel	0.0
H004	B11232|C29E0E0_006388-T1	HET_domain	30	30	1.0	HET_domain:30	HET-Het6_barrel	HET-Het6_barrel:30	HET-Het6_barrel	475	30	1	0	singleton	1	1	0	169	29	0	360	0.0059	0.0806	0.000166948822822	0.0059	0.0806	0.000166948822822	0.000531762917137	0.000531762917137	True	True	True	True	1.0	1.0	L007	10	False	HET,Het-6_barrel	0.0
H005	409B-0_L_OLD_CPA0011|C90261E_005737-T1	HET_domain	16	16	1.0	HET_domain:16	HET-Het6_barrel	HET-Het6_barrel:16	HET-Het6_barrel	1078	16	1	0	cloud	2	2	0	169	14	0	360	0.0118	0.0389	0.1070128958841027	0.0118	0.0389	0.1070128958841027	0.2244660742934839	0.230077726150821	False	False	False	False	1.0	1.0	L007	12	False	DUF8348,HET,Het-6_barrel	0.0
H006	B10757_Nevada|CAE1CCF_005469-T1	HET_domain	3	3	1.0	HET_domain:3	HET-Het6_barrel	HET-Het6_barrel:3	HET-Het6_barrel	1652	3	1	0	singleton	1	1	0	169	2	0	360	0.0059	0.0056	1.0	0.0059	0.0056	1.0	1.0	1.0	False	False	False	False	1.0	1.0	L007	4	False	DUF8348,HET,Het-6_barrel	0.0
H007	GT-151|CDCC634_008618-T1	HET_domain	2	2	1.0	HET_domain:2	HET	HET:2	HET	503	2	1	0	singleton	0	0	0	169	2	0	360	0.0	0.0056	1.0	0.0	0.0056	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L015	0	False	HET	0.0
H008	M223|C6CD41C_008662-T1	HET_domain	1	1	1.0	HET_domain:1	HET	HET:1	HET	135	1	1	0	singleton	0	0	0	169	1	0	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L016	0	False	HET	0.0
H009	SDVA10|CE292C0_000946-T1	HeLo_SesA_Goodbye_HETs	130	130	1.0	HeLo_SesA_Goodbye_HETs:130	Goodbye	Goodbye:130	Goodbye	243	130	1	0	singleton	0	0	0	169	130	1	360	0.0	0.3639	1.367508856839718e-26	0.0	0.3611	1.7117474420514002e-26	1.1760576168821574e-25	1.3382752728765492e-25	True	True	True	True	0.0	1.0	L002	15	False	Goodbye	0.0
H010	UTAH_23742X260|CC29979_006059-T1	HeLo_SesA_Goodbye_HETs	59	59	1.0	HeLo_SesA_Goodbye_HETs:59	Goodbye	Goodbye:59	Goodbye	231	59	1	0	shell	52	59	7	169	0	0	360	0.3905	0.0	5.30917695537964e-38	0.3491	0.0	1.6034752658659087e-33	6.522703116609272e-37	1.5322096984940903e-32	True	True	True	True	1.0	0.0	L002	19	True	Goodbye	0.0
