label	family	n_genes	median_dist_end	frac_le20kb	frac_le50kb	median_contig_len	median_genes_to_end	frac_genes_to_end_0
H001	B12495|C0ACC3F_004293-T1	419	24534	0.461	0.635	156283	9.0	0.019
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	275	12036	0.687	0.92	63398	4.0	0.004
H003	574-0_S_OLD_CPA0039|C27CBD2_001617-T1	61	57047	0.197	0.492	237660	21.0	0.033
H004	B11232|C29E0E0_006388-T1	30	15835	0.533	0.667	121228	7.0	0.033
H005	409B-0_L_OLD_CPA0011|C90261E_005737-T1	16	23561	0.5	0.625	156025	12.0	0.188
H006	B10757_Nevada|CAE1CCF_005469-T1	3	4118	1.0	1.0	25235	2.0	0.0
H007	GT-151|CDCC634_008618-T1	2	1268	1.0	1.0	20380	1.0	0.0
H008	M223|C6CD41C_008662-T1	1	39	1.0	1.0	635	0.0	1.0
H009	SDVA10|CE292C0_000946-T1	130	65678	0.062	0.446	236952	25.0	0.008
H010	UTAH_23742X260|CC29979_006059-T1	59	53304	0.186	0.458	161864	18.0	0.017
H011	UCSF_Cp_Silveira|C282BBF_005390-T1	32	39911	0.031	0.594	217530	17.0	0.0
H012	COCSP-3505|C3BD8F1_004417-T1	22	37718	0.273	0.545	142129	15.5	0.0
H013	B11300|C7C73A6_000676-T1	13	40036	0.231	0.692	173213	16.0	0.0
H014	A502-1|C7FAE4E_005112-T1	8	41385	0.125	0.5	107659	16.0	0.0
H015	B3440|C2CD592_001965-T1	7	96322	0.143	0.286	294074	30.0	0.0
H016	CA25|C4385CC_002784-T1	4	78574	0.25	0.25	167285	29.0	0.0
H017	GT-119|C5FB385_003315-T1	2	78854	0.0	0.0	186251	25.0	0.0
H018	B11872|C426E4A_003179-T1	524	24925	0.483	0.607	232849	9.0	0.235
H019	UTAH_23742X257|CDDFF5A_002435-T1	523	75616	0.229	0.377	254848	28.0	0.023
H020	574-0_S_OLD_CPA0039|C27CBD2_001106-T1	121	94309	0.215	0.339	360715	33.0	0.008
H021	409B-0_L_OLD_CPA0011|C90261E_002168-T1	3	41	1.0	1.0	10576	0.0	0.667
H022	SOIL_604-1_L_OLD_CPA066|C04D475_008327-T1	2	310	1.0	1.0	61497	0.0	1.0
H023	CA1|CEE9A5C_008761-T1	1	11	1.0	1.0	1645	0.0	1.0
H024	COCSP-3505|C3BD8F1_002724-T1	1	18	1.0	1.0	54141	0.0	1.0
H025	409B-0_L_OLD_CPA0011|C90261E_007970-T1	380	30100	0.384	0.655	170634	7.0	0.266
H026	UTAH_23742X6|CAC50EA_001516-T1	347	59669	0.205	0.418	217054	22.0	0.0
H027	B3301|C251A4F_003646-T1	168	54706	0.119	0.446	193498	18.0	0.0
H028	5SD|CCCC1E1_001065-T1	145	29634	0.283	0.697	158266	14.0	0.255
H029	SDVA38|CE6DD8A_000803-T1	125	30076	0.432	0.736	95025	11.0	0.0
H030	730332_Guatemala|C45F23D_001753-T1	102	31778	0.294	0.706	86051	11.0	0.0
H031	B11400|CF1B8A4_004391-T1	95	38522	0.211	0.611	110767	12.0	0.011
H032	SDVA20|C001139_007070-T1	76	31604	0.211	0.711	95398	11.0	0.0
H033	B11035|C5FC1D8_003079-T1	51	23549	0.412	0.98	76197	9.0	0.0
H034	UTAH_23742X51|C229CD7_002130-T1	34	31057	0.088	0.765	92574	11.0	0.029
H035	B10757_Nevada|CAE1CCF_003071-T1	28	31679	0.25	0.679	94237	11.0	0.0
H036	UTAH_20380X1|CF4A409_007973-T1	14	29621	0.357	1.0	84181	10.0	0.0
H037	B3244|CC6B4BB_007648-T1	10	75227	0.1	0.2	248114	26.5	0.0
H038	SDVA10|CE292C0_006993-T1	8	24240	0.375	1.0	83134	9.0	0.0
H039	Phoenix_1|CDD70D4_008045-T1	5	23569	0.2	1.0	81392	10.0	0.0
H040	B3246|C90A8A7_001323-T1	4	79031	0.25	0.25	530286	25.5	0.0
H041	GT-147|C9481DC_005228-T1	2	3973	1.0	1.0	15402	1.5	0.5
H042	GT-158|C010C21_006437-T1	2	23950	0.5	1.0	76560	9.0	0.0
H043	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	1	31778	0.0	1.0	116392	12.0	0.0
H044	B14286|CC2BA17_001544-T1	1	7634	1.0	1.0	184899	2.0	0.0
H045	GT-147|C9481DC_003434-T1	1	36	1.0	1.0	14039	0.0	1.0
H046	GT-111|C5A2EA4_002972-T1	523	31278	0.359	0.642	159701	7.0	0.025
H047	578-1_L_NEW_CPA0049|C79DB71_006976-T1	365	40121	0.255	0.529	211571	16.0	0.005
