locus	species	combination	n_strains_with_combination	exemplar	n_contigs	het_genes
L001	Ci	H029	60	UTAH_23742X241:scaffold_6:487376-488375	231	UTAH_23742X241|CAC4C37_001410-T1
L001	Ci	H033	40	UTAH_23742X227:scaffold_112:22318-23849	176	UTAH_23742X227|C6CBCE1_008572-T1
L001	Ci	H029,H048	35	UTAH_20380X16:scaffold_34:113059-161630	123	UTAH_20380X16|CAD5A21_007430-T1,UTAH_20380X16|CAD5A21_007450-T1
L001	Cp	H030	65	B3413:scaffold_54:23594-24046	214	B3413|C774DC9_006912-T1
L001	Cp	H031	50	B3245:scaffold_26:129858-130505	215	B3245|CED469C_004959-T1
L001	Cp	H032	46	B3368:scaffold_74:57974-58621	212	B3368|CDD87E0_006973-T1
L002	Ci	H056	58	UTAH_20380X16:scaffold_7:444852-445301	123	UTAH_20380X16|CAD5A21_002623-T1
L002	Ci	H010,H055	56	UTAH_20380X10:scaffold_42:131502-132787	144	UTAH_20380X10|CE3D476_007766-T1,UTAH_20380X10|CE3D476_007767-T1
L002	Ci	H055	17	UTAH_23742X235:scaffold_69:30077-30459	225	UTAH_23742X235|C16CCE9_006859-T1
L002	Cp	H049	171	B3375:scaffold_22:75513-76886	200	B3375|C769598_004384-T1
L002	Cp	H009,H049	119	M221:scaffold_52:47312-49811	175	M221|CDACC35_006469-T1,M221|CDACC35_006470-T1
L002	Cp	H011,H058	26	B3413:scaffold_1:349442-352740	214	B3413|C774DC9_000077-T1,B3413|C774DC9_000078-T1
L003	Ci	H018	162	UTAH_20380X16:scaffold_13:518150-520807	123	UTAH_20380X16|CAD5A21_004406-T1
L003	Ci	H018,H020	4	GT-128:scaffold_41:25114-27771	382	GT-128|C01BA78_005091-T1,GT-128|C01BA78_005092-T1
L003	Ci	H022	1	h5384:scaffold_64:310-2653	831	h5384|CAF011E_004710-T1
L003	Cp	H018	239	B3411:scaffold_31:245075-247726	207	B3411|CBD318B_004721-T1
L003	Cp	H018,H020	116	COCPO_Galgiani:scaffold_43:75012-77662	154	COCPO_Galgiani|CF9E767_006266-T1,COCPO_Galgiani|CF9E767_006267-T1
L003	Cp	H018,H020,H050	1	M199:scaffold_21:103208-108258	361	M199|C82F880_002341-T1
L003	Cp	H018,H020,H050	1	M199:scaffold_6:10663-13314	361	M199|C82F880_000787-T1,M199|C82F880_000788-T1
L004	Ci	H027	161	UTAH_20380X16:scaffold_8:396820-399336	123	UTAH_20380X16|CAD5A21_002977-T1
