accession	taxon_id	gene_name	description	go_ids	pfam_ids	pfam_names	interpro_ids	ec_numbers	alphafold_id
A6T4S1	272620	gcd	Glucose dehydrogenase	GO:0030288:IEA|GO:0005886:IEA|GO:0048038:IEA|GO:0008876:IEA	PF01011	PQQ	IPR018391|IPR017511|IPR002372|IPR011047|IPR001479		A6T4S1
A6T4T6	272620	ligT	RNA 2',3'-cyclic phosphodiesterase	GO:0004113:IEA|GO:0016874:IEA|GO:0008664:IEA	PF13563	2_5_RNA_ligase2	IPR009097|IPR004175	3.1.4.58	A6T4T6
A6T4U6	272620	pulG	Type II secretion system core protein G	GO:0005886:IEA|GO:0015627:IEA|GO:0015628:IEA	PF07963|PF08334	N_methyl|T2SSG	IPR000983|IPR012902|IPR045584|IPR013545|IPR010054		A6T4U6
A6T4Z8	272620	yaeB	tRNA (adenine(37)-N6)-methyltransferase	GO:0003723:IEA|GO:0089715:IEA|GO:0032259:IEA|GO:0008033:IEA	PF18389|PF01980	TrmO_C|TrmO_N	IPR023370|IPR041369|IPR023368|IPR040372|IPR036413|IPR036414		A6T4Z8
A6T565	272620	yeiE	Transcriptional regulator (LysR familiy)						A6T565
A6T5G4	272620	KPN_00383	Xylose isomerase-like TIM barrel	GO:0016853:IEA	PF01261	AP_endonuc_2	IPR050312|IPR036237|IPR013022		A6T5G4
A6T5J7	272620	ybaY	Glycoprotein/polysaccharide metabolism		PF09619	YscW	IPR053196|IPR039366		A6T5J7
A6T5T8	272620	KPN_00509	Periplasmic binding protein	GO:0030313:IEA|GO:0030246:IEA	PF13407	Peripla_BP_4	IPR028082|IPR025997		A6T5T8
A6T5X0	272620	KPN_00541	Lipoprotein						A6T5X0
A6T5X8	272620	KPN_00549	Transport protein, PTS system	GO:0005886:IEA|GO:0009401:IEA	PF03613	EIID-AGA	IPR050303|IPR004704		A6T5X8
A6T5Z7	272620	KPN_00568	ABC-type dipeptide transporter	GO:0005886:IEA|GO:0005524:IEA|GO:0016887:IEA|GO:0015833:IEA|GO:0055085:IEA	PF00005|PF08352	ABC_tran|oligo_HPY	IPR003593|IPR050388|IPR003439|IPR017871|IPR013563|IPR027417	7.4.2.9	A6T5Z7
A6T685	272620	cspE	Cold shock protein E	GO:0005829:IEA|GO:0003676:IEA	PF00313	CSD	IPR012156|IPR050181|IPR011129|IPR019844|IPR002059|IPR012340		A6T685
A6T691	272620	lipB	Octanoyltransferase	GO:0005737:IEA|GO:0033819:IEA|GO:0009249:IEA	PF21948	LplA-B_cat	IPR045864|IPR004143|IPR000544|IPR020605	2.3.1.181	A6T691
A6T6G5	272620	tolA	Cell envelope integrity inner membrane protein TolA	GO:0016020:IEA|GO:0019534:IEA|GO:0043213:IEA	PF06519	TolA	IPR014161		A6T6G5
A6T6H6	272620	KPN_00761	Tartrate dehydratase	GO:0051539:IEA|GO:0016829:IEA|GO:0046872:IEA	PF05681	Fumerase	IPR051208|IPR004646		A6T6H6
A6T6L9	272620	uvrB	UvrABC system protein B	GO:0005737:IEA|GO:0009380:IEA|GO:0005524:IEA|GO:0016887:IEA|GO:0003677:IEA|GO:0009381:IEA|GO:0004386:IEA|GO:0006289:IEA|GO:0009432:IEA	PF00271|PF04851|PF02151|PF12344|PF27431|PF17757	Helicase_C|ResIII|UVR|UvrB|UvrB_3rd|UvrB_inter	IPR006935|IPR014001|IPR001650|IPR027417|IPR001943|IPR036876|IPR004807|IPR041471|IPR024759		A6T6L9
