"Gene ID","Organism","Genomic Location (Gene)","Product Description","Is Pseudo","# Transcripts","Gene Name or Symbol"
"Q0045","Saccharomyces cerevisiae S288C","KP263414:13,818..26,701(+)","cytochrome c oxidase subunit 1","No","1","COX1"
"Q0050","Saccharomyces cerevisiae S288C","KP263414:13,818..16,322(+)","intron-encoded reverse transcriptase aI1","No","1","AI1"
"Q0055","Saccharomyces cerevisiae S288C","KP263414:13,818..18,830(+)","intron-encoded reverse transcriptase aI2","No","1","AI2"
"Q0060","Saccharomyces cerevisiae S288C","KP263414:13,818..19,996(+)","intron-encoded DNA endonuclease aI3","No","1","AI3"
"Q0065","Saccharomyces cerevisiae S288C","KP263414:13,818..21,935(+)","intron-encoded DNA endonuclease aI4","No","1","AI4"
"Q0070","Saccharomyces cerevisiae S288C","KP263414:13,818..23,167(+)","intron-encoded DNA endonuclease aI5 alpha","No","1","AI5_ALPHA"
"Q0075","Saccharomyces cerevisiae S288C","KP263414:24,156..25,255(+)","intron-encoded DNA endonuclease aI5 beta","No","1","AI5_BETA"
"Q0080","Saccharomyces cerevisiae S288C","KP263414:27,666..27,812(+)","F1F0 ATP synthase subunit 8","No","1","ATP8"
"Q0085","Saccharomyces cerevisiae S288C","KP263414:28,487..29,266(+)","F1F0 ATP synthase subunit a","No","1","ATP6"
"Q0105","Saccharomyces cerevisiae S288C","KP263414:36,540..43,647(+)","cytochrome b","No","1","COB"
"Q0110","Saccharomyces cerevisiae S288C","KP263414:36,540..38,579(+)","cytochrome b mRNA maturase bI2","No","1","BI2"
"Q0115","Saccharomyces cerevisiae S288C","KP263414:36,540..40,265(+)","cytochrome b mRNA maturase bI3","No","1","BI3"
"Q0120","Saccharomyces cerevisiae S288C","KP263414:36,540..42,251(+)","intron-encoded RNA maturase bI4","No","1","BI4"
"Q0130","Saccharomyces cerevisiae S288C","KP263414:46,723..46,953(+)","F0 ATP synthase subunit c","No","1","OLI1"
"Q0140","Saccharomyces cerevisiae S288C","KP263414:48,901..50,097(+)","mitochondrial 37S ribosomal protein VAR1","No","1","VAR1"
"Q0160","Saccharomyces cerevisiae S288C","KP263414:61,022..61,729(+)","intron-encoded endonuclease I-SceI","No","1","SCEI"
"Q0250","Saccharomyces cerevisiae S288C","KP263414:73,758..74,513(+)","cytochrome c oxidase subunit 2","No","1","COX2"
"Q0255","Saccharomyces cerevisiae S288C","KP263414:74,495..75,984(+)","maturase-like protein","No","1","N/A"
"Q0275","Saccharomyces cerevisiae S288C","KP263414:79,213..80,022(+)","cytochrome c oxidase subunit 3","No","1","COX3"
"YAL001C","Saccharomyces cerevisiae S288C","BK006935:147,594..151,166(-)","transcription factor TFIIIC subunit TFC3","No","1","TFC3"
"YAL002W","Saccharomyces cerevisiae S288C","BK006935:143,707..147,531(+)","CORVET complex membrane-binding subunit VPS8","No","1","VPS8"
"YAL003W","Saccharomyces cerevisiae S288C","BK006935:142,174..143,160(+)","translation elongation factor 1 subunit beta","No","1","EFB1"
"YAL005C","Saccharomyces cerevisiae S288C","BK006935:139,503..141,431(-)","Hsp70 family ATPase SSA1","No","1","SSA1"
"YAL007C","Saccharomyces cerevisiae S288C","BK006935:137,698..138,345(-)","Erp2p","No","1","ERP2"
"YAL008W","Saccharomyces cerevisiae S288C","BK006935:136,914..137,510(+)","Fun14p","No","1","FUN14"
"YAL009W","Saccharomyces cerevisiae S288C","BK006935:135,854..136,633(+)","Nem1-Spo7 phosphatase regulatory subunit SPO7","No","1","SPO7"
"YAL010C","Saccharomyces cerevisiae S288C","BK006935:134,184..135,665(-)","Mdm10p","No","1","MDM10"
"YAL011W","Saccharomyces cerevisiae S288C","BK006935:132,199..134,076(+)","Swc3p","No","1","SWC3"
"YAL012W","Saccharomyces cerevisiae S288C","BK006935:130,799..131,983(+)","cystathionine gamma-lyase CYS3","No","1","CYS3"
"YAL013W","Saccharomyces cerevisiae S288C","BK006935:129,270..130,487(+)","Rpd3L histone deacetylase complex subunit DEP1","No","1","DEP1"
"YAL014C","Saccharomyces cerevisiae S288C","BK006935:128,252..129,019(-)","syntaxin","No","1","SYN8"
"YAL015C","Saccharomyces cerevisiae S288C","BK006935:126,903..128,102(-)","bifunctional N-glycosylase/AP lyase NTG1","No","1","NTG1"
"YAL016W","Saccharomyces cerevisiae S288C","BK006935:124,879..126,786(+)","protein phosphatase 2A structural subunit TPD3","No","1","TPD3"
"YAL017W","Saccharomyces cerevisiae S288C","BK006935:120,225..124,295(+)","serine/threonine protein kinase PSK1","No","1","PSK1"
"YAL018C","Saccharomyces cerevisiae S288C","BK006935:118,564..119,541(-)","Lds1p","No","1","LDS1"
"YAL019W","Saccharomyces cerevisiae S288C","BK006935:114,919..118,314(+)","DNA-dependent ATPase FUN30","No","1","FUN30"
"YAL020C","Saccharomyces cerevisiae S288C","BK006935:113,614..114,615(-)","Ats1p","No","1","ATS1"
"YAL021C","Saccharomyces cerevisiae S288C","BK006935:110,846..113,359(-)","CCR4-NOT core exoribonuclease subunit CCR4","No","1","CCR4"
"YAL022C","Saccharomyces cerevisiae S288C","BK006935:108,877..110,430(-)","nucleoside transmembrane transporter FUN26","No","1","FUN26"
"YAL023C","Saccharomyces cerevisiae S288C","BK006935:106,272..108,551(-)","dolichyl-phosphate-mannose-protein mannosyltransferase PMT2","No","1","PMT2"
