accession	taxon_id	gene_name	description	go_ids	pfam_ids	pfam_names	interpro_ids	ec_numbers	alphafold_id
B2UKM9	349741		Uncharacterized protein						B2UKM9
B2UKN1	349741	dinB	DNA polymerase IV	GO:0005829:IEA|GO:0003684:IEA|GO:0003887:IEA|GO:0000287:IEA|GO:0006281:IEA|GO:0006261:IEA|GO:0042276:IEA|GO:0009432:IEA	PF00817|PF11799	IMS|IMS_C	IPR043502|IPR036775|IPR017961|IPR050116|IPR022880|IPR043128|IPR001126	2.7.7.7	B2UKN1
B2UKN2	349741		Major facilitator superfamily MFS_1	GO:0022857:IEA	PF07690	MFS_1	IPR011701|IPR020846|IPR036259		B2UKN2
B2UKN7	349741		Peptidase S49	GO:0008233:IEA|GO:0006508:IEA	PF01343	Peptidase_S49	IPR029045|IPR002142|IPR033855		B2UKN7
B2UKP4	349741		DUF5117 domain-containing protein						B2UKP4
B2UKP7	349741		Uncharacterized protein						B2UKP7
B2UKQ0	349741		Uncharacterized protein						B2UKQ0
B2UKV9	349741		Uncharacterized protein						B2UKV9
B2UKZ1	349741		Pseudouridine synthase	GO:0140098:IEA|GO:0009982:IEA|GO:0003723:IEA|GO:0001522:IEA|GO:0006364:IEA	PF00849	PseudoU_synth_2	IPR042092|IPR020103|IPR006145|IPR000748|IPR018496|IPR050343|IPR036986|IPR020094	5.4.99.-	B2UKZ1
B2UL44	349741		3-dehydroquinate dehydratase	GO:0003855:IEA|GO:0046279:IEA	PF01487	DHquinase_I	IPR013785|IPR001381|IPR050146	4.2.1.10	B2UL44
B2UL49	349741		Polysaccharide deacetylase	GO:0016020:IEA|GO:0016810:IEA|GO:0046872:IEA|GO:0005975:IEA	PF01522	Polysacc_deac_1	IPR011330|IPR002509|IPR050248		B2UL49
B2UL65	349741		GTP cyclohydrolase 1 type 2 homolog	GO:0005737:IEA|GO:0046872:IEA	PF01784	DUF34_NIF3	IPR002678|IPR036069		B2UL65
B2UL92	349741	proS	Proline--tRNA ligase	GO:0017101:IEA|GO:0005737:IEA|GO:0005524:IEA|GO:0004827:IEA|GO:0006433:IEA	PF03129|PF09180|PF00587	HGTP_anticodon|ProRS-C_1|tRNA-synt_2b	IPR002314|IPR006195|IPR045864|IPR004154|IPR036621|IPR004499|IPR016061|IPR017449|IPR033721	6.1.1.15	B2UL92
B2ULA4	349741		Uncharacterized protein						B2ULA4
B2ULA5	349741	menG	Demethylmenaquinone methyltransferase	GO:0043770:IEA|GO:0009234:IEA|GO:0032259:IEA	PF01209	Ubie_methyltran	IPR029063|IPR004033	2.1.1.163	B2ULA5
B2ULE2	349741	mutL	DNA mismatch repair protein MutL	GO:0032300:IEA|GO:0005524:IEA|GO:0016887:IEA|GO:0140664:IEA|GO:0030983:IEA|GO:0006298:IEA	PF01119|PF13589|PF08676	DNA_mis_repair|HATPase_c_3|MutL_C	IPR014762|IPR020667|IPR013507|IPR036890|IPR002099|IPR038973|IPR014790|IPR042120|IPR042121|IPR037198|IPR020568|IPR014721		B2ULE2
B2ULF8	349741		Prepilin-type N-terminal cleavage/methylation domain-containing protein				IPR012902		B2ULF8
B2ULK0	349741		Iron-containing alcohol dehydrogenase	GO:0005829:IEA|GO:0008106:IEA|GO:1990362:IEA|GO:0046872:IEA|GO:1990002:IEA	PF25137|PF00465	ADH_Fe_C|Fe-ADH	IPR001670|IPR056798|IPR018211|IPR044731		B2ULK0
B2ULN7	349741	nuoN	NADH-quinone oxidoreductase subunit N	GO:0012505:IEA|GO:0005886:IEA|GO:0050136:IEA|GO:0008137:IEA|GO:0048038:IEA|GO:0042773:IEA	PF00361	Proton_antipo_M	IPR010096|IPR001750	7.1.1.-	B2ULN7
