Gene ID,Gene Name or Symbol,Product Description
AN0005,N/A,"Ortholog of A. niger CBS 513.88 : An03g02250, Aspergillus tubingensis : Asptu1_0080862, Aspergillus kawachii : Aspka1_0180365, Aspergillus acidus : Aspfo1_0194711 and Aspergillus wentii : Aspwe1_0734587"
AN0006,N/A,"Ortholog of Neosartorya fischeri NRRL 181 : NFIA_005440, Aspergillus versicolor : Aspve1_0175571, Aspergillus clavatus NRRL 1 : ACLA_062940, ACLA_090730 and Aspergillus sydowii : Aspsy1_0047904"
AN0007,N/A,"Ortholog of A. nidulans FGSC A4 : AN6322, AN0902 and A. fumigatus Af293 : Afu1g01340, Afu1g15680, Afu3g01640"
AN0009,N/A,"Has domain(s) with predicted catalytic activity, hydrolase activity"
AN0012,N/A,"Ortholog of A. fumigatus Af293 : Afu5g10930, A. oryzae RIB40 : AO090701000510, Aspergillus flavus NRRL 3357 : AFL2T_06133 and Neosartorya fischeri NRRL 181 : NFIA_076310"
AN0014,N/A,protein of unknown function
AN0015,N/A,Predicted transmembrane transporter
AN0016,N/A,Putative nonribosomal peptide synthase
AN0017,N/A,"Copper ion homeostasis protein, putative"
AN0019,N/A,protein of unknown function
AN0020,N/A,protein of unknown function
AN0021,N/A,protein of unknown function
AN0022,N/A,"Putative alpha-1,4-galactosidase"
AN0023,N/A,putative oxidoreductase
AN0024,N/A,"oxidoreductase, putative"
AN0025,N/A,"N,N-dimethylaniline monooxygenase, putative"
AN0026,N/A,Putative Zn(II)2Cys6 transcription factor
AN0027,N/A,"N,N-dimethylaniline monooxygenase, putative"
AN0028,N/A,"hydrolase, putative"
AN0029,N/A,Putative transmembrane transporter
AN0030,N/A,Has domain(s) with predicted hydrolase activity
AN0031,N/A,protein of unknown function
AN0032,N/A,"Ortholog of A. nidulans FGSC A4 : AN2556, A. niger CBS 513.88 : An11g09050, A. oryzae RIB40 : AO090010000754 and Neosartorya fischeri NRRL 181 : NFIA_113020"
AN0033,N/A,"Ortholog of A. nidulans FGSC A4 : AN10483, AN2809, AN2115, AN12460, A. fumigatus Af293 : Afu2g00940, Afu2g16560, Afu3g15340, Afu7g00460, Afu7g06360 and A. niger CBS 513.88 : An14g02830, An16g00830"
AN0034,N/A,Putative glycerone kinase with a predicted role in glycerol metabolism
AN0035,N/A,protein of unknown function
AN0036,N/A,"Ortholog(s) have cytosol, nucleus localization"
AN0038,N/A,Putative 1-phosphatidylinositol-3-kinase
AN0039,N/A,"Ortholog of S. cerevisiae : YNL011C, A. fumigatus Af293 : Afu5g12650, A. niger CBS 513.88 : An14g06550, A. oryzae RIB40 : AO090120000392 and Aspergillus wentii : Aspwe1_0131485"
AN0040,N/A,"Ortholog(s) have 3'-5' exonuclease activity, DNA-directed DNA polymerase activity, role in mitochondrial DNA replication and mitochondrion localization"
AN0041,N/A,protein of unknown function
AN0042,N/A,"Has domain(s) with predicted metal ion transmembrane transporter activity, role in metal ion transport, transmembrane transport and membrane localization"
AN0043,N/A,Has domain(s) with predicted transferase activity and role in biosynthetic process
AN0044,N/A,"Ortholog(s) have role in nucleotide-excision repair, postreplication repair and nucleus, site of double-strand break localization"
AN0045,N/A,Transcript induced by light in in developmentally competent mycelia
AN0046,N/A,Putative histidyl-tRNA synthetase with a predicted role in tRNA aminoacylation
AN0048,N/A,"Ortholog of A. fumigatus Af293 : Afu5g12560, A. niger CBS 513.88 : An14g06630, A. oryzae RIB40 : AO090120000382, Aspergillus wentii : Aspwe1_0026710 and Aspergillus sydowii : Aspsy1_0097984"
AN0049,N/A,Ortholog(s) have endoplasmic reticulum localization
AN0050,N/A,Putative picolinic acid decarboxylase with a predicted role in aromatic amino acid family biosynthesis
AN0051,N/A,Putative dioxygenase
AN0052,N/A,Has domain(s) with predicted oxidoreductase activity and role in metabolic process
AN0053,N/A,"Ortholog of A. fumigatus Af293 : Afu5g12500, A. oryzae RIB40 : AO090120000375, Aspergillus wentii : Aspwe1_0170789, Aspergillus sydowii : Aspsy1_0144467 and Aspergillus terreus NIH2624 : ATET_02022"
AN0054,N/A,Putative adenylate-forming enzyme
AN0055,N/A,Transmembrane protein involved in regulation of conidium development
AN0056,N/A,Arrestin-like protein
AN0057,N/A,Ortholog(s) have cytosol localization
AN0058,N/A,Has domain(s) with predicted catalytic activity and role in metabolic process
AN0059,N/A,Ortholog(s) have nucleolus localization
AN0061,N/A,"Ortholog of S. cerevisiae : YLR326W, A. fumigatus Af293 : Afu5g12410, A. oryzae RIB40 : AO090120000361, Aspergillus wentii : Aspwe1_0026696 and Aspergillus sydowii : Aspsy1_0103462"
AN0062,N/A,"Ortholog(s) have role in invasive growth in response to glucose limitation, protein urmylation, pseudohyphal growth, tRNA wobble position uridine thiolation and cytosolic tRNA wobble base thiouridylase complex, nucleus localization"
AN0063,N/A,Ortholog(s) have cytoplasm localization
AN0064,N/A,"Ortholog of A. fumigatus Af293 : Afu5g12380, A. niger CBS 513.88 : An14g06840, A. oryzae RIB40 : AO090120000356, Aspergillus wentii : Aspwe1_0447672 and Aspergillus sydowii : Aspsy1_0101454"
AN0065,N/A,Ortholog(s) have histone methyltransferase activity (H3-K4 specific) activity
AN0066,N/A,"Ortholog(s) have isopropylmalate transmembrane transporter activity, malonate(1-) transmembrane transporter activity, oxaloacetate transmembrane transporter activity, sulfate transmembrane transporter activity"
AN0067,N/A,Putative ribonucleotide reductase small subunit
AN0068,N/A,"Has domain(s) with predicted 7S RNA binding activity, role in SRP-dependent cotranslational protein targeting to membrane, negative regulation of translational elongation and signal recognition particle localization"
AN0069,N/A,Putative protein transport protein
