"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Is Pseudo","# Transcripts","Gene Name or Symbol","Transcript Product Description"
"Afu1g00100","Afu1g00100-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:216..871(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00110","Afu1g00110-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,752..4,495(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00120","Afu1g00120-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:6,805..7,472(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00130","Afu1g00130-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:10,218..11,106(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00140","Afu1g00140-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:13,021..15,308(+)","Has domain(s) with predicted DNA binding activity","No","1","N/A","Has domain(s) with predicted DNA binding activity"
"Afu1g00150","Afu1g00150-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:25,442..27,017(+)","RING finger protein","No","1","N/A","RING finger protein"
"Afu1g00160","Afu1g00160-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:29,598..29,981(+)","Ortholog of A. oryzae RIB40 : AO090102000436, AO090138000137 and Aspergillus fumigatus A1163 : AFUB_097610","No","1","N/A","Ortholog of A. oryzae RIB40 : AO090102000436, AO090138000137 and Aspergillus fumigatus A1163 : AFUB_097610"
"Afu1g00170","Afu1g00170-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:30,280..30,782(+)","Ortholog of Aspergillus wentii : Aspwe1_0166268, Aspergillus fumigatus A1163 : AFUB_097600 and Aspergillus sydowii : Aspsy1_0165358, Aspsy1_0711744","No","1","N/A","Ortholog of Aspergillus wentii : Aspwe1_0166268, Aspergillus fumigatus A1163 : AFUB_097600 and Aspergillus sydowii : Aspsy1_0165358, Aspsy1_0711744"
"Afu1g00180","Afu1g00180-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:31,560..32,325(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00200","Afu1g00200-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:36,279..37,475(-)","Ortholog of Aspergillus fumigatus A1163 : AFUB_097480 and Aspergillus sydowii : Aspsy1_0037491","No","1","N/A","Ortholog of Aspergillus fumigatus A1163 : AFUB_097480 and Aspergillus sydowii : Aspsy1_0037491"
"Afu1g00210","Afu1g00210-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:42,471..44,125(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00220","Afu1g00220-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:47,313..49,481(+)","Ortholog of A. niger CBS 513.88 : An08g08350, A. oryzae RIB40 : AO090138000179, AO090701000817, Neosartorya fischeri NRRL 181 : NFIA_004230 and Aspergillus wentii : Aspwe1_0050022","No","1","N/A","Ortholog of A. niger CBS 513.88 : An08g08350, A. oryzae RIB40 : AO090138000179, AO090701000817, Neosartorya fischeri NRRL 181 : NFIA_004230 and Aspergillus wentii : Aspwe1_0050022"
"Afu1g00230","Afu1g00230-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:55,776..58,055(-)","Has domain(s) with predicted ATP binding, phosphotransferase activity, alcohol group as acceptor activity, role in lipopolysaccharide biosynthetic process and membrane localization","No","1","N/A","Has domain(s) with predicted ATP binding, phosphotransferase activity, alcohol group as acceptor activity, role in lipopolysaccharide biosynthetic process and membrane localization"
"Afu1g00240","Afu1g00240-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:59,371..59,752(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00250","Afu1g00250-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:60,909..63,246(-)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00270","Afu1g00270-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:73,193..73,708(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00280","Afu1g00280-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:74,434..76,331(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00290","Afu1g00290-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:79,252..80,692(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g00300","Afu1g00300-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:81,720..83,658(+)","Ortholog of Aspergillus acidus : Aspfo1_0200728","No","1","N/A","Ortholog of Aspergillus acidus : Aspfo1_0200728"
"Afu1g00310","Afu1g00310-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:84,231..85,698(-)","Ortholog(s) have chitinase activity and role in chitin catabolic process","No","1","N/A","Ortholog(s) have chitinase activity and role in chitin catabolic process"
"Afu1g00320","Afu1g00320-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:87,064..87,900(+)","protein of unknown function","No","1","N/A","protein of unknown function"
