"Gene ID","Organism","Genomic Location (Gene)","Product Description","Is Pseudo","# Transcripts","Gene Name or Symbol"
"NCU00003","Neurospora crassa OR74A","CM002238:2,239,943..2,241,684(+)","hypothetical protein","No","1","N/A"
"NCU00004","Neurospora crassa OR74A","CM002238:2,242,245..2,244,101(+)","universal stress protein family domain-containing protein","No","1","N/A"
"NCU00005","Neurospora crassa OR74A","CM002238:2,244,762..2,247,195(+)","hypothetical protein","No","1","gpr-12"
"NCU00006","Neurospora crassa OR74A","CM002238:2,249,087..2,254,054(-)","hypothetical protein, variant 1, hypothetical protein","No","2","N/A"
"NCU00007","Neurospora crassa OR74A","CM002238:2,256,790..2,260,238(+)","pH-response regulator protein palH/rim-21","No","1","prr-4"
"NCU00008","Neurospora crassa OR74A","CM002238:2,261,281..2,264,004(+)","longevity-assurance protein 1","No","1","gsl-4"
"NCU00009","Neurospora crassa OR74A","CM002238:2,264,746..2,265,323(-)","hypothetical protein","No","1","N/A"
"NCU00010","Neurospora crassa OR74A","CM002238:2,266,554..2,272,856(-)","transport of metals-59","No","1","trm-59"
"NCU00011","Neurospora crassa OR74A","CM002238:2,274,917..2,275,380(-)","hypothetical protein","No","1","N/A"
"NCU00013","Neurospora crassa OR74A","CM002238:2,282,649..2,283,238(-)","hypothetical protein","No","1","N/A"
"NCU00014","Neurospora crassa OR74A","CM002238:2,284,545..2,286,517(+)","hypothetical protein","No","1","N/A"
"NCU00015","Neurospora crassa OR74A","CM002238:2,286,326..2,288,146(-)","hypothetical protein","No","1","N/A"
"NCU00017","Neurospora crassa OR74A","CM002238:2,296,472..2,299,365(-)","hypothetical protein","No","1","N/A"
"NCU00018","Neurospora crassa OR74A","CM002238:2,306,105..2,309,826(+)","cell division control protein Cdc48, variant 1, cell division control protein Cdc48","No","2","cdc48"
"NCU00019","Neurospora crassa OR74A","CM002238:2,311,586..2,315,645(-)","FKH1","No","1","fkh-1"
"NCU00021","Neurospora crassa OR74A","CM002238:2,316,983..2,322,094(-)","hypothetical protein","No","1","clu1"
"NCU00022","Neurospora crassa OR74A","CM002238:2,322,491..2,326,125(+)","hypothetical protein","No","1","N/A"
"NCU00023","Neurospora crassa OR74A","CM002238:2,329,756..2,332,744(+)","ferric reductase-2","No","1","fer-2"
"NCU00024","Neurospora crassa OR74A","CM002238:2,333,317..2,335,871(+)","yippee zinc-binding protein, variant 1, yippee zinc-binding protein","No","2","N/A"
"NCU00025","Neurospora crassa OR74A","CM002238:2,335,819..2,338,115(-)","Integral membrane protein","No","1","N/A"
"NCU00026","Neurospora crassa OR74A","CM002238:2,338,446..2,340,872(-)","hypothetical protein","No","1","N/A"
"NCU00027","Neurospora crassa OR74A","CM002238:2,341,059..2,343,300(+)","hypothetical protein","No","1","tsp-1"
"NCU00028","Neurospora crassa OR74A","CM002238:2,341,215..2,344,025(-)","hydroxymethylglutathione dehydrogenase-1","No","2","hgd-1"
"NCU00029","Neurospora crassa OR74A","CM002238:2,344,043..2,347,010(-)","ZIP metal ion transporter","No","1","trm-33"
"NCU00030","Neurospora crassa OR74A","CM002238:2,347,460..2,349,182(+)","mitochondrial nuclease-2","No","1","mnu-2"
"NCU00031","Neurospora crassa OR74A","CM002238:2,349,332..2,350,549(-)","hypothetical protein","No","1","N/A"
"NCU00032","Neurospora crassa OR74A","CM002238:2,351,255..2,354,862(-)","peroxin 8","No","1","pex8"
"NCU00033","Neurospora crassa OR74A","CM002238:2,355,176..2,356,222(+)","Integral membrane protein","No","1","N/A"
"NCU00034","Neurospora crassa OR74A","CM002238:2,356,311..2,357,859(+)","prenyl cysteine carboxyl methyltransferase Ste14, variant 1, prenyl cysteine carboxyl methyltransferase Ste14","No","2","N/A"
"NCU00035","Neurospora crassa OR74A","CM002238:2,357,727..2,360,336(-)","diacylglycerol acyltransferase-2","No","2","dga-2"
"NCU00037","Neurospora crassa OR74A","CM002238:2,361,684..2,364,743(+)","polyadenylation factor subunit 2, polyadenylation factor subunit 2, variant 1","No","2","paa-1"
"NCU00038","Neurospora crassa OR74A","CM002238:2,365,188..2,366,731(-)","zinc finger transcription factor-32","No","1","znf-32"
"NCU00039","Neurospora crassa OR74A","CM002238:2,368,758..2,371,313(-)","hypothetical protein","No","1","N/A"
"NCU00040","Neurospora crassa OR74A","CM002238:2,373,641..2,377,997(-)","eukaryotic translation initiation factor 3 110 kDa subunit","No","1","eif3a"
"NCU00041","Neurospora crassa OR74A","CM002238:2,379,374..2,381,129(+)","guanine nucleotide-binding protein subunit gamma","No","1","gng-1"
"NCU00042","Neurospora crassa OR74A","CM002238:2,381,418..2,382,910(+)","selenoprotein domain-containing protein","No","1","N/A"
"NCU00043","Neurospora crassa OR74A","CM002238:2,383,779..2,387,486(-)","serine/threonine-protein phosphatase PP1","No","1","pph-3"
"NCU00045","Neurospora crassa OR74A","CM002238:2,392,332..2,396,619(-)","PHD finger domain-containing protein","No","1","N/A"
"NCU00046","Neurospora crassa OR74A","CM002238:2,398,123..2,403,722(-)","leucine Rich Repeat domain-containing protein, variant 1, leucine Rich Repeat domain-containing protein","No","2","N/A"
"NCU00047","Neurospora crassa OR74A","CM002238:2,402,848..2,403,756(+)","hypothetical protein","No","1","N/A"
"NCU00048","Neurospora crassa OR74A","CM002238:2,407,638..2,408,633(+)","hypothetical protein","No","1","N/A"
"NCU00050","Neurospora crassa OR74A","CM002238:2,413,211..2,415,726(-)","pyruvate dehydrogenase X component","No","1","ace-11"
