"Gene ID","Organism","Genomic Location (Gene)","Product Description","Is Pseudo","# Transcripts","Gene Name or Symbol"
"SPAC1002.01","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,798,347..1,799,015(+)","mitochondrial expression network (MIOREX) component Mrx11","No","1","mrx11"
"SPAC1002.02","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,799,061..1,800,053(+)","nucleoporin Pom34","No","1","pom34"
"SPAC1002.03c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,799,915..1,803,141(-)","glucosidase II alpha subunit Gls2","No","1","gls2"
"SPAC1002.04c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,803,624..1,804,491(-)","transcription factor TFIID complex subunit Taf11","No","1","taf11"
"SPAC1002.05c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,804,548..1,806,797(-)","histone demethylase Jmj2","No","1","jmj2"
"SPAC1002.06c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,807,270..1,807,781(-)","bouquet formation protein Bqt2","No","1","bqt2"
"SPAC1002.07c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,807,996..1,809,433(-)","spermidine/spermine/histone N1-acetyltransferase","No","1","ats1"
"SPAC1002.08c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,809,480..1,811,361(-)","mitochondrial RNA polymerase specificity factor, predicted rRNA methyltransferase Mtf1","No","1","mtf1"
"SPAC1002.09c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,811,408..1,813,805(-)","dihydrolipoamide dehydrogenase Dld1","No","1","dld1"
"SPAC1002.10c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,813,740..1,815,796(-)","snRNP binding protein Sgt1","No","1","sgt1"
"SPAC1002.11","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,816,490..1,818,558(+)","GPI-anchor transamidase complex subunit Gaa1","No","1","gaa1"
"SPAC1002.12c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,818,482..1,820,420(-)","succinate-semialdehyde dehydrogenase [NAD(P)+]","No","1","N/A"
"SPAC1002.13c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,821,401..1,823,413(-)","cell wall beta-glucosidase Psu1","No","1","psu1"
"SPAC1002.14","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,824,570..1,826,248(+)","ubiquitin-protein ligase E3 involved in cytoplasmic translational termination","No","1","itt1"
"SPAC1002.15c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,824,486..1,827,260(-)","mediator complex subunit Med6","No","1","med6"
"SPAC1002.16c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,827,612..1,829,708(-)","carboxylic acid transmembrane transporter Tna1","No","1","tna1"
"SPAC1002.17c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,830,609..1,831,951(-)","uracil phosphoribosyltransferase","No","1","urg2"
"SPAC1002.18","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,832,317..1,833,811(+)","DUF1688 family fungal conserved protein, implicated in uracil or riboflavin metabolism","No","1","urg3"
"SPAC1002.19","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,835,270..1,837,060(+)","GTP cyclohydrolase II Urg1","No","1","urg1"
"SPAC1002.20","Schizosaccharomyces pombe 972h-","Spom972h_chrI:1,823,882..1,824,630(+)","dubious","No","1","N/A"
"SPAC1006.01","Schizosaccharomyces pombe 972h-","Spom972h_chrI:5,067,494..5,069,371(+)","vacuolar serine protease Psp3","No","1","psp3"
"SPAC1006.02","Schizosaccharomyces pombe 972h-","Spom972h_chrI:5,069,559..5,070,998(+)","ASTRA complex WD repeat subunit Asa1","No","1","asa1"
"SPAC1006.03c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:5,070,931..5,074,055(-)","MTREC (exosome adaptor) complex subunit Red1","No","1","red1"
"SPAC1006.04c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:5,074,102..5,078,206(-)","Schizosaccharomyces specific protein Mcp3","No","1","mcp3"
"SPAC1006.05c","Schizosaccharomyces pombe 972h-","Spom972h_chrI:5,078,289..5,080,499(-)","Golgi alpha-1,6-mannosyltransferase Och1","No","1","och1"
"SPAC1006.06","Schizosaccharomyces pombe 972h-","Spom972h_chrI:5,080,718..5,085,055(+)","RhoGEF for Rho1 Rgf2","No","1","rgf2"
"SPAC1006.07","Schizosaccharomyces pombe 972h-","Spom972h_chrI:5,085,486..5,087,031(+)","translation initiation factor eIF4A tif1","No","1","tif1"
"SPAC1006.08","Schizosaccharomyces pombe 972h-","Spom972h_chrI:5,087,986..5,089,638(+)","Spg1-binding protein Etd1","No","1","etd1"
"SPAC1006.09","Schizosaccharomyces pombe 972h-","Spom972h_chrI:5,089,815..5,094,848(+)","MAP kinase kinase kinase Win1","No","1","win1"
