protein_id	C287	C289	C286	C288	C294	C298
GB_GCA_017517385.1|JAFWZG010000003.1_37	0	0	0	0	0	0
GB_GCA_017517385.1|JAFWZG010000008.1_31	0	0	0	0	0	0
GB_GCA_017517385.1|JAFWZG010000013.1_15	1	1	1	1	1	1
GB_GCA_017517385.1|JAFWZG010000021.1_16	0	0	0	0	0	0
GB_GCA_017517385.1|JAFWZG010000024.1_13	1	1	1	1	1	1
GB_GCA_017517385.1|JAFWZG010000024.1_14	0	0	0	0	0	0
GB_GCA_017517385.1|JAFWZG010000025.1_16	0	0	0	0	0	0
GB_GCA_017517385.1|JAFWZG010000025.1_18	0	0	0	0	0	0
GB_GCA_017517385.1|JAFWZG010000027.1_25	1	1	1	1	1	1
GB_GCA_017517385.1|JAFWZG010000029.1_8	0	0	0	0	0	0
GB_GCA_017517385.1|JAFWZG010000029.1_9	1	1	0	1	1	0
GB_GCA_017517385.1|JAFWZG010000033.1_20	0	0	1	0	0	0
GB_GCA_017517385.1|JAFWZG010000040.1_4	0	0	1	0	1	0
GB_GCA_017517385.1|JAFWZG010000041.1_1	1	1	1	1	1	1
GB_GCA_017517385.1|JAFWZG010000049.1_28	0	0	1	0	0	1
GB_GCA_017517385.1|JAFWZG010000050.1_25	1	1	1	1	1	1
GB_GCA_017517385.1|JAFWZG010000050.1_26	1	1	1	1	1	1
GB_GCA_017517385.1|JAFWZG010000052.1_33	1	1	0	1	1	1
GB_GCA_017517385.1|JAFWZG010000054.1_123	1	1	1	1	1	1
GB_GCA_017517385.1|JAFWZG010000054.1_5	0	0	0	0	0	0
GB_GCA_017517385.1|JAFWZG010000055.1_20	1	1	1	1	1	1
GB_GCA_017517385.1|JAFWZG010000060.1_10	1	1	1	1	1	1
GB_GCA_017517385.1|JAFWZG010000062.1_11	1	1	1	1	1	1
GB_GCA_017517385.1|JAFWZG010000064.1_22	1	1	1	1	1	1
GB_GCA_017517385.1|JAFWZG010000083.1_6	1	1	1	1	1	1
GB_GCA_017517385.1|JAFWZG010000138.1_20	0	0	1	0	0	0
GB_GCA_030525455.1|JAUNER010000001.1_73	0	0	0	0	0	0
GB_GCA_030525455.1|JAUNER010000003.1_30	1	1	1	1	1	1
GB_GCA_030525455.1|JAUNER010000003.1_70	1	1	1	1	1	1
GB_GCA_030525455.1|JAUNER010000004.1_9	1	1	1	1	1	1
GB_GCA_030525455.1|JAUNER010000005.1_44	1	1	1	1	0	1
GB_GCA_030525455.1|JAUNER010000005.1_60	0	0	0	0	0	0
GB_GCA_030525455.1|JAUNER010000008.1_60	1	1	1	1	1	1
GB_GCA_030525455.1|JAUNER010000013.1_33	0	0	0	0	0	0
GB_GCA_030525455.1|JAUNER010000014.1_5	1	1	1	1	1	1
GB_GCA_030525455.1|JAUNER010000016.1_2	0	0	0	0	0	0
GB_GCA_030525455.1|JAUNER010000017.1_10	1	1	0	1	1	1
GB_GCA_030525455.1|JAUNER010000017.1_27	1	1	1	1	1	1
GB_GCA_030525455.1|JAUNER010000018.1_46	1	1	1	1	1	1
GB_GCA_030525455.1|JAUNER010000020.1_32	0	0	0	0	0	0
GB_GCA_030525455.1|JAUNER010000021.1_11	1	1	0	1	1	0
GB_GCA_030525455.1|JAUNER010000026.1_15	0	0	0	0	0	0
GB_GCA_030525455.1|JAUNER010000026.1_29	1	1	1	1	1	1
GB_GCA_030525455.1|JAUNER010000031.1_6	1	1	1	1	1	0
GB_GCA_030536145.1|JAUNQN010000001.1_24	0	0	0	0	0	0
GB_GCA_030536145.1|JAUNQN010000001.1_62	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000001.1_66	1	1	1	1	1	1
GB_GCA_030536145.1|JAUNQN010000002.1_57	1	1	1	1	1	1
