protein_id	clade02	clade01	clade04	clade03	clade06	clade05	clade08	clade07
EHM034674|EHA02355_bin.24_gene_100_2	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_114_2	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_114_3	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_114_4	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_114_5	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_114_6	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_114_7	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_116_2	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_116_3	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_117_2	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_119_13	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_119_6	0	1	0	0	0	0	1	0
EHM034674|EHA02355_bin.24_gene_123_8	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_128_12	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_12_2	1	1	0	0	1	1	0	0
EHM034674|EHA02355_bin.24_gene_131_12	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_131_14	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_131_15	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_139_12	0	1	1	1	1	1	0	1
EHM034674|EHA02355_bin.24_gene_139_6	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_13_1	0	0	0	0	0	0	0	1
EHM034674|EHA02355_bin.24_gene_140_2	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_140_3	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_140_7	1	0	1	0	0	0	1	0
EHM034674|EHA02355_bin.24_gene_146_2	1	1	1	1	1	1	0	0
EHM034674|EHA02355_bin.24_gene_153_6	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_154_13	0	0	0	0	1	1	0	0
EHM034674|EHA02355_bin.24_gene_154_3	1	1	0	0	1	1	0	0
EHM034674|EHA02355_bin.24_gene_156_1	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_156_7	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_158_6	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_161_4	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_164_2	0	1	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_173_9	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_175_3	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_176_12	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_177_17	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_177_18	0	0	0	0	1	1	0	0
EHM034674|EHA02355_bin.24_gene_177_9	0	0	0	0	0	0	0	1
EHM034674|EHA02355_bin.24_gene_183_5	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_183_8	1	1	1	1	1	1	1	1
EHM034674|EHA02355_bin.24_gene_186_1	0	0	0	0	0	1	0	0
EHM034674|EHA02355_bin.24_gene_191_1	0	1	1	1	1	1	0	0
EHM034674|EHA02355_bin.24_gene_193_5	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_194_2	1	1	0	0	0	1	0	0
EHM034674|EHA02355_bin.24_gene_194_6	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_1_4	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_202_2	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_207_1	1	0	0	0	0	1	0	0
EHM034674|EHA02355_bin.24_gene_209_20	0	0	0	0	0	0	0	0
EHM034674|EHA02355_bin.24_gene_214_7	0	1	0	0	0	1	0	0
EHM034674|EHA02355_bin.24_gene_215_3	0	0	0	0	0	0	0	0
