protein_id	source_proteome	C286	C287	C288	C289	C294	C298	clade01	clade02	clade03	clade04	clade05	clade06	clade07	clade08
EHM034692|EHA02331_bin.15_gene_0_3	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_0_4	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_0_5	C287	1	1	1	1	1	1	0	1	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_0_6	C287	1	1	1	1	1	1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_0_7	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_0_8	C287	1	1	1	1	0	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_0_9	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_0_10	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_0_11	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_1_1	C287	1	1	1	1	0	1	0	0	0	0	1	1	1	0
EHM034692|EHA02331_bin.15_gene_2_1	C287	1	1	1	1	1	0	1	0	0	0	1	0	1	0
EHM034692|EHA02331_bin.15_gene_2_4	C287	1	1	1	1	0	1	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_2_5	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_3_2	C287	1	1	0	1	0	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_4_3	C287	1	1	1	1	0	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_5_1	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_5_2	C287	1	1	1	1	1	0	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_6_2	C287	1	1	0	0	0	0	1	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_7_5	C287	1	1	1	1	1	1	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_7_7	C287	1	1	1	1	1	1	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_7_8	C287	1	1	1	1	1	1	0	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_7_9	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_8_1	C287	1	1	0	0	0	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_9_7	C287	1	1	1	1	0	0	1	1	1	0	1	1	1	0
EHM034692|EHA02331_bin.15_gene_9_8	C287	1	1	1	1	1	1	1	1	1	1	0	1	1	1
EHM034692|EHA02331_bin.15_gene_9_9	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_10_1	C287	1	1	1	1	1	0	1	1	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_10_8	C287	1	1	1	1	1	1	1	0	0	0	1	1	1	0
EHM034692|EHA02331_bin.15_gene_11_2	C287	1	1	1	1	0	1	1	1	0	0	0	1	1	0
EHM034692|EHA02331_bin.15_gene_11_4	C287	1	1	1	1	1	1	1	1	1	1	1	0	0	1
EHM034692|EHA02331_bin.15_gene_12_3	C287	1	1	1	1	1	1	1	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_13_2	C287	1	1	1	1	0	1	1	0	0	1	0	0	1	1
EHM034692|EHA02331_bin.15_gene_13_3	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_13_6	C287	1	1	1	1	0	1	0	1	0	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_13_7	C287	1	1	1	1	1	1	1	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_13_8	C287	1	1	1	1	1	1	1	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_13_9	C287	1	1	1	1	0	0	1	0	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_13_10	C287	1	1	1	1	1	1	1	1	0	0	0	1	0	0
EHM034692|EHA02331_bin.15_gene_13_12	C287	1	1	1	1	0	0	0	0	0	0	0	0	0	0
EHM034692|EHA02331_bin.15_gene_13_13	C287	1	1	1	1	1	1	0	0	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_13_14	C287	1	1	1	1	1	1	0	1	0	0	1	1	0	0
EHM034692|EHA02331_bin.15_gene_13_15	C287	1	1	0	1	0	1	1	1	0	0	0	1	1	1
EHM034692|EHA02331_bin.15_gene_15_2	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_15_3	C287	1	1	1	1	1	1	1	1	1	1	1	1	0	1
EHM034692|EHA02331_bin.15_gene_15_4	C287	1	1	1	1	1	1	1	1	1	1	1	1	0	1
EHM034692|EHA02331_bin.15_gene_15_7	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_15_8	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_15_9	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_15_10	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_15_11	C287	1	1	1	1	1	1	1	1	1	1	1	1	0	1
EHM034692|EHA02331_bin.15_gene_16_2	C287	1	1	1	1	1	1	0	0	0	0	0	1	0	0
EHM034692|EHA02331_bin.15_gene_17_1	C287	1	1	1	1	1	1	1	1	0	0	0	1	0	0
EHM034692|EHA02331_bin.15_gene_17_3	C287	1	1	1	1	1	1	0	1	1	1	0	1	1	0
EHM034692|EHA02331_bin.15_gene_17_4	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_18_1	C287	1	1	1	1	1	1	1	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_18_2	C287	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHM034692|EHA02331_bin.15_gene_18_3	C287	1	1	1	1	1	1	1	1	1	1	1	0	1	1
EHM034692|EHA02331_bin.15_gene_18_4	C287	1	1	1	1	1	1	1	1	1	0	1	0	1	1
EHM034692|EHA02331_bin.15_gene_18_5	C287	1	1	1	1	1	1	1	1	1	1	1	0	1	1
