protein_id	source_proteome	C286	C287	C288	C289	C294	C298	clade01	clade02	clade03	clade04	clade05	clade06	clade07	clade08
EHM034692|EHA02331_bin.15_gene_0_3	C287	0.0		0.0	0.0	2.26e-311	1.04e-268	3.51e-243	4.5899999999999994e-228	6.97e-220	8.02e-218		3.75e-227	1.38e-220	3.0400000000000004e-223
EHM034692|EHA02331_bin.15_gene_0_4	C287	2.03e-109		9.34e-282	1.6799999999999999e-277	5.12e-119	2.31e-105	4.01e-93	2.8899999999999997e-106	7.62e-81	1.46e-92	8.39e-95	1.61e-96	9.56e-86	1.7100000000000001e-75
EHM034692|EHA02331_bin.15_gene_0_5	C287	8.95e-74		8.15e-238	2.63e-236	3.6e-85	3.09e-63		7.01e-29						
EHM034692|EHA02331_bin.15_gene_0_6	C287	3.4999999999999995e-55		1.8e-153	7.92e-150	9.58e-38	3.8e-61								
EHM034692|EHA02331_bin.15_gene_0_7	C287	5.47e-213		3.4900000000000003e-302	5.84e-303	1.6599999999999998e-216	3.1999999999999996e-198	9.49e-191	5.48e-194	2.88e-172	3.18e-175	1.76e-182	6.32e-201	2.03e-162	4.6799999999999996e-176
EHM034692|EHA02331_bin.15_gene_0_8	C287	1.73e-60		6.08e-86	9.76e-85		2.49e-60	8.229999999999999e-48	2.4799999999999997e-48	1.07e-31	2.6000000000000002e-30		4.64e-50	5.28e-34	2.6100000000000003e-35
EHM034692|EHA02331_bin.15_gene_0_9	C287	9.999999999999999e-129		9.53e-215	6.769999999999999e-115	1.7900000000000003e-129	1.31e-83	8.84e-78	8.1e-87	7.39e-75	1.3799999999999999e-76		4.7299999999999995e-93	1.29e-77	8.33e-80
EHM034692|EHA02331_bin.15_gene_0_10	C287	3.3e-172		4.17e-257	4.91e-258	2.4400000000000002e-173	2.53e-167	1.82e-130	1.32e-134	4.23e-112	5.56e-118	1.89e-127	5.019999999999999e-134	2.28e-117	8.150000000000001e-132
EHM034692|EHA02331_bin.15_gene_0_11	C287	1.45e-167		1.49e-269	5.4199999999999994e-267	3.6800000000000003e-156	6.28e-160	2.2199999999999999e-131	7.11e-109	5.63e-118	3.42e-115	1.52e-132	3.95e-121	4.95e-114	1.5e-113
EHM034692|EHA02331_bin.15_gene_1_1	C287	1.0900000000000001e-208		1.56e-33	0.0		2.33e-125					7.59e-36	2.66e-35	3.02e-34	
EHM034692|EHA02331_bin.15_gene_2_1	C287	1.44e-49		0.0	0.0	1.43e-42		1.9e-23				1.02e-30		2.96e-20	
EHM034692|EHA02331_bin.15_gene_2_4	C287	1.1100000000000001e-66		2.37e-209	2.7e-224		5.43e-32	1.27e-83	1.6299999999999998e-74			1.48e-71	1.12e-68		
EHM034692|EHA02331_bin.15_gene_2_5	C287	2.3400000000000003e-251		0.0	0.0	8.53e-266	2.48e-254	2.61e-246	3.67e-48	4.7000000000000004e-48	1.36e-41	5.1600000000000004e-217	1.49e-10	4.05e-46	1.98e-37
EHM034692|EHA02331_bin.15_gene_3_2	C287	6.949999999999999e-42			9.09e-316										
EHM034692|EHA02331_bin.15_gene_4_3	C287	1.2999999999999998e-24		0.0	0.0										
EHM034692|EHA02331_bin.15_gene_5_1	C287	1.08e-35		6.4599999999999996e-170	1.26e-180	6.5e-29	9.05e-30	4.12e-31	5.84e-28	2.74e-29	9.62e-28		6.36e-29	8.94e-28	3.73e-29
EHM034692|EHA02331_bin.15_gene_5_2	C287	1.61e-171		6.58e-217	6.32e-140	8.770000000000001e-179		2.0299999999999999e-150	7.53e-144	1.25e-146	5.25e-105		1.35e-151	4.04e-139	1.39e-135
EHM034692|EHA02331_bin.15_gene_6_2	C287	9.38e-28						4.769999999999999e-41							
EHM034692|EHA02331_bin.15_gene_7_5	C287	1.36e-32		1.25e-48	9.26e-75	5.3399999999999997e-39	6.329999999999999e-24								
EHM034692|EHA02331_bin.15_gene_7_7	C287	1.5e-225		1.68e-311	9.73e-321	1.79e-246	5.9e-238		1.4999999999999998e-226	8.219999999999999e-219	1.48e-219	9.07e-221	8.8e-221	1.09e-215	5.31e-216
EHM034692|EHA02331_bin.15_gene_7_8	C287	2.05e-198		2.83e-296	5.08e-256	3.6e-225	8.34e-204		2.34e-204	4.87e-186	1.93e-188	4.7500000000000004e-200	1.2e-213	2.53e-162	1.61e-168
EHM034692|EHA02331_bin.15_gene_7_9	C287	8e-123		3.23e-141	5.55e-142	1.6600000000000003e-129	2.03e-113	2e-104	3e-112	5.099999999999999e-105	1.2199999999999998e-104	3.18e-108	1.58e-91	3.78e-100	4e-104
EHM034692|EHA02331_bin.15_gene_8_1	C287	2.56e-50													
EHM034692|EHA02331_bin.15_gene_9_7	C287	5.5000000000000004e-80		9.17e-236	2.65e-237			5.22e-87	1.59e-164	2.39e-79		4.3900000000000005e-169	2.0100000000000002e-110	2.3200000000000003e-79	
EHM034692|EHA02331_bin.15_gene_9_8	C287	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.08e-240		0.0	0.0	0.0
EHM034692|EHA02331_bin.15_gene_9_9	C287	0.0		0.0	0.0	0.0	0.0	0.0	0.0	2.2299999999999998e-300	3.2499999999999996e-285	0.0	0.0	0.0	1.51e-314
EHM034692|EHA02331_bin.15_gene_10_1	C287	1.4400000000000001e-64		1.8e-52	3.39e-22	7.009999999999999e-52		2.99e-12	4.28e-16						
EHM034692|EHA02331_bin.15_gene_10_8	C287	5.330000000000001e-209		1.1200000000000001e-302	4.42e-302	7.9e-210	8.039999999999999e-191	3.67e-174				5.21e-117	3.59e-176	1.75e-156	
EHM034692|EHA02331_bin.15_gene_11_2	C287	3.73e-39		1.35e-176	2.25e-177		6.06e-53	1.71e-171	1.95e-43				8.97e-44	2.62e-32	
EHM034692|EHA02331_bin.15_gene_11_4	C287	3.9099999999999995e-239		0.0	0.0	3.47e-74	5.78e-74	0.0	0.0	8.669999999999999e-40	7.1e-39	1.57e-111			2.93e-43
EHM034692|EHA02331_bin.15_gene_12_3	C287	1.14e-90		1.29e-186	5.9e-185	1.13e-85	4.78e-102	2.35e-92	7.55e-88	1.64e-81	7.81e-78	5.02e-78		4.81e-71	1.0300000000000001e-71
EHM034692|EHA02331_bin.15_gene_13_2	C287	7.88e-107		2.07e-256	8.64e-267		4.66e-92	3.7499999999999996e-98			1.26e-18			5.33e-17	3.22e-15
EHM034692|EHA02331_bin.15_gene_13_3	C287	1.17e-144		3.19e-189	8.46e-187	2.07e-145	2.99e-140	1.49e-125	1.02e-124	1.08e-111	1.36e-101	4.7900000000000004e-37	1.61e-125	2.58e-102	2.19e-106
EHM034692|EHA02331_bin.15_gene_13_6	C287	8.98e-32		1.84e-65	3.07e-66		3e-33		2.08e-35		8.989999999999999e-28	7.46e-31		9.17e-26	2.43e-26
EHM034692|EHA02331_bin.15_gene_13_7	C287	4.12e-240		0.0	0.0	6.11e-243	3.39e-234	3.3600000000000005e-157	1.05e-153	3.8e-148	5.3e-154	3.8400000000000005e-166		2.42e-153	1.06e-150
EHM034692|EHA02331_bin.15_gene_13_8	C287	5.81e-171		0.0	0.0	1.0999999999999998e-198	7.380000000000001e-161	1.84e-142	2.3799999999999998e-150			7.970000000000001e-73	2.61e-116		
EHM034692|EHA02331_bin.15_gene_13_9	C287	1.5e-19		3.44e-95	3.6899999999999994e-104			2.78e-17				1.66e-18	3.62e-18		
EHM034692|EHA02331_bin.15_gene_13_10	C287	5.6e-162		1.8e-241	5.54e-179	1.36e-158	8.270000000000001e-163	1.28e-135	6.17e-141				3.0900000000000004e-124		
EHM034692|EHA02331_bin.15_gene_13_12	C287	2.22e-70		0.0	0.0										
EHM034692|EHA02331_bin.15_gene_13_13	C287	1.36e-59		1.66e-196	2.42e-191	1.02e-91	8.29e-85					1.7e-46	5.15e-14		
EHM034692|EHA02331_bin.15_gene_13_14	C287	3.9099999999999995e-180		6e-295	7.16e-147	2.3899999999999997e-188	2.42e-173		1.3699999999999999e-140			3.41e-68	1.16e-158		
EHM034692|EHA02331_bin.15_gene_13_15	C287	8.1e-10			2.3e-10		8.76e-12	1.69e-18	3.77e-14				8.7e-09	1.33e-10	4.73e-11
EHM034692|EHA02331_bin.15_gene_15_2	C287	2.21e-141		0.0	0.0	4.61e-295	5.169999999999999e-277	3.68e-188	8.29e-144	2.18e-168	3.13e-171	1.4e-115	1.4399999999999998e-189	3.2e-149	3.67e-171
EHM034692|EHA02331_bin.15_gene_15_3	C287	7.769999999999999e-42		2.86e-84	5.01e-94	7.520000000000001e-47	4.1e-37	2.25e-35	3.22e-34	1.5399999999999999e-24	9.38e-36	2.08e-41	9.95e-47		6.64e-31
EHM034692|EHA02331_bin.15_gene_15_4	C287	1.43e-235		0.0	0.0	8.37e-219	2.74e-233	2.55e-258	3.18e-202	4.8099999999999996e-142	4.63e-155	1.78e-234	1.18e-232		2.49e-141
EHM034692|EHA02331_bin.15_gene_15_7	C287	6.33e-115		5.2899999999999994e-180	1.12e-183	8.710000000000001e-103	3.4e-89	5.06e-83	2.34e-87	6.77e-76	1.37e-76	8.84e-80	3.13e-82	1.8099999999999998e-68	1.61e-71
EHM034692|EHA02331_bin.15_gene_15_8	C287	2.6e-16		4.47e-99	2.5e-98	2.94e-74	7.290000000000001e-64	5.029999999999999e-52	6.45e-56	2.41e-58	7.710000000000001e-58	3.82e-49	3.2e-50	3.24e-50	1.18e-56
EHM034692|EHA02331_bin.15_gene_15_9	C287	9.499999999999999e-166		3.9799999999999995e-250	7.699999999999999e-175	1.32e-193	4.42e-152	2.06e-150	6.1400000000000005e-155	7.13e-158	1.98e-156	5.33e-156	1.98e-153	5.22e-139	1.12e-154
EHM034692|EHA02331_bin.15_gene_15_10	C287	3.27e-65		9.05e-168	3.87e-171	9.68e-111	3.47e-103	2.34e-99	1.79e-101	2.62e-95	2.84e-101	2.4399999999999998e-98	2.65e-102	6.19e-95	8.46e-95
EHM034692|EHA02331_bin.15_gene_15_11	C287	0.0		0.0	1.3e-263	0.0	0.0	1.19e-311	0.0	1.71e-299	9.42e-301	7.58e-307	0.0		2.19e-305
EHM034692|EHA02331_bin.15_gene_16_2	C287	3.0099999999999997e-40		0.0	0.0	6.8199999999999995e-40	2.81e-203						3.72e-21		
EHM034692|EHA02331_bin.15_gene_17_1	C287	2.3499999999999998e-112		0.0	0.0	3.8e-266	3.28e-100	2.8900000000000005e-110	6.800000000000001e-100				1.5699999999999998e-137		
EHM034692|EHA02331_bin.15_gene_17_3	C287	1.52e-103		8.22e-162	8.97e-162	4.29e-100	6.16e-96		3.77e-72	2.2599999999999997e-68	2.66e-58		1.2900000000000001e-66	1.14e-61	
EHM034692|EHA02331_bin.15_gene_17_4	C287	1.47e-194		2.1e-240	1.08e-235	9.650000000000001e-200	1.12e-201	3.5799999999999995e-191	7.67e-201	1.55e-190	1.6999999999999998e-188	3.73e-190	3.58e-192	7.97e-174	1e-188
