protein_id	source_proteome
EHM034674|EHA02355_bin.24_gene_100_2	C289
EHM034674|EHA02355_bin.24_gene_114_2	C289
EHM034674|EHA02355_bin.24_gene_114_3	C289
EHM034674|EHA02355_bin.24_gene_114_4	C289
EHM034674|EHA02355_bin.24_gene_114_5	C289
EHM034674|EHA02355_bin.24_gene_114_6	C289
EHM034674|EHA02355_bin.24_gene_114_7	C289
EHM034674|EHA02355_bin.24_gene_116_2	C289
EHM034674|EHA02355_bin.24_gene_116_3	C289
EHM034674|EHA02355_bin.24_gene_117_2	C289
EHM034674|EHA02355_bin.24_gene_119_13	C289
EHM034674|EHA02355_bin.24_gene_119_6	C289
EHM034674|EHA02355_bin.24_gene_123_8	C289
EHM034674|EHA02355_bin.24_gene_128_12	C289
EHM034674|EHA02355_bin.24_gene_12_2	C289
EHM034674|EHA02355_bin.24_gene_131_12	C289
EHM034674|EHA02355_bin.24_gene_131_14	C289
EHM034674|EHA02355_bin.24_gene_131_15	C289
EHM034674|EHA02355_bin.24_gene_139_12	C289
EHM034674|EHA02355_bin.24_gene_139_6	C289
EHM034674|EHA02355_bin.24_gene_13_1	C289
EHM034674|EHA02355_bin.24_gene_140_2	C289
EHM034674|EHA02355_bin.24_gene_140_3	C289
EHM034674|EHA02355_bin.24_gene_140_7	C289
EHM034674|EHA02355_bin.24_gene_146_2	C289
EHM034674|EHA02355_bin.24_gene_153_6	C289
EHM034674|EHA02355_bin.24_gene_154_13	C289
EHM034674|EHA02355_bin.24_gene_154_3	C289
EHM034674|EHA02355_bin.24_gene_156_1	C289
EHM034674|EHA02355_bin.24_gene_156_7	C289
EHM034674|EHA02355_bin.24_gene_158_6	C289
EHM034674|EHA02355_bin.24_gene_161_4	C289
EHM034674|EHA02355_bin.24_gene_164_2	C289
EHM034674|EHA02355_bin.24_gene_173_9	C289
EHM034674|EHA02355_bin.24_gene_175_3	C289
EHM034674|EHA02355_bin.24_gene_176_12	C289
EHM034674|EHA02355_bin.24_gene_177_17	C289
EHM034674|EHA02355_bin.24_gene_177_18	C289
EHM034674|EHA02355_bin.24_gene_177_9	C289
EHM034674|EHA02355_bin.24_gene_183_5	C289
EHM034674|EHA02355_bin.24_gene_183_8	C289
EHM034674|EHA02355_bin.24_gene_186_1	C289
EHM034674|EHA02355_bin.24_gene_191_1	C289
EHM034674|EHA02355_bin.24_gene_193_5	C289
EHM034674|EHA02355_bin.24_gene_194_2	C289
EHM034674|EHA02355_bin.24_gene_194_6	C289
EHM034674|EHA02355_bin.24_gene_1_4	C289
EHM034674|EHA02355_bin.24_gene_202_2	C289
EHM034674|EHA02355_bin.24_gene_207_1	C289
EHM034674|EHA02355_bin.24_gene_209_20	C289
EHM034674|EHA02355_bin.24_gene_214_7	C289
EHM034674|EHA02355_bin.24_gene_215_3	C289
EHM034674|EHA02355_bin.24_gene_217_2	C289
EHM034674|EHA02355_bin.24_gene_220_1	C289
EHM034674|EHA02355_bin.24_gene_222_11	C289
EHM034674|EHA02355_bin.24_gene_222_2	C289
EHM034674|EHA02355_bin.24_gene_222_7	C289
EHM034674|EHA02355_bin.24_gene_223_9	C289
EHM034674|EHA02355_bin.24_gene_227_4	C289
EHM034674|EHA02355_bin.24_gene_227_5	C289
EHM034674|EHA02355_bin.24_gene_233_4	C289
EHM034674|EHA02355_bin.24_gene_236_3	C289
EHM034674|EHA02355_bin.24_gene_23_2	C289
EHM034674|EHA02355_bin.24_gene_23_3	C289
EHM034674|EHA02355_bin.24_gene_242_3	C289
EHM034674|EHA02355_bin.24_gene_247_7	C289
EHM034674|EHA02355_bin.24_gene_251_1	C289
EHM034674|EHA02355_bin.24_gene_251_3	C289
EHM034674|EHA02355_bin.24_gene_251_4	C289
EHM034674|EHA02355_bin.24_gene_253_19	C289
EHM034674|EHA02355_bin.24_gene_253_3	C289
EHM034674|EHA02355_bin.24_gene_254_3	C289
EHM034674|EHA02355_bin.24_gene_259_3	C289
EHM034674|EHA02355_bin.24_gene_262_6	C289
EHM034674|EHA02355_bin.24_gene_267_1	C289
EHM034674|EHA02355_bin.24_gene_271_10	C289
EHM034674|EHA02355_bin.24_gene_27_1	C289
EHM034674|EHA02355_bin.24_gene_282_5	C289
EHM034674|EHA02355_bin.24_gene_284_3	C289
EHM034674|EHA02355_bin.24_gene_289_7	C289
EHM034674|EHA02355_bin.24_gene_294_3	C289
EHM034674|EHA02355_bin.24_gene_296_14	C289
EHM034674|EHA02355_bin.24_gene_29_1	C289
EHM034674|EHA02355_bin.24_gene_302_1	C289
EHM034674|EHA02355_bin.24_gene_303_4	C289
EHM034674|EHA02355_bin.24_gene_306_2	C289
EHM034674|EHA02355_bin.24_gene_309_3	C289
EHM034674|EHA02355_bin.24_gene_312_16	C289
EHM034674|EHA02355_bin.24_gene_312_7	C289
EHM034674|EHA02355_bin.24_gene_318_6	C289
EHM034674|EHA02355_bin.24_gene_321_7	C289
EHM034674|EHA02355_bin.24_gene_324_3	C289
EHM034674|EHA02355_bin.24_gene_326_2	C289
EHM034674|EHA02355_bin.24_gene_327_1	C289
EHM034674|EHA02355_bin.24_gene_342_3	C289
EHM034674|EHA02355_bin.24_gene_345_9	C289
EHM034674|EHA02355_bin.24_gene_347_6	C289
EHM034674|EHA02355_bin.24_gene_34_1	C289
EHM034674|EHA02355_bin.24_gene_355_10	C289
EHM034674|EHA02355_bin.24_gene_35_1	C289
EHM034674|EHA02355_bin.24_gene_363_1	C289
EHM034674|EHA02355_bin.24_gene_365_4	C289
EHM034674|EHA02355_bin.24_gene_36_4	C289
EHM034674|EHA02355_bin.24_gene_370_8	C289
EHM034674|EHA02355_bin.24_gene_371_2	C289
EHM034674|EHA02355_bin.24_gene_382_2	C289
EHM034674|EHA02355_bin.24_gene_38_3	C289
EHM034674|EHA02355_bin.24_gene_39_25	C289
EHM034674|EHA02355_bin.24_gene_3_4	C289
EHM034674|EHA02355_bin.24_gene_41_5	C289
EHM034674|EHA02355_bin.24_gene_43_5	C289
EHM034674|EHA02355_bin.24_gene_45_1	C289
EHM034674|EHA02355_bin.24_gene_45_2	C289
EHM034674|EHA02355_bin.24_gene_45_4	C289
EHM034674|EHA02355_bin.24_gene_58_10	C289
EHM034674|EHA02355_bin.24_gene_58_23	C289
EHM034674|EHA02355_bin.24_gene_58_9	C289
EHM034674|EHA02355_bin.24_gene_62_1	C289
EHM034674|EHA02355_bin.24_gene_65_24	C289
EHM034674|EHA02355_bin.24_gene_66_8	C289
EHM034674|EHA02355_bin.24_gene_68_15	C289
EHM034674|EHA02355_bin.24_gene_75_1	C289
EHM034674|EHA02355_bin.24_gene_75_8	C289
EHM034674|EHA02355_bin.24_gene_80_3	C289
EHM034674|EHA02355_bin.24_gene_82_2	C289
EHM034674|EHA02355_bin.24_gene_83_6	C289
EHM034674|EHA02355_bin.24_gene_86_8	C289
EHM034674|EHA02355_bin.24_gene_92_7	C289
EHM034674|EHA02355_bin.24_gene_96_26	C289
EHM034692|EHA02331_bin.15_gene_0_6	C287
EHM034692|EHA02331_bin.15_gene_102_6	C287
EHM034692|EHA02331_bin.15_gene_103_8	C287
EHM034692|EHA02331_bin.15_gene_106_8	C287
EHM034692|EHA02331_bin.15_gene_107_7	C287
EHM034692|EHA02331_bin.15_gene_108_4	C287
EHM034692|EHA02331_bin.15_gene_109_1	C287
EHM034692|EHA02331_bin.15_gene_113_5	C287
EHM034692|EHA02331_bin.15_gene_113_6	C287
EHM034692|EHA02331_bin.15_gene_123_5	C287
EHM034692|EHA02331_bin.15_gene_134_2	C287
EHM034692|EHA02331_bin.15_gene_135_1	C287
EHM034692|EHA02331_bin.15_gene_136_14	C287
EHM034692|EHA02331_bin.15_gene_136_15	C287
EHM034692|EHA02331_bin.15_gene_137_15	C287
EHM034692|EHA02331_bin.15_gene_13_11	C287
EHM034692|EHA02331_bin.15_gene_140_1	C287
EHM034692|EHA02331_bin.15_gene_142_19	C287
EHM034692|EHA02331_bin.15_gene_142_3	C287
EHM034692|EHA02331_bin.15_gene_149_7	C287
EHM034692|EHA02331_bin.15_gene_14_2	C287
EHM034692|EHA02331_bin.15_gene_150_6	C287
EHM034692|EHA02331_bin.15_gene_156_10	C287
EHM034692|EHA02331_bin.15_gene_166_2	C287
EHM034692|EHA02331_bin.15_gene_166_4	C287
EHM034692|EHA02331_bin.15_gene_166_5	C287
EHM034692|EHA02331_bin.15_gene_167_9	C287
EHM034692|EHA02331_bin.15_gene_169_10	C287
EHM034692|EHA02331_bin.15_gene_169_36	C287
EHM034692|EHA02331_bin.15_gene_171_4	C287
EHM034692|EHA02331_bin.15_gene_173_7	C287
EHM034692|EHA02331_bin.15_gene_179_2	C287
EHM034692|EHA02331_bin.15_gene_194_1	C287
EHM034692|EHA02331_bin.15_gene_194_14	C287
EHM034692|EHA02331_bin.15_gene_199_29	C287
EHM034692|EHA02331_bin.15_gene_199_7	C287
EHM034692|EHA02331_bin.15_gene_19_3	C287
EHM034692|EHA02331_bin.15_gene_201_10	C287
EHM034692|EHA02331_bin.15_gene_206_18	C287
EHM034692|EHA02331_bin.15_gene_208_4	C287
EHM034692|EHA02331_bin.15_gene_211_7	C287
EHM034692|EHA02331_bin.15_gene_212_4	C287
EHM034692|EHA02331_bin.15_gene_214_14	C287
EHM034692|EHA02331_bin.15_gene_214_2	C287
EHM034692|EHA02331_bin.15_gene_215_7	C287
EHM034692|EHA02331_bin.15_gene_219_1	C287
EHM034692|EHA02331_bin.15_gene_219_2	C287
EHM034692|EHA02331_bin.15_gene_219_3	C287
EHM034692|EHA02331_bin.15_gene_21_1	C287
EHM034692|EHA02331_bin.15_gene_21_9	C287
EHM034692|EHA02331_bin.15_gene_221_12	C287
EHM034692|EHA02331_bin.15_gene_226_3	C287
EHM034692|EHA02331_bin.15_gene_229_4	C287
EHM034692|EHA02331_bin.15_gene_229_5	C287
EHM034692|EHA02331_bin.15_gene_232_26	C287
EHM034692|EHA02331_bin.15_gene_232_34	C287
EHM034692|EHA02331_bin.15_gene_232_4	C287
EHM034692|EHA02331_bin.15_gene_236_2	C287
EHM034692|EHA02331_bin.15_gene_241_18	C287
EHM034692|EHA02331_bin.15_gene_241_7	C287
EHM034692|EHA02331_bin.15_gene_244_8	C287
EHM034692|EHA02331_bin.15_gene_245_13	C287
