family_index	representative_id	n_members
fam_000001	XP_001886388.1	2
fam_000002	XP_001886411.1	2
fam_000003	XP_001886413.1	2
fam_000004	XP_001886431.1	2
fam_000005	XP_001886442.1	2
fam_000006	XP_001886443.1	2
fam_000007	XP_001886446.1	3
fam_000008	XP_001886448.1	11
fam_000009	XP_001886467.1	2
fam_000010	XP_001886469.1	2
fam_000011	XP_001886472.1	3
fam_000012	XP_001886477.1	2
fam_000013	XP_001886990.1	2
fam_000014	XP_001886996.1	9
fam_000015	XP_001886997.1	2
fam_000016	XP_001887016.1	2
fam_000017	XP_001887224.1	1
fam_000018	XP_001887021.1	2
fam_000019	XP_001887023.1	2
fam_000020	XP_001887029.1	3
fam_000021	XP_001887032.1	9
fam_000022	XP_001887042.1	2
fam_000023	XP_001887045.1	2
fam_000024	XP_001887046.1	2
fam_000025	XP_001887052.1	2
fam_000026	XP_001887066.1	2
fam_000027	XP_001887070.1	2
fam_000028	XP_001887076.1	5
fam_000029	XP_001887078.1	6
fam_000030	XP_001887713.1	5
fam_000031	XP_001887717.1	14
fam_000032	XP_001887740.1	2
fam_000033	XP_001887741.1	1
fam_000034	XP_001887738.1	1
fam_000035	XP_001887745.1	1
fam_000036	XP_001883880.1	1
fam_000037	XP_001887746.1	2
fam_000038	XP_001887747.1	2
fam_000039	XP_001887755.1	2
fam_000040	XP_001887767.1	3
fam_000041	XP_001888296.1	2
fam_000042	XP_001888297.1	4
fam_000043	XP_001888303.1	4
fam_000044	XP_001888310.1	2
fam_000045	XP_001888313.1	2
fam_000046	XP_001888315.1	2
fam_000047	XP_001888324.1	2
fam_000048	XP_001888328.1	2
fam_000049	XP_001888330.1	2
fam_000050	XP_001888332.1	2
fam_000051	XP_001888336.1	4
fam_000052	XP_001888341.1	2
fam_000053	XP_001888348.1	1
fam_000054	XP_001880587.1	1
fam_000055	XP_001888352.1	8
fam_000056	XP_001888356.1	3
fam_000057	XP_001888358.1	2
fam_000058	XP_001888364.1	11
fam_000059	XP_001888365.1	8
fam_000060	XP_001888377.1	3
fam_000061	XP_001888378.1	8
fam_000062	XP_001888382.1	4
fam_000063	XP_001888383.1	3
fam_000064	XP_001888387.1	4
fam_000065	XP_001888906.1	2
fam_000066	XP_001888919.1	2
fam_000067	XP_001888923.1	2
fam_000068	XP_001888927.1	2
fam_000069	XP_001888933.1	2
fam_000070	XP_001888934.1	2
fam_000071	XP_001888940.1	2
fam_000072	XP_001888943.1	1
fam_000073	XP_001889187.1	1
fam_000074	XP_001888946.1	19
fam_000075	XP_001888966.1	1
fam_000076	XP_001884079.1	1
fam_000077	XP_001888976.1	3
fam_000078	XP_001888979.1	5
fam_000079	XP_001888980.1	2
fam_000080	XP_001890089.1	9
fam_000081	XP_001890093.1	2
fam_000082	XP_001890107.1	2
fam_000083	XP_001890128.1	5
fam_000084	XP_001890135.1	2
fam_000085	XP_001890137.1	3
fam_000086	XP_001890142.1	4
fam_000087	XP_001890152.1	3
fam_000088	XP_001890157.1	2
fam_000089	XP_001890162.1	2
fam_000090	XP_001890165.1	2
fam_000091	XP_001890170.1	1
fam_000092	XP_001889333.1	1
fam_000093	XP_001890176.1	2
fam_000094	XP_001890182.1	7
fam_000095	XP_001828515.2	3
fam_000096	XP_001828522.1	2
fam_000097	XP_001828559.2	4
fam_000098	XP_001828562.2	2
fam_000099	XP_001828564.2	3
fam_000100	XP_001828574.1	3
fam_000101	XP_001828588.2	3
fam_000102	XP_001828591.2	3
fam_000103	XP_001828594.2	4
fam_000104	XP_001828603.1	2
fam_000105	XP_001828607.1	3
fam_000106	XP_001828612.1	4
fam_000107	XP_001828615.2	3
fam_000108	XP_001828626.2	4
fam_000109	XP_001828627.2	5
fam_000110	XP_001828629.2	3
fam_000111	XP_001828630.2	4
fam_000112	XP_001828631.2	3
fam_000113	XP_001828634.2	2
fam_000114	XP_001828636.1	4
fam_000115	XP_001828641.2	2
fam_000116	XP_001828642.1	4
fam_000117	XP_001830282.2	4
fam_000118	XP_001830288.2	4
fam_000119	XP_001830294.2	3
fam_000120	XP_001830328.1	2
fam_000121	XP_001830330.1	3
fam_000122	XP_001830331.2	4
fam_000123	XP_001830335.1	3
fam_000124	XP_001830337.1	4
fam_000125	XP_001830345.2	3
fam_000126	XP_001830347.2	2
fam_000127	XP_001830353.2	3
fam_000128	XP_001830354.2	3
fam_000129	XP_001830361.1	3
fam_000130	XP_001830366.2	4
fam_000131	XP_001830371.2	5
fam_000132	XP_001830372.1	3
fam_000133	XP_001830378.1	3
fam_000134	XP_001830382.2	4
fam_000135	XP_001830384.2	4
fam_000136	XP_001830389.2	4
fam_000137	XP_001831816.2	2
fam_000138	XP_001831817.2	3
fam_000139	XP_001831834.2	3
fam_000140	XP_001831836.1	3
fam_000141	XP_001831843.1	2
fam_000142	XP_001831873.2	4
fam_000143	XP_001831875.1	2
fam_000144	XP_001831880.1	3
fam_000145	XP_001831895.1	4
fam_000146	XP_001831897.2	6
fam_000147	XP_001831909.2	5
fam_000148	XP_001831936.2	9
fam_000149	XP_001834406.2	3
fam_000150	XP_001834415.2	6
fam_000151	XP_001834421.1	3
fam_000152	XP_001834436.1	3
fam_000153	XP_001834448.1	53
fam_000154	XP_001834450.2	2
fam_000155	XP_001834454.2	2
fam_000156	XP_001834464.2	3
fam_000157	XP_001834468.2	4
fam_000158	XP_001834472.2	2
fam_000159	XP_001834476.2	3
fam_000160	XP_001834489.2	4
fam_000161	XP_001834493.2	3
