family_index	representative_id	n_members
fam_000001	sp|O59958|CRE1_NEUCR	5
fam_000002	tr|Q1K720|Q1K720_NEUCR	5
fam_000003	tr|Q1K825|Q1K825_NEUCR	5
fam_000004	tr|Q7RVS8|Q7RVS8_NEUCR	4
fam_000005	tr|Q7RYF9|Q7RYF9_NEUCR	2
fam_000006	tr|Q7RYL2|Q7RYL2_NEUCR	5
fam_000007	sp|Q7RYR4|RSE1_NEUCR	5
fam_000008	tr|Q7S8I9|Q7S8I9_NEUCR	5
fam_000009	tr|Q7SB72|Q7SB72_NEUCR	5
fam_000010	tr|Q7SB82|Q7SB82_NEUCR	2
fam_000011	tr|Q7SEB0|Q7SEB0_NEUCR	4
fam_000012	tr|Q7SHF4|Q7SHF4_NEUCR	3
fam_000013	tr|Q7SHJ9|Q7SHJ9_NEUCR	5
fam_000014	tr|Q7RZQ4|Q7RZQ4_NEUCR	3
fam_000015	sp|Q7S565|COQ1_NEUCR	5
fam_000016	tr|Q7S995|Q7S995_NEUCR	4
fam_000017	sp|Q7S9J4|DBP10_NEUCR	5
fam_000018	tr|Q7S9X6|Q7S9X6_NEUCR	4
fam_000019	tr|Q7SDE4|Q7SDE4_NEUCR	5
fam_000020	tr|Q7SGA7|Q7SGA7_NEUCR	5
fam_000021	tr|V5IL57|V5IL57_NEUCR	5
fam_000022	sp|P24391|TOM40_NEUCR	5
fam_000023	tr|Q1K7D4|Q1K7D4_NEUCR	3
fam_000024	tr|Q7RVR6|Q7RVR6_NEUCR	2
fam_000025	tr|Q7RWK0|Q7RWK0_NEUCR	2
fam_000026	tr|Q7RYT6|Q7RYT6_NEUCR	5
fam_000027	sp|Q7S083|ATG12_NEUCR	4
fam_000028	tr|Q7S5P0|Q7S5P0_NEUCR	5
fam_000029	sp|Q7S9L2|STU1_NEUCR	4
fam_000030	tr|Q7S9U6|Q7S9U6_NEUCR	5
fam_000031	tr|Q7SAF7|Q7SAF7_NEUCR	3
fam_000032	tr|Q7SAG1|Q7SAG1_NEUCR	5
fam_000033	tr|Q7SAN8|Q7SAN8_NEUCR	5
fam_000034	tr|Q7SGD9|Q7SGD9_NEUCR	3
fam_000035	tr|Q7SHK9|Q7SHK9_NEUCR	3
fam_000036	sp|Q8X097|ACL1_NEUCR	5
fam_000037	tr|U9W326|U9W326_NEUCR	5
fam_000038	tr|Q1K728|Q1K728_NEUCR	5
fam_000039	tr|Q1K7R7|Q1K7R7_NEUCR	5
fam_000040	tr|Q7RVP7|Q7RVP7_NEUCR	5
fam_000041	tr|Q7S0B8|Q7S0B8_NEUCR	5
fam_000042	tr|Q7S473|Q7S473_NEUCR	3
fam_000043	tr|Q7S672|Q7S672_NEUCR	3
fam_000044	tr|Q7S925|Q7S925_NEUCR	6
fam_000045	tr|Q7S9Y0|Q7S9Y0_NEUCR	5
fam_000046	tr|Q7SFC7|Q7SFC7_NEUCR	5
fam_000047	tr|Q7SHA6|Q7SHA6_NEUCR	4
fam_000048	sp|Q8NIW7|BBP_NEUCR	5
fam_000049	tr|V5IML7|V5IML7_NEUCR	4
fam_000050	tr|Q1K900|Q1K900_NEUCR	14
fam_000051	tr|Q7RZ96|Q7RZ96_NEUCR	5
fam_000052	tr|Q7S057|Q7S057_NEUCR	2
fam_000053	tr|Q7S075|Q7S075_NEUCR	1
fam_000054	tr|Q7S0B5|Q7S0B5_NEUCR	1
fam_000055	tr|Q7S227|Q7S227_NEUCR	4
fam_000056	tr|Q7S9J9|Q7S9J9_NEUCR	3
fam_000057	tr|Q7S9K5|Q7S9K5_NEUCR	5
fam_000058	tr|Q7SH73|Q7SH73_NEUCR	2
fam_000059	tr|V5IKU5|V5IKU5_NEUCR	7
fam_000060	tr|V5ILW7|V5ILW7_NEUCR	5
fam_000061	tr|V5IPI7|V5IPI7_NEUCR	5
fam_000062	tr|V5IQA9|V5IQA9_NEUCR	6
fam_000063	sp|O74225|HSP88_NEUCR	5
fam_000064	tr|Q1K6Q6|Q1K6Q6_NEUCR	2
fam_000065	tr|Q7S3G0|Q7S3G0_NEUCR	5
fam_000066	tr|Q7S9P7|Q7S9P7_NEUCR	2
fam_000067	tr|Q7SBI4|Q7SBI4_NEUCR	5
fam_000068	tr|Q7SDD8|Q7SDD8_NEUCR	5
fam_000069	tr|Q7SFP9|Q7SFP9_NEUCR	5
fam_000070	tr|A7UWZ1|A7UWZ1_NEUCR	5
fam_000071	sp|P00369|DHE4_NEUCR	5
fam_000072	sp|P31413|VATL1_NEUCR	9
fam_000073	sp|P38675|MET7_NEUCR	7
fam_000074	tr|Q1K521|Q1K521_NEUCR	4
fam_000075	tr|Q1K7F3|Q1K7F3_NEUCR	5
fam_000076	sp|Q7S232|MCA1A_NEUCR	7
fam_000077	sp|Q7S6P8|BFR2_NEUCR	2
fam_000078	tr|V5INS4|V5INS4_NEUCR	3
fam_000079	tr|Q1K555|Q1K555_NEUCR	5
fam_000080	tr|Q1K5E5|Q1K5E5_NEUCR	4
fam_000081	tr|Q7S5K6|Q7S5K6_NEUCR	5
fam_000082	tr|Q7S6N4|Q7S6N4_NEUCR	3
fam_000083	tr|Q7SEB1|Q7SEB1_NEUCR	5
fam_000084	sp|Q7SFX6|LYS1_NEUCR	5
fam_000085	tr|Q7SH48|Q7SH48_NEUCR	5
fam_000086	tr|V5IL76|V5IL76_NEUCR	2
fam_000087	tr|A3RNI2|A3RNI2_NEUCR	5
fam_000088	sp|P00048|CYC_NEUCR	4
fam_000089	tr|Q1K5V0|Q1K5V0_NEUCR	3
fam_000090	tr|Q1K677|Q1K677_NEUCR	8
fam_000091	tr|Q1K7T9|Q1K7T9_NEUCR	5
fam_000092	tr|Q1K853|Q1K853_NEUCR	10
fam_000093	tr|Q1K8Q4|Q1K8Q4_NEUCR	2
fam_000094	tr|Q7S1T7|Q7S1T7_NEUCR	3
fam_000095	tr|Q7S3L1|Q7S3L1_NEUCR	1
fam_000096	tr|Q7SA25|Q7SA25_NEUCR	1
fam_000097	tr|Q7S8U7|Q7S8U7_NEUCR	5
fam_000098	tr|Q7S913|Q7S913_NEUCR	5
fam_000099	tr|Q7SAL2|Q7SAL2_NEUCR	8
fam_000100	tr|Q7SGW4|Q7SGW4_NEUCR	5
fam_000101	sp|Q7SGY6|DHSD_NEUCR	2
fam_000102	tr|A7UWP8|A7UWP8_NEUCR	3
fam_000103	sp|P08978|RL28A_NEUCR	5
fam_000104	tr|Q7RW00|Q7RW00_NEUCR	8
fam_000105	tr|Q7RYX3|Q7RYX3_NEUCR	4
fam_000106	tr|Q7S165|Q7S165_NEUCR	2
fam_000107	tr|Q7S2M8|Q7S2M8_NEUCR	2
fam_000108	tr|Q7S5T6|Q7S5T6_NEUCR	7
fam_000109	tr|Q7SB13|Q7SB13_NEUCR	5
fam_000110	sp|Q7SB92|CHS7_NEUCR	5
fam_000111	tr|Q7SD38|Q7SD38_NEUCR	4
fam_000112	tr|Q7SI28|Q7SI28_NEUCR	5
fam_000113	tr|A7UWA6|A7UWA6_NEUCR	3
fam_000114	tr|Q1K4R9|Q1K4R9_NEUCR	4
fam_000115	tr|Q1K4T7|Q1K4T7_NEUCR	4
fam_000116	tr|Q7RUV4|Q7RUV4_NEUCR	5
fam_000117	tr|Q7RW88|Q7RW88_NEUCR	9
fam_000118	tr|Q7S167|Q7S167_NEUCR	4
fam_000119	tr|Q7S468|Q7S468_NEUCR	5
fam_000120	sp|Q7S6U4|CVNH_NEUCR	3
fam_000121	tr|Q7SCK0|Q7SCK0_NEUCR	4
fam_000122	tr|Q7SH06|Q7SH06_NEUCR	3
fam_000123	tr|Q7SHV3|Q7SHV3_NEUCR	4
fam_000124	tr|U9W500|U9W500_NEUCR	5
fam_000125	tr|V5IM44|V5IM44_NEUCR	5
fam_000126	sp|P23704|ATPB_NEUCR	5
fam_000127	tr|Q7S0D6|Q7S0D6_NEUCR	3
fam_000128	tr|Q7S2F2|Q7S2F2_NEUCR	8
fam_000129	tr|Q7S618|Q7S618_NEUCR	5
fam_000130	tr|Q7S789|Q7S789_NEUCR	4
fam_000131	tr|Q7SAD0|Q7SAD0_NEUCR	2
fam_000132	tr|Q7SH40|Q7SH40_NEUCR	5
fam_000133	tr|Q7SHV1|Q7SHV1_NEUCR	5
fam_000134	tr|V5IPN6|V5IPN6_NEUCR	5
fam_000135	tr|A7UW03|A7UW03_NEUCR	5
fam_000136	tr|Q1K7P2|Q1K7P2_NEUCR	4
fam_000137	tr|Q1K901|Q1K901_NEUCR	5
fam_000138	tr|Q7RUP7|Q7RUP7_NEUCR	3
fam_000139	tr|Q7RW24|Q7RW24_NEUCR	2
fam_000140	tr|Q7RWF3|Q7RWF3_NEUCR	3
fam_000141	tr|Q7S2X4|Q7S2X4_NEUCR	2
fam_000142	sp|Q7S7F1|RL30_NEUCR	5
fam_000143	tr|Q7SBX5|Q7SBX5_NEUCR	4
fam_000144	sp|Q9P4Z1|TOM1_NEUCR	5
fam_000145	tr|V5IL08|V5IL08_NEUCR	4
fam_000146	tr|Q1K808|Q1K808_NEUCR	4
fam_000147	tr|Q7RWL3|Q7RWL3_NEUCR	10
fam_000148	tr|Q7RX94|Q7RX94_NEUCR	3
fam_000149	tr|Q7RYD4|Q7RYD4_NEUCR	4
fam_000150	tr|Q7S7J5|Q7S7J5_NEUCR	4
fam_000151	tr|Q7SEP1|Q7SEP1_NEUCR	4
fam_000152	tr|Q7SET7|Q7SET7_NEUCR	6
fam_000153	tr|Q7SHZ5|Q7SHZ5_NEUCR	4
fam_000154	tr|V5IKE8|V5IKE8_NEUCR	4
fam_000155	tr|V5ILH6|V5ILH6_NEUCR	5
fam_000156	tr|F5HEL0|F5HEL0_NEUCR	5
fam_000157	tr|Q1K6B7|Q1K6B7_NEUCR	2
fam_000158	tr|Q1K6N4|Q1K6N4_NEUCR	3
fam_000159	tr|Q1K952|Q1K952_NEUCR	5
fam_000160	sp|Q7RXW1|VAC8_NEUCR	5
fam_000161	tr|Q7S2M7|Q7S2M7_NEUCR	5
fam_000162	sp|Q7S4G7|MTNA_NEUCR	5
fam_000163	sp|Q7S6N6|PABP_NEUCR	5
fam_000164	tr|Q7SEP4|Q7SEP4_NEUCR	5
fam_000165	tr|Q7SG59|Q7SG59_NEUCR	5
fam_000166	tr|Q7SG91|Q7SG91_NEUCR	2
fam_000167	sp|Q7SGE5|RN49_NEUCR	4
fam_000168	tr|Q7SI03|Q7SI03_NEUCR	5
fam_000169	tr|V5INC6|V5INC6_NEUCR	2
fam_000170	sp|P19968|NUZM_NEUCR	3
fam_000171	tr|Q1K827|Q1K827_NEUCR	5
fam_000172	tr|Q7S4R9|Q7S4R9_NEUCR	5
fam_000173	tr|Q7SBV5|Q7SBV5_NEUCR	5
fam_000174	tr|U9WGH7|U9WGH7_NEUCR	5
fam_000175	tr|V5IKI2|V5IKI2_NEUCR	2
fam_000176	tr|F5HDX6|F5HDX6_NEUCR	1
fam_000177	tr|Q7SD31|Q7SD31_NEUCR	1
fam_000178	tr|F5HFU8|F5HFU8_NEUCR	5
fam_000179	tr|Q1K612|Q1K612_NEUCR	2
fam_000180	tr|Q1K7H8|Q1K7H8_NEUCR	2
fam_000181	tr|Q7S0W0|Q7S0W0_NEUCR	5
fam_000182	tr|Q7SF11|Q7SF11_NEUCR	5
fam_000183	tr|Q7SGP6|Q7SGP6_NEUCR	5
fam_000184	tr|V5IMX9|V5IMX9_NEUCR	2
fam_000185	tr|V5ING7|V5ING7_NEUCR	2
fam_000186	tr|V5IPM0|V5IPM0_NEUCR	4
fam_000187	tr|V5IPV8|V5IPV8_NEUCR	2
fam_000188	sp|P06809|COX4_NEUCR	5
fam_000189	sp|P25284|NDUA9_NEUCR	5
fam_000190	tr|Q1K5K1|Q1K5K1_NEUCR	5
fam_000191	tr|Q7SA59|Q7SA59_NEUCR	3
fam_000192	sp|Q7SBS7|ENOPH_NEUCR	2
fam_000193	tr|Q7SFM3|Q7SFM3_NEUCR	11
fam_000194	sp|Q9C0N3|TIM10_NEUCR	5
fam_000195	tr|A0ACF5CCM2|A0ACF5CCM2_9PEZI	5
fam_000196	tr|A0ACF5CDM9|A0ACF5CDM9_9PEZI	2
fam_000197	tr|A0ACF5BRK5|A0ACF5BRK5_9PEZI	4
fam_000198	tr|A0ACF5BUX3|A0ACF5BUX3_9PEZI	2
fam_000199	tr|A0ACF5BZ93|A0ACF5BZ93_9PEZI	5
fam_000200	tr|A0ACF5C3B6|A0ACF5C3B6_9PEZI	4
fam_000201	tr|A0ACF5C4B0|A0ACF5C4B0_9PEZI	1
fam_000202	tr|A0ACF5C6N2|A0ACF5C6N2_9PEZI	1
fam_000203	tr|A0ACF5C851|A0ACF5C851_9PEZI	5
fam_000204	tr|A0ACF5CAQ9|A0ACF5CAQ9_9PEZI	6
fam_000205	tr|A0ACF5CC65|A0ACF5CC65_9PEZI	2
fam_000206	tr|A0ACF5CHL5|A0ACF5CHL5_9PEZI	6
fam_000207	tr|A0ACF5CIG1|A0ACF5CIG1_9PEZI	9
fam_000208	tr|A0ACF5CIN3|A0ACF5CIN3_9PEZI	5
fam_000209	tr|A0ACF5BKF3|A0ACF5BKF3_9PEZI	2
fam_000210	tr|A0ACF5BM22|A0ACF5BM22_9PEZI	2
fam_000211	tr|A0ACF5C120|A0ACF5C120_9PEZI	2
fam_000212	tr|A0ACF5C500|A0ACF5C500_9PEZI	8
fam_000213	tr|A0ACF5C6P0|A0ACF5C6P0_9PEZI	2
fam_000214	tr|A0ACF5CBC9|A0ACF5CBC9_9PEZI	2
fam_000215	tr|A0ACF5CCI4|A0ACF5CCI4_9PEZI	3
fam_000216	tr|A0ACF5CD67|A0ACF5CD67_9PEZI	4
fam_000217	tr|A0ACF5CEA6|A0ACF5CEA6_9PEZI	2
fam_000218	tr|A0ACF5CFD8|A0ACF5CFD8_9PEZI	2
fam_000219	tr|A0ACF5BLY2|A0ACF5BLY2_9PEZI	4
fam_000220	tr|A0ACF5BNN2|A0ACF5BNN2_9PEZI	5
fam_000221	tr|A0ACF5BQ31|A0ACF5BQ31_9PEZI	4
fam_000222	tr|A0ACF5BSA7|A0ACF5BSA7_9PEZI	2
fam_000223	tr|A0ACF5BV57|A0ACF5BV57_9PEZI	4
fam_000224	tr|A0ACF5BXE8|A0ACF5BXE8_9PEZI	5
fam_000225	tr|A0ACF5C543|A0ACF5C543_9PEZI	5
fam_000226	tr|A0ACF5C5Z5|A0ACF5C5Z5_9PEZI	4
fam_000227	tr|A0ACF5CA77|A0ACF5CA77_9PEZI	2
fam_000228	tr|A0ACF5CDT2|A0ACF5CDT2_9PEZI	3
fam_000229	tr|A0ACF5CE50|A0ACF5CE50_9PEZI	5
fam_000230	tr|A0ACF5CFP1|A0ACF5CFP1_9PEZI	2
fam_000231	tr|A0ACF5CFR5|A0ACF5CFR5_9PEZI	5
fam_000232	tr|A0ACF5BLQ2|A0ACF5BLQ2_9PEZI	2
fam_000233	tr|A0ACF5BML0|A0ACF5BML0_9PEZI	2
fam_000234	tr|A0ACF5BU88|A0ACF5BU88_9PEZI	5
fam_000235	tr|A0ACF5BUT3|A0ACF5BUT3_9PEZI	1
fam_000236	tr|A0ACF5BXZ7|A0ACF5BXZ7_9PEZI	2
fam_000237	tr|A0ACF5BXM3|A0ACF5BXM3_9PEZI	5
fam_000238	tr|A0ACF5BXV4|A0ACF5BXV4_9PEZI	11
fam_000239	tr|A0ACF5BYY5|A0ACF5BYY5_9PEZI	2
fam_000240	tr|A0ACF5C5G8|A0ACF5C5G8_9PEZI	1
fam_000241	tr|A0ACF5C228|A0ACF5C228_9PEZI	1
fam_000242	tr|A0ACF5C738|A0ACF5C738_9PEZI	2
fam_000243	tr|A0ACF5C966|A0ACF5C966_9PEZI	10
fam_000244	tr|A0ACF5CHU2|A0ACF5CHU2_9PEZI	4
fam_000245	tr|A0ACF5BJ51|A0ACF5BJ51_9PEZI	3
fam_000246	tr|A0ACF5BPS9|A0ACF5BPS9_9PEZI	4
fam_000247	tr|A0ACF5BQ29|A0ACF5BQ29_9PEZI	2
fam_000248	tr|A0ACF5BTJ4|A0ACF5BTJ4_9PEZI	1
fam_000249	tr|A0ACF5BQY0|A0ACF5BQY0_9PEZI	2
fam_000250	tr|A0ACF5BYF1|A0ACF5BYF1_9PEZI	2
fam_000251	tr|A0ACF5BZH3|A0ACF5BZH3_9PEZI	2
fam_000252	tr|A0ACF5C1Z3|A0ACF5C1Z3_9PEZI	2
fam_000253	tr|A0ACF5C3E0|A0ACF5C3E0_9PEZI	5
fam_000254	tr|A0ACF5C5T8|A0ACF5C5T8_9PEZI	3
fam_000255	tr|A0ACF5C7V6|A0ACF5C7V6_9PEZI	5
fam_000256	tr|A0ACF5C8Y9|A0ACF5C8Y9_9PEZI	5
fam_000257	tr|A0ACF5CH52|A0ACF5CH52_9PEZI	4
fam_000258	tr|A0ACF5CHL2|A0ACF5CHL2_9PEZI	4
fam_000259	tr|A0ACF5CHM6|A0ACF5CHM6_9PEZI	3
fam_000260	tr|A0ACF5CIM8|A0ACF5CIM8_9PEZI	5
fam_000261	tr|A0ACF5BLE3|A0ACF5BLE3_9PEZI	5
fam_000262	tr|A0ACF5BLG3|A0ACF5BLG3_9PEZI	5
fam_000263	tr|A0ACF5BTH6|A0ACF5BTH6_9PEZI	5
fam_000264	tr|A0ACF5BUB4|A0ACF5BUB4_9PEZI	3
fam_000265	tr|A0ACF5BUH7|A0ACF5BUH7_9PEZI	5
fam_000266	tr|A0ACF5BUU3|A0ACF5BUU3_9PEZI	2
fam_000267	tr|A0ACF5BYK4|A0ACF5BYK4_9PEZI	4
fam_000268	tr|A0ACF5C278|A0ACF5C278_9PEZI	5
fam_000269	tr|A0ACF5C2T9|A0ACF5C2T9_9PEZI	5
fam_000270	tr|A0ACF5C4D3|A0ACF5C4D3_9PEZI	5
fam_000271	tr|A0ACF5C745|A0ACF5C745_9PEZI	5
