control_id	class	expected_call	anchor_type	resolved_family	actual_call	outcome	note
POS_HEX1	positive	novel	protein_id	sp|P87252|HEX1_NEUCR	novel	hit	
POS_LAH	positive	novel	protein_id	tr|V5IRA6|V5IRA6_NEUCR	novel	hit	
POS_ADA1	positive	novel	protein_id	tr|Q7SE74|Q7SE74_NEUCR	novel	hit	
POS_HAM5	positive	novel	protein_id	tr|V5IN79|V5IN79_NEUCR	novel	hit	
POS_HAM8	positive	novel	protein_id	tr|Q7SEK3|Q7SEK3_NEUCR	novel	hit	
POS_SPA1	positive	novel	protein_id	tr|Q7SI25|Q7SI25_NEUCR	novel	hit	
NEG_BUSCO01	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family
NEG_BUSCO02	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family
NEG_BUSCO03	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family
NEG_BUSCO04	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family
NEG_BUSCO05	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family
NEG_BUSCO06	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family
NEG_BUSCO07	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family
NEG_BUSCO08	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family
NEG_BUSCO09	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family
NEG_BUSCO10	negative	core	busco		unresolved	unresolved	busco protein not in any profiled family
