family_index	representative_id	n_members
fam_000001	tr|D6RNL0|D6RNL0_COPC7	2
fam_000002	tr|A8N0W7|A8N0W7_COPC7	3
fam_000003	tr|A8N0X7|A8N0X7_COPC7	6
fam_000004	tr|A8N123|A8N123_COPC7	2
fam_000005	tr|A8N1I5|A8N1I5_COPC7	2
fam_000006	tr|A8N5H0|A8N5H0_COPC7	8
fam_000007	tr|A8N6D1|A8N6D1_COPC7	4
fam_000008	tr|A8N6F0|A8N6F0_COPC7	7
fam_000009	tr|A8N8B6|A8N8B6_COPC7	2
fam_000010	tr|A8NBU4|A8NBU4_COPC7	2
fam_000011	tr|A8NEC9|A8NEC9_COPC7	11
fam_000012	tr|A8NSC5|A8NSC5_COPC7	2
fam_000013	tr|A8NUE6|A8NUE6_COPC7	2
fam_000014	tr|A8P3D6|A8P3D6_COPC7	5
fam_000015	tr|A8PD61|A8PD61_COPC7	2
fam_000016	tr|D6RPS1|D6RPS1_COPC7	2
fam_000017	tr|D6RQ90|D6RQ90_COPC7	2
fam_000018	tr|A8N394|A8N394_COPC7	1
fam_000019	tr|A8N395|A8N395_COPC7	1
fam_000020	tr|A8N424|A8N424_COPC7	4
fam_000021	tr|A8N7V2|A8N7V2_COPC7	2
fam_000022	tr|A8NB47|A8NB47_COPC7	4
fam_000023	tr|A8NQV3|A8NQV3_COPC7	8
fam_000024	tr|A8NS75|A8NS75_COPC7	3
fam_000025	tr|A8PB90|A8PB90_COPC7	2
fam_000026	tr|A8PBP0|A8PBP0_COPC7	2
fam_000027	tr|A8PF19|A8PF19_COPC7	1
fam_000028	tr|A8PEW6|A8PEW6_COPC7	1
fam_000029	tr|D6RLM0|D6RLM0_COPC7	1
fam_000030	tr|A8NBU7|A8NBU7_COPC7	1
fam_000031	tr|D6RPR8|D6RPR8_COPC7	3
fam_000032	tr|A8N1S4|A8N1S4_COPC7	2
fam_000033	tr|A8N401|A8N401_COPC7	1
fam_000034	tr|A8P998|A8P998_COPC7	1
fam_000035	tr|A8N713|A8N713_COPC7	3
fam_000036	tr|A8N7S3|A8N7S3_COPC7	2
fam_000037	tr|A8N8E4|A8N8E4_COPC7	2
fam_000038	tr|A8NB57|A8NB57_COPC7	6
fam_000039	tr|A8NC58|A8NC58_COPC7	7
fam_000040	tr|A8NG90|A8NG90_COPC7	5
fam_000041	tr|A8NIZ6|A8NIZ6_COPC7	3
fam_000042	tr|A8NPR1|A8NPR1_COPC7	5
fam_000043	tr|A8NTX5|A8NTX5_COPC7	2
fam_000044	tr|A8P0U9|A8P0U9_COPC7	2
fam_000045	tr|A8P396|A8P396_COPC7	2
fam_000046	tr|A8P3A7|A8P3A7_COPC7	1
fam_000047	tr|D6RPX2|D6RPX2_COPC7	3
fam_000048	tr|D6RQ80|D6RQ80_COPC7	2
fam_000049	tr|A8N0U0|A8N0U0_COPC7	2
fam_000050	tr|A8N1X9|A8N1X9_COPC7	2
fam_000051	tr|A8N2B0|A8N2B0_COPC7	4
fam_000052	tr|A8NBR7|A8NBR7_COPC7	2
fam_000053	tr|A8NMJ2|A8NMJ2_COPC7	1
fam_000054	tr|A8NME2|A8NME2_COPC7	1
fam_000055	tr|A8NPY4|A8NPY4_COPC7	2
fam_000056	tr|A8NQ40|A8NQ40_COPC7	5
fam_000057	tr|A8NQS1|A8NQS1_COPC7	6
fam_000058	tr|A8NQW3|A8NQW3_COPC7	2
fam_000059	tr|A8P5Q3|A8P5Q3_COPC7	2
fam_000060	tr|A8P5L5|A8P5L5_COPC7	1
fam_000061	tr|A8P990|A8P990_COPC7	3
fam_000062	tr|A8PCW5|A8PCW5_COPC7	2
fam_000063	tr|D6RLG3|D6RLG3_COPC7	2
fam_000064	tr|D6RNR5|D6RNR5_COPC7	2
fam_000065	tr|A8N0Q0|A8N0Q0_COPC7	5
fam_000066	tr|A8N3P3|A8N3P3_COPC7	2
fam_000067	tr|A8N4G6|A8N4G6_COPC7	5
fam_000068	tr|A8NB19|A8NB19_COPC7	2
fam_000069	tr|A8NBJ7|A8NBJ7_COPC7	3
fam_000070	tr|A8NCH1|A8NCH1_COPC7	3
fam_000071	tr|A8NCG8|A8NCG8_COPC7	1
fam_000072	tr|A8NDT1|A8NDT1_COPC7	10
fam_000073	tr|A8NLY8|A8NLY8_COPC7	2
fam_000074	tr|A8PCJ2|A8PCJ2_COPC7	3
fam_000075	tr|A8PEC7|A8PEC7_COPC7	2
fam_000076	tr|A8PG81|A8PG81_COPC7	3
