GROUP,Species,Strain,Protein,DNA,GFF3,Short,TaxonGroup
IN,Coccidioides immitis,1M0,1M0.pep.fa,1M0.dna.fa,1M0.gff3,1M0,Coccidioides immitis
IN,Coccidioides immitis,21SD,21SD.pep.fa,21SD.dna.fa,21SD.gff3,21SD,Coccidioides immitis
IN,Coccidioides immitis,3M3,3M3.pep.fa,3M3.dna.fa,3M3.gff3,3M3,Coccidioides immitis
IN,Coccidioides immitis,485B-1_L_OLD_CPA0023,485B-1_L_OLD_CPA0023.pep.fa,485B-1_L_OLD_CPA0023.dna.fa,485B-1_L_OLD_CPA0023.gff3,485B-1_L_OLD_CPA0023,Coccidioides immitis
IN,Coccidioides immitis,4M3,4M3.pep.fa,4M3.dna.fa,4M3.gff3,4M3,Coccidioides immitis
IN,Coccidioides immitis,4SD,4SD.pep.fa,4SD.dna.fa,4SD.gff3,4SD,Coccidioides immitis
IN,Coccidioides immitis,5SD,5SD.pep.fa,5SD.dna.fa,5SD.gff3,5SD,Coccidioides immitis
IN,Coccidioides immitis,A391,A391.pep.fa,A391.dna.fa,A391.gff3,A391,Coccidioides immitis
IN,Coccidioides immitis,A432,A432.pep.fa,A432.dna.fa,A432.gff3,A432,Coccidioides immitis
IN,Coccidioides immitis,A502-1,A502-1.pep.fa,A502-1.dna.fa,A502-1.gff3,A502-1,Coccidioides immitis
IN,Coccidioides immitis,A502-2,A502-2.pep.fa,A502-2.dna.fa,A502-2.gff3,A502-2,Coccidioides immitis
IN,Coccidioides immitis,B0727_Argentina,B0727_Argentina.pep.fa,B0727_Argentina.dna.fa,B0727_Argentina.gff3,B0727_Argentina,Coccidioides immitis
IN,Coccidioides immitis,B11002,B11002.pep.fa,B11002.dna.fa,B11002.gff3,B11002,Coccidioides immitis
IN,Coccidioides immitis,B11019,B11019.pep.fa,B11019.dna.fa,B11019.gff3,B11019,Coccidioides immitis
IN,Coccidioides immitis,B11034,B11034.pep.fa,B11034.dna.fa,B11034.gff3,B11034,Coccidioides immitis
IN,Coccidioides immitis,B11035,B11035.pep.fa,B11035.dna.fa,B11035.gff3,B11035,Coccidioides immitis
IN,Coccidioides immitis,B11057,B11057.pep.fa,B11057.dna.fa,B11057.gff3,B11057,Coccidioides immitis
IN,Coccidioides immitis,B11080,B11080.pep.fa,B11080.dna.fa,B11080.gff3,B11080,Coccidioides immitis
IN,Coccidioides immitis,B11198,B11198.pep.fa,B11198.dna.fa,B11198.gff3,B11198,Coccidioides immitis
IN,Coccidioides immitis,B11343,B11343.pep.fa,B11343.dna.fa,B11343.gff3,B11343,Coccidioides immitis
IN,Coccidioides immitis,B11517,B11517.pep.fa,B11517.dna.fa,B11517.gff3,B11517,Coccidioides immitis
IN,Coccidioides immitis,B11518,B11518.pep.fa,B11518.dna.fa,B11518.gff3,B11518,Coccidioides immitis
IN,Coccidioides immitis,B11587,B11587.pep.fa,B11587.dna.fa,B11587.gff3,B11587,Coccidioides immitis
IN,Coccidioides immitis,B11863,B11863.pep.fa,B11863.dna.fa,B11863.gff3,B11863,Coccidioides immitis
IN,Coccidioides immitis,B11873,B11873.pep.fa,B11873.dna.fa,B11873.gff3,B11873,Coccidioides immitis
IN,Coccidioides immitis,B12219,B12219.pep.fa,B12219.dna.fa,B12219.gff3,B12219,Coccidioides immitis
IN,Coccidioides immitis,B12220,B12220.pep.fa,B12220.dna.fa,B12220.gff3,B12220,Coccidioides immitis
IN,Coccidioides immitis,B12398,B12398.pep.fa,B12398.dna.fa,B12398.gff3,B12398,Coccidioides immitis
IN,Coccidioides immitis,B12495,B12495.pep.fa,B12495.dna.fa,B12495.gff3,B12495,Coccidioides immitis
IN,Coccidioides immitis,B12496,B12496.pep.fa,B12496.dna.fa,B12496.gff3,B12496,Coccidioides immitis
IN,Coccidioides immitis,B12526,B12526.pep.fa,B12526.dna.fa,B12526.gff3,B12526,Coccidioides immitis
IN,Coccidioides immitis,B13956,B13956.pep.fa,B13956.dna.fa,B13956.gff3,B13956,Coccidioides immitis
IN,Coccidioides immitis,B14131,B14131.pep.fa,B14131.dna.fa,B14131.gff3,B14131,Coccidioides immitis
IN,Coccidioides immitis,B14132,B14132.pep.fa,B14132.dna.fa,B14132.gff3,B14132,Coccidioides immitis
IN,Coccidioides immitis,B14133,B14133.pep.fa,B14133.dna.fa,B14133.gff3,B14133,Coccidioides immitis
IN,Coccidioides immitis,B14135,B14135.pep.fa,B14135.dna.fa,B14135.gff3,B14135,Coccidioides immitis
IN,Coccidioides immitis,B14286,B14286.pep.fa,B14286.dna.fa,B14286.gff3,B14286,Coccidioides immitis
IN,Coccidioides immitis,B14288,B14288.pep.fa,B14288.dna.fa,B14288.gff3,B14288,Coccidioides immitis
IN,Coccidioides immitis,B14298,B14298.pep.fa,B14298.dna.fa,B14298.gff3,B14298,Coccidioides immitis
IN,Coccidioides immitis,B15142,B15142.pep.fa,B15142.dna.fa,B15142.gff3,B15142,Coccidioides immitis
IN,Coccidioides immitis,B15145,B15145.pep.fa,B15145.dna.fa,B15145.gff3,B15145,Coccidioides immitis
IN,Coccidioides immitis,B15146,B15146.pep.fa,B15146.dna.fa,B15146.gff3,B15146,Coccidioides immitis
IN,Coccidioides immitis,B15257,B15257.pep.fa,B15257.dna.fa,B15257.gff3,B15257,Coccidioides immitis
IN,Coccidioides immitis,B15317,B15317.pep.fa,B15317.dna.fa,B15317.gff3,B15317,Coccidioides immitis
IN,Coccidioides immitis,B15368,B15368.pep.fa,B15368.dna.fa,B15368.gff3,B15368,Coccidioides immitis
IN,Coccidioides immitis,B16338,B16338.pep.fa,B16338.dna.fa,B16338.gff3,B16338,Coccidioides immitis
IN,Coccidioides immitis,B16339,B16339.pep.fa,B16339.dna.fa,B16339.gff3,B16339,Coccidioides immitis
IN,Coccidioides immitis,B16364,B16364.pep.fa,B16364.dna.fa,B16364.gff3,B16364,Coccidioides immitis
IN,Coccidioides immitis,B16536,B16536.pep.fa,B16536.dna.fa,B16536.gff3,B16536,Coccidioides immitis
IN,Coccidioides immitis,B16692,B16692.pep.fa,B16692.dna.fa,B16692.gff3,B16692,Coccidioides immitis
IN,Coccidioides immitis,B17554,B17554.pep.fa,B17554.dna.fa,B17554.gff3,B17554,Coccidioides immitis
IN,Coccidioides immitis,B17567,B17567.pep.fa,B17567.dna.fa,B17567.gff3,B17567,Coccidioides immitis
IN,Coccidioides immitis,B17635,B17635.pep.fa,B17635.dna.fa,B17635.gff3,B17635,Coccidioides immitis
IN,Coccidioides immitis,CA1,CA1.pep.fa,CA1.dna.fa,CA1.gff3,CA1,Coccidioides immitis
IN,Coccidioides immitis,CA14,CA14.pep.fa,CA14.dna.fa,CA14.gff3,CA14,Coccidioides immitis
IN,Coccidioides immitis,CA15,CA15.pep.fa,CA15.dna.fa,CA15.gff3,CA15,Coccidioides immitis
IN,Coccidioides immitis,CA17,CA17.pep.fa,CA17.dna.fa,CA17.gff3,CA17,Coccidioides immitis
IN,Coccidioides immitis,CA2,CA2.pep.fa,CA2.dna.fa,CA2.gff3,CA2,Coccidioides immitis
IN,Coccidioides immitis,CA20,CA20.pep.fa,CA20.dna.fa,CA20.gff3,CA20,Coccidioides immitis
IN,Coccidioides immitis,CA22,CA22.pep.fa,CA22.dna.fa,CA22.gff3,CA22,Coccidioides immitis
IN,Coccidioides immitis,CA23,CA23.pep.fa,CA23.dna.fa,CA23.gff3,CA23,Coccidioides immitis
IN,Coccidioides immitis,CA24,CA24.pep.fa,CA24.dna.fa,CA24.gff3,CA24,Coccidioides immitis
IN,Coccidioides immitis,CA25,CA25.pep.fa,CA25.dna.fa,CA25.gff3,CA25,Coccidioides immitis
IN,Coccidioides immitis,CA26,CA26.pep.fa,CA26.dna.fa,CA26.gff3,CA26,Coccidioides immitis
IN,Coccidioides immitis,CA27,CA27.pep.fa,CA27.dna.fa,CA27.gff3,CA27,Coccidioides immitis
IN,Coccidioides immitis,CA28,CA28.pep.fa,CA28.dna.fa,CA28.gff3,CA28,Coccidioides immitis
IN,Coccidioides immitis,CA29,CA29.pep.fa,CA29.dna.fa,CA29.gff3,CA29,Coccidioides immitis
IN,Coccidioides immitis,CA3,CA3.pep.fa,CA3.dna.fa,CA3.gff3,CA3,Coccidioides immitis
IN,Coccidioides immitis,CA30,CA30.pep.fa,CA30.dna.fa,CA30.gff3,CA30,Coccidioides immitis
IN,Coccidioides immitis,CA4,CA4.pep.fa,CA4.dna.fa,CA4.gff3,CA4,Coccidioides immitis
IN,Coccidioides immitis,CA5,CA5.pep.fa,CA5.dna.fa,CA5.gff3,CA5,Coccidioides immitis
IN,Coccidioides immitis,CA6,CA6.pep.fa,CA6.dna.fa,CA6.gff3,CA6,Coccidioides immitis
IN,Coccidioides immitis,CA7,CA7.pep.fa,CA7.dna.fa,CA7.gff3,CA7,Coccidioides immitis
IN,Coccidioides immitis,CA8,CA8.pep.fa,CA8.dna.fa,CA8.gff3,CA8,Coccidioides immitis
IN,Coccidioides immitis,CA9,CA9.pep.fa,CA9.dna.fa,CA9.gff3,CA9,Coccidioides immitis
IN,Coccidioides immitis,CDC-202,CDC-202.pep.fa,CDC-202.dna.fa,CDC-202.gff3,CDC-202,Coccidioides immitis
IN,Coccidioides immitis,CDC-205,CDC-205.pep.fa,CDC-205.dna.fa,CDC-205.gff3,CDC-205,Coccidioides immitis
IN,Coccidioides immitis,CDC-212,CDC-212.pep.fa,CDC-212.dna.fa,CDC-212.gff3,CDC-212,Coccidioides immitis
IN,Coccidioides immitis,COCSP-2006,COCSP-2006.pep.fa,COCSP-2006.dna.fa,COCSP-2006.gff3,COCSP-2006,Coccidioides immitis
IN,Coccidioides immitis,COCSP-3505,COCSP-3505.pep.fa,COCSP-3505.dna.fa,COCSP-3505.gff3,COCSP-3505,Coccidioides immitis
IN,Coccidioides immitis,COCSP-8945,COCSP-8945.pep.fa,COCSP-8945.dna.fa,COCSP-8945.gff3,COCSP-8945,Coccidioides immitis
IN,Coccidioides immitis,Coahuila_1,Coahuila_1.pep.fa,Coahuila_1.dna.fa,Coahuila_1.gff3,Coahuila_1,Coccidioides immitis
IN,Coccidioides immitis,GT-100,GT-100.pep.fa,GT-100.dna.fa,GT-100.gff3,GT-100,Coccidioides immitis
IN,Coccidioides immitis,GT-104,GT-104.pep.fa,GT-104.dna.fa,GT-104.gff3,GT-104,Coccidioides immitis
IN,Coccidioides immitis,GT-105,GT-105.pep.fa,GT-105.dna.fa,GT-105.gff3,GT-105,Coccidioides immitis
IN,Coccidioides immitis,GT-107,GT-107.pep.fa,GT-107.dna.fa,GT-107.gff3,GT-107,Coccidioides immitis
IN,Coccidioides immitis,GT-108,GT-108.pep.fa,GT-108.dna.fa,GT-108.gff3,GT-108,Coccidioides immitis
IN,Coccidioides immitis,GT-109,GT-109.pep.fa,GT-109.dna.fa,GT-109.gff3,GT-109,Coccidioides immitis
IN,Coccidioides immitis,GT-111,GT-111.pep.fa,GT-111.dna.fa,GT-111.gff3,GT-111,Coccidioides immitis
IN,Coccidioides immitis,GT-113,GT-113.pep.fa,GT-113.dna.fa,GT-113.gff3,GT-113,Coccidioides immitis
