Short,Species,Strain,Group,TaxonGroup,Protein_Source,Protein_Accession,Taxon_ID,Genome_Source,Genome_Accession,GFF3_Source,GFF3_Accession
1M0,Coccidioides immitis,1M0,IN,Coccidioides immitis,local_faa,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/pep/Coccidioides_immitis_1M0.proteins.fa,5501,local_genome,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/DNA/Coccidioides_immitis_1M0.scaffolds.fa,local_gff3,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/GFF/Coccidioides_immitis_1M0.gff3
21SD,Coccidioides immitis,21SD,IN,Coccidioides immitis,local_faa,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/pep/Coccidioides_immitis_21SD.proteins.fa,5501,local_genome,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/DNA/Coccidioides_immitis_21SD.scaffolds.fa,local_gff3,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/GFF/Coccidioides_immitis_21SD.gff3
3M3,Coccidioides immitis,3M3,IN,Coccidioides immitis,local_faa,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/pep/Coccidioides_immitis_3M3.proteins.fa,5501,local_genome,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/DNA/Coccidioides_immitis_3M3.scaffolds.fa,local_gff3,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/GFF/Coccidioides_immitis_3M3.gff3
407-0_S_OLD_CPA0002,Coccidioides posadasii,407-0_S_OLD_CPA0002,IN,Coccidioides posadasii,local_faa,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/pep/Coccidioides_posadasii_407-0_S_OLD_CPA0002.proteins.fa,199306,local_genome,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/DNA/Coccidioides_posadasii_407-0_S_OLD_CPA0002.scaffolds.fa,local_gff3,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/GFF/Coccidioides_posadasii_407-0_S_OLD_CPA0002.gff3
407-1_S_OLD_CPA0004,Coccidioides posadasii,407-1_S_OLD_CPA0004,IN,Coccidioides posadasii,local_faa,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/pep/Coccidioides_posadasii_407-1_S_OLD_CPA0004.proteins.fa,199306,local_genome,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/DNA/Coccidioides_posadasii_407-1_S_OLD_CPA0004.scaffolds.fa,local_gff3,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/GFF/Coccidioides_posadasii_407-1_S_OLD_CPA0004.gff3
409B-0_L_OLD_CPA0011,Coccidioides posadasii,409B-0_L_OLD_CPA0011,IN,Coccidioides posadasii,local_faa,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/pep/Coccidioides_posadasii_409B-0_L_OLD_CPA0011.proteins.fa,199306,local_genome,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/DNA/Coccidioides_posadasii_409B-0_L_OLD_CPA0011.scaffolds.fa,local_gff3,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/GFF/Coccidioides_posadasii_409B-0_L_OLD_CPA0011.gff3
409B-0_S_OLD_CPA0012,Coccidioides posadasii,409B-0_S_OLD_CPA0012,IN,Coccidioides posadasii,local_faa,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/pep/Coccidioides_posadasii_409B-0_S_OLD_CPA0012.proteins.fa,199306,local_genome,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/DNA/Coccidioides_posadasii_409B-0_S_OLD_CPA0012.scaffolds.fa,local_gff3,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/GFF/Coccidioides_posadasii_409B-0_S_OLD_CPA0012.gff3
4545-MICE,Coccidioides posadasii,4545-MICE,IN,Coccidioides posadasii,local_faa,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/pep/Coccidioides_posadasii_4545-MICE.proteins.fa,199306,local_genome,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/DNA/Coccidioides_posadasii_4545-MICE.scaffolds.fa,local_gff3,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/GFF/Coccidioides_posadasii_4545-MICE.gff3
485B-0_S_OLD_CPA0021,Coccidioides posadasii,485B-0_S_OLD_CPA0021,IN,Coccidioides posadasii,local_faa,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/pep/Coccidioides_posadasii_485B-0_S_OLD_CPA0021.proteins.fa,199306,local_genome,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/DNA/Coccidioides_posadasii_485B-0_S_OLD_CPA0021.scaffolds.fa,local_gff3,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/GFF/Coccidioides_posadasii_485B-0_S_OLD_CPA0021.gff3
485B-1_L_OLD_CPA0023,Coccidioides immitis,485B-1_L_OLD_CPA0023,IN,Coccidioides immitis,local_faa,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/pep/Coccidioides_immitis_485B-1_L_OLD_CPA0023.proteins.fa,5501,local_genome,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/DNA/Coccidioides_immitis_485B-1_L_OLD_CPA0023.scaffolds.fa,local_gff3,/bigdata/stajichlab/shared/projects/Coccidioides/PopGenomics/2025_All_Cocci/Assembly/annotation_freeze/20260112/GFF/Coccidioides_immitis_485B-1_L_OLD_CPA0023.gff3
