GROUP,Species,Strain,Protein,DNA,GFF3,Short,TaxonGroup
IN,Aetokthonos hydrillicola,MAG-271,No_MAG271.pep.fa,No_MAG271.dna.fa,No_MAG271.gff3,No_MAG271,no-fsp-in-name
IN,Aliinostoc maniaoense,TIOX60,No_TIOX60.pep.fa,No_TIOX60.dna.fa,No_TIOX60.gff3,No_TIOX60,no-fsp-in-name
IN,Aliinostoc sp. HNIBRCY26,HNIBRCY26,No_HNIBRCY26.pep.fa,No_HNIBRCY26.dna.fa,No_HNIBRCY26.gff3,No_HNIBRCY26,no-fsp-in-name
IN,Amazonocrinis nigriterrae,CENA67,No_CENA67.pep.fa,No_CENA67.dna.fa,No_CENA67.gff3,No_CENA67,no-fsp-in-name
IN,Anabaena azotica,SJ-1,No_SJ1.pep.fa,No_SJ1.dna.fa,No_SJ1.gff3,No_SJ1,no-fsp-in-name
IN,Anabaena catenula,FACHB-362,No_FACHB362.pep.fa,No_FACHB362.dna.fa,No_FACHB362.gff3,No_FACHB362,no-fsp-in-name
IN,Anabaena cylindrica,PCC 7122,No_PCC_7122.pep.fa,No_PCC_7122.dna.fa,No_PCC_7122.gff3,No_PCC_7122,no-fsp-in-name
IN,Anabaena lutea,FACHB-196,No_FACHB196.pep.fa,No_FACHB196.dna.fa,No_FACHB196.gff3,No_FACHB196,no-fsp-in-name
IN,Anabaena minutissima,FACHB-250,No_FACHB250.pep.fa,No_FACHB250.dna.fa,No_FACHB250.gff3,No_FACHB250,no-fsp-in-name
IN,Anabaena sp. 4-3,4-3,No_43.pep.fa,No_43.dna.fa,No_43.gff3,No_43,no-fsp-in-name
IN,Anabaena sp. 49628_E55,49628_E55,No_49628_E55.pep.fa,No_49628_E55.dna.fa,No_49628_E55.gff3,No_49628_E55,no-fsp-in-name
IN,Anabaena sp. 49633_E8,49633_E8,No_49633_E8.pep.fa,No_49633_E8.dna.fa,No_49633_E8.gff3,No_49633_E8,no-fsp-in-name
IN,Anabaena sp. 54,54,No_54.pep.fa,No_54.dna.fa,No_54.gff3,No_54,no-fsp-in-name
IN,Anabaena sp. 90,90,No_90.pep.fa,No_90.dna.fa,No_90.gff3,No_90,no-fsp-in-name
IN,Anabaena sp. AL09,39864,No_39864.pep.fa,No_39864.dna.fa,No_39864.gff3,No_39864,no-fsp-in-name
IN,Anabaena sp. AL93,WA93,No_WA93.pep.fa,No_WA93.dna.fa,No_WA93.gff3,No_WA93,no-fsp-in-name
IN,Anabaena sp. CA = ATCC 33047,ATCC 33047,No_ATCC_33047.pep.fa,No_ATCC_33047.dna.fa,No_ATCC_33047.gff3,No_ATCC_33047,no-fsp-in-name
IN,Anabaena sp. CCY 0017,Anabaena CCY 0017,No_Anabaena_CCY_0017.pep.fa,No_Anabaena_CCY_0017.dna.fa,No_Anabaena_CCY_0017.gff3,No_Anabaena_CCY_0017,no-fsp-in-name
IN,Anabaena sp. CCY 9402-a,Anabaena CCY 9402-a,No_Anabaena_CCY_9402a.pep.fa,No_Anabaena_CCY_9402a.dna.fa,No_Anabaena_CCY_9402a.gff3,No_Anabaena_CCY_9402a,no-fsp-in-name
IN,Anabaena sp. CCY 9613,Anabaena CCY 9613,No_Anabaena_CCY_9613.pep.fa,No_Anabaena_CCY_9613.dna.fa,No_Anabaena_CCY_9613.gff3,No_Anabaena_CCY_9613,no-fsp-in-name
IN,Anabaena sp. CCY 9614,Anabaena CCY 9614,No_Anabaena_CCY_9614.pep.fa,No_Anabaena_CCY_9614.dna.fa,No_Anabaena_CCY_9614.gff3,No_Anabaena_CCY_9614,no-fsp-in-name
IN,Anabaena sp. CCY 9910,Anabaena CCY 9910,No_Anabaena_CCY_9910.pep.fa,No_Anabaena_CCY_9910.dna.fa,No_Anabaena_CCY_9910.gff3,No_Anabaena_CCY_9910,no-fsp-in-name
IN,Anabaena sp. CRKS33,CRKS33,No_CRKS33.pep.fa,No_CRKS33.dna.fa,No_CRKS33.gff3,No_CRKS33,no-fsp-in-name
IN,Anabaena sp. CS-542/02,CS-542/02,No_CS54202.pep.fa,No_CS54202.dna.fa,No_CS54202.gff3,No_CS54202,no-fsp-in-name
IN,Anabaena sp. CoA2_C59,CoA2_C59,No_CoA2_C59.pep.fa,No_CoA2_C59.dna.fa,No_CoA2_C59.gff3,No_CoA2_C59,no-fsp-in-name
IN,Anabaena sp. EIM26,EIM26,No_EIM26.pep.fa,No_EIM26.dna.fa,No_EIM26.gff3,No_EIM26,no-fsp-in-name
IN,Anabaena sp. FACHB-1237,FACHB-1237,No_FACHB1237.pep.fa,No_FACHB1237.dna.fa,No_FACHB1237.gff3,No_FACHB1237,no-fsp-in-name
IN,Anabaena sp. FACHB-1391,FACHB-1391,No_FACHB1391.pep.fa,No_FACHB1391.dna.fa,No_FACHB1391.gff3,No_FACHB1391,no-fsp-in-name
IN,Anabaena sp. FACHB-595,FACHB-595,No_FACHB595.pep.fa,No_FACHB595.dna.fa,No_FACHB595.gff3,No_FACHB595,no-fsp-in-name
IN,Anabaena sp. FACHB-709,FACHB-709,No_FACHB709.pep.fa,No_FACHB709.dna.fa,No_FACHB709.gff3,No_FACHB709,no-fsp-in-name
