Short,Species,Strain,Group,TaxonGroup,Protein_Source,Protein_Accession,Taxon_ID,Genome_Source,Genome_Accession,GFF3_Source,GFF3_Accession
No_MAG271,Aetokthonos hydrillicola,MAG-271,IN,no-fsp-in-name,ncbi,GCA_059505125.1,1550245,ncbi,GCA_059505125.1,,
No_TIOX60,Aliinostoc maniaoense,TIOX60,IN,no-fsp-in-name,ncbi,GCA_058172895.1,3416947,ncbi,GCA_058172895.1,,
No_HNIBRCY26,Aliinostoc sp. HNIBRCY26,HNIBRCY26,IN,no-fsp-in-name,ncbi,GCA_050235535.1,3418997,ncbi,GCA_050235535.1,,
No_CENA67,Amazonocrinis nigriterrae,CENA67,IN,no-fsp-in-name,ncbi,GCA_016056305.1,2794033,ncbi,GCA_016056305.1,,
No_SJ1,Anabaena azotica,SJ-1,IN,no-fsp-in-name,ncbi,GCA_047275885.1,3392114,ncbi,GCA_047275885.1,,
No_FACHB362,Anabaena catenula,FACHB-362,IN,no-fsp-in-name,ncbi,GCA_014698735.1,2692877,ncbi,GCA_014698735.1,,
No_PCC_7122,Anabaena cylindrica,PCC 7122,IN,no-fsp-in-name,ncbi,GCA_000317695.1,272123,ncbi,GCA_000317695.1,,
No_FACHB196,Anabaena lutea,FACHB-196,IN,no-fsp-in-name,ncbi,GCA_014698305.1,2692881,ncbi,GCA_014698305.1,,
No_FACHB250,Anabaena minutissima,FACHB-250,IN,no-fsp-in-name,ncbi,GCA_014697125.1,2692882,ncbi,GCA_014697125.1,,
No_43,Anabaena sp. 4-3,4-3,IN,no-fsp-in-name,ncbi,GCF_001597745.1,1811979,ncbi,GCF_001597745.1,,
No_49628_E55,Anabaena sp. 49628_E55,49628_E55,IN,no-fsp-in-name,ncbi,GCA_021300315.1,2904988,ncbi,GCA_021300315.1,,
No_49633_E8,Anabaena sp. 49633_E8,49633_E8,IN,no-fsp-in-name,ncbi,GCA_021300225.1,2904987,ncbi,GCA_021300225.1,,
