Short	protein_id	contig	start	end	member	family	contig_len	dist_end	idx	n_on_contig	bin	hrmA_models	species	pf11001_same_protein	left_telo	right_telo	near_left	nearest_end_telo	genes_to_end	label
1M0	C1196DB_000537-T1	scaffold_14	35157	35674	1M0|C1196DB_000537-T1	GT-126|C8C79ED_001931-T1	91829	35156	15	37	core	HrmA	Ci	False	0	0	True	0	15	F04
1M0	C1196DB_000060-T1	scaffold_2	36170	36523	1M0|C1196DB_000060-T1	5SD|CCCC1E1_001005-T1	142090	36169	7	38	core	HrmA	Ci	False	0	0	True	0	7	F05
1M0	C1196DB_000999-T1	scaffold_30	17014	17403	1M0|C1196DB_000999-T1	5SD|CCCC1E1_000191-T1	76466	17013	7	31	core	HrmA	Ci	False	0	0	True	0	7	F07
1M0	C1196DB_005923-T1	scaffold_415	13627	13992	1M0|C1196DB_005923-T1	GT-146|CDEB87D_007880-T1	22389	8397	4	8	shell	HrmA	Ci	False	0	0	False	0	3	F08
1M0	C1196DB_006813-T1	scaffold_553	13045	13557	1M0|C1196DB_006813-T1	5SD|CCCC1E1_003562-T1	16223	2666	5	6	core	HrmA	Ci	False	0	0	False	0	0	F06
21SD	C5E6681_004389-T1	scaffold_148	22340	22705	21SD|C5E6681_004389-T1	GT-146|CDEB87D_007880-T1	59593	22339	9	23	shell	HrmA	Ci	False	0	0	True	0	9	F08
21SD	C5E6681_000845-T1	scaffold_18	36190	36543	21SD|C5E6681_000845-T1	5SD|CCCC1E1_001005-T1	135092	36189	8	19	core	HrmA	Ci	False	0	0	True	0	8	F05
21SD	C5E6681_005697-T1	scaffold_230	35173	35690	21SD|C5E6681_005697-T1	GT-126|C8C79ED_001931-T1	40729	5039	15	17	core	HrmA	Ci	False	0	0	False	0	1	F04
21SD	C5E6681_001413-T1	scaffold_31	51004	51516	21SD|C5E6681_001413-T1	5SD|CCCC1E1_003562-T1	120494	51003	12	24	core	HrmA	Ci	False	0	0	True	0	11	F06
21SD	C5E6681_000183-T1	scaffold_5	17015	17404	21SD|C5E6681_000183-T1	5SD|CCCC1E1_000191-T1	207161	17014	7	79	core	HrmA	Ci	False	0	0	True	0	7	F07
21SD	C5E6681_002222-T1	scaffold_57	18540	19556	21SD|C5E6681_002222-T1	GT-126|C8C79ED_008251-T1	89707	18539	1	4	shell	HrmA	Ci	False	0	0	True	0	1	F12
3M3	CC2BDEF_003708-T1	scaffold_132	8405	8770	3M3|CC2BDEF_003708-T1	GT-146|CDEB87D_007880-T1	57379	8404	3	18	shell	HrmA	Ci	False	0	0	True	0	3	F08
3M3	CC2BDEF_004130-T1	scaffold_157	23922	24275	3M3|CC2BDEF_004130-T1	5SD|CCCC1E1_001005-T1	50774	23921	7	13	core	HrmA	Ci	False	0	0	True	0	5	F05
3M3	CC2BDEF_000916-T1	scaffold_23	69282	69794	3M3|CC2BDEF_000916-T1	5SD|CCCC1E1_003562-T1	120804	51010	11	24	core	HrmA	Ci	False	0	0	False	0	11	F06
3M3	CC2BDEF_006167-T1	scaffold_317	19069	19599	3M3|CC2BDEF_006167-T1	GT-126|C8C79ED_001931-T1	29538	9939	1	2	core	HrmA	Ci	False	0	0	False	0	0	F04
3M3	CC2BDEF_001598-T1	scaffold_42	56595	57112	3M3|CC2BDEF_001598-T1	GT-126|C8C79ED_001931-T1	92271	35159	21	36	core	HrmA	Ci	False	0	0	False	0	14	F04
3M3	CC2BDEF_002150-T1	scaffold_64	17018	17407	3M3|CC2BDEF_002150-T1	5SD|CCCC1E1_000191-T1	76472	17017	7	31	core	HrmA	Ci	False	0	0	True	0	7	F07
