Short	Species	n_contigs	n50	total_length	dedup_group	is_representative	n_HrmA_PF28515	n_HrmA_N_or_middle
1M0	Coccidioides immitis	1943	32637	27476767	0	1	5	0
21SD	Coccidioides immitis	1118	59044	28201677	1	1	6	0
3M3	Coccidioides immitis	1298	48005	27584326	2	1	6	0
407-0_S_OLD_CPA0002	Coccidioides posadasii	564	170195	27979740	3	0	4	0
407-1_S_OLD_CPA0004	Coccidioides posadasii	528	189216	28234560	3	1	4	0
409B-0_L_OLD_CPA0011	Coccidioides posadasii	3462	43669	30138480	4	0	4	0
409B-0_S_OLD_CPA0012	Coccidioides posadasii	1210	145813	28626337	4	1	4	0
4545-MICE	Coccidioides posadasii	623	105727	27944153	5	0	7	0
485B-0_S_OLD_CPA0021	Coccidioides posadasii	524	177431	27543885	6	0	3	0
485B-1_L_OLD_CPA0023	Coccidioides posadasii	581	181839	27604680	6	1	3	0
485B-4_S_NEW_CPA0029	Coccidioides posadasii	572	143228	27616348	6	0	3	0
4M3	Coccidioides immitis	1670	39760	27605063	7	1	5	0
4SD	Coccidioides immitis	1358	70037	27072088	8	1	4	0
573-1_L_NEW_CPA0031	Coccidioides posadasii	504	167328	27672989	9	0	3	0
573-1_S_NEW_CPA0033	Coccidioides posadasii	518	163147	27609340	9	0	3	0
574-0_L_OLD_CPA0038	Coccidioides posadasii	514	179386	27562097	10	1	3	0
574-0_S_OLD_CPA0039	Coccidioides posadasii	505	174079	27438819	10	0	3	0
574-1_L_NEW_CPA0040	Coccidioides posadasii	471	140568	27641230	9	0	3	0
578-1_A_NEW_CPA0048	Coccidioides posadasii	473	191851	27043313	11	1	2	0
578-1_L_NEW_CPA0049	Coccidioides posadasii	560	165662	27324141	11	0	2	0
578-1_L_NEW_CPA0049_alt	Coccidioides posadasii	464	173228	27676834	9	0	2	0
582-1_L_NEW_CPA0064	Coccidioides posadasii	422	159556	27321836	12	1	4	0
5SD	Coccidioides immitis	1096	55297	27914942	13	1	7	0
730332_Guatemala	Coccidioides posadasii	2215	28581	28782010	14	1	5	2
730333_Guatemala	Coccidioides posadasii	2292	27511	28780861	14	0	5	2
730334_Guatemala	Coccidioides posadasii	1749	34257	27325492	15	1	2	0
A391	Coccidioides immitis	782	78927	27079088	16	0	6	0
A432	Coccidioides immitis	731	83748	27188973	16	0	6	0
A502-1	Coccidioides immitis	711	86488	27172582	16	0	6	0
A502-2	Coccidioides immitis	737	81871	27094810	16	0	6	0
B0727_Argentina	Coccidioides immitis	1606	39643	27840373	17	1	5	0
B0858-Guatemala	Coccidioides posadasii	1813	36218	28976806	18	1	5	0
B10757_Nevada	Coccidioides posadasii	1523	39543	27985983	19	1	5	0
B10813_Texas	Coccidioides posadasii	1228	47781	27255890	20	1	2	0
B10917	Coccidioides posadasii	1478	41446	28087710	21	1	4	0
B10918	Coccidioides posadasii	1377	41123	27052364	22	1	4	0
B10919	Coccidioides posadasii	1515	40062	27570151	23	1	3	0
B11002	Coccidioides immitis	2345	25383	27704663	24	1	5	0
B11019	Coccidioides immitis	688	94592	27559887	16	0	6	0
B11034	Coccidioides immitis	480	128258	27027262	16	0	6	0
B11035	Coccidioides immitis	700	85491	27355445	25	1	5	0
B11036	Coccidioides posadasii	541	115100	26916299	26	1	4	0
B11057	Coccidioides immitis	731	88160	27715189	27	1	5	0
B11058	Coccidioides posadasii	1889	30646	27333764	28	1	2	0
B11080	Coccidioides immitis	1538	38422	27466322	29	1	5	0
B11198	Coccidioides immitis	479	129129	27959719	30	1	6	0
B11199	Coccidioides posadasii	777	69610	27563518	31	1	4	0
B11232	Coccidioides posadasii	1180	48627	27382394	32	1	4	0
B11299	Coccidioides posadasii	517	114513	27572602	33	1	4	0
B11300	Coccidioides posadasii	521	126376	27184895	34	1	2	0
B11343	Coccidioides immitis	1396	42893	28290980	35	1	7	0
B11400	Coccidioides posadasii	1522	38300	27470093	36	1	4	0
B11517	Coccidioides immitis	434	136405	27696805	37	1	7	0
B11518	Coccidioides immitis	1622	38793	27584576	16	0	6	0
B11587	Coccidioides immitis	1271	46929	27925576	38	1	5	0
B11863	Coccidioides immitis	1665	38776	27983289	39	1	7	0
B11871	Coccidioides posadasii	524	115030	27313279	40	1	4	0
B11872	Coccidioides posadasii	460	130448	27364734	41	1	2	0
B11873	Coccidioides immitis	800	75049	27334555	42	1	6	0
B11877	Coccidioides posadasii	469	138416	27194485	43	1	3	0
B12202	Coccidioides posadasii	481	125052	27499385	44	1	5	0
B12216	Coccidioides posadasii	633	100924	26882608	45	1	2	0
B12218	Coccidioides posadasii	574	110124	27578049	46	1	4	0
B12219	Coccidioides immitis	440	131813	28409327	47	1	5	0
B12220	Coccidioides immitis	462	133622	27550211	48	1	6	0
B12226	Coccidioides posadasii	585	117595	28268632	49	1	5	0
B12397	Coccidioides posadasii	506	120699	27308157	50	1	3	0
B12398	Coccidioides immitis	1724	39431	27047846	16	0	6	0
B12399	Coccidioides posadasii	432	139117	26681155	51	1	3	0
B12400	Coccidioides posadasii	453	128272	27197074	52	1	4	0
B12402	Coccidioides posadasii	737	84973	27959299	53	1	3	0
B12471	Coccidioides posadasii	510	120247	27589337	54	1	4	0
B12475	Coccidioides posadasii	549	102656	27350165	55	1	4	0
B12495	Coccidioides immitis	306	182245	26907707	56	1	6	0
B12496	Coccidioides immitis	342	190083	26867687	57	1	6	0
B12498	Coccidioides posadasii	515	122245	26769040	58	1	3	0
B1249_Guatemala	Coccidioides posadasii	1720	35950	28626221	59	1	5	2
B12526	Coccidioides immitis	364	167579	28176360	60	1	6	0
B12527	Coccidioides posadasii	525	102015	27172845	61	1	3	0
B13534	Coccidioides posadasii	555	103171	27147445	62	1	2	0
B13535	Coccidioides posadasii	536	120247	27470537	63	1	2	0
B13956	Coccidioides immitis	416	136235	27131162	16	0	6	0
B13981	Coccidioides posadasii	603	95480	27429823	64	1	3	0
B14104	Coccidioides posadasii	384	146590	26651758	65	0	3	0
B14130	Coccidioides posadasii	510	117648	27148122	66	1	3	0
B14131	Coccidioides immitis	461	141290	27686160	67	1	6	0
B14132	Coccidioides immitis	413	134995	27358250	68	1	5	0
B14133	Coccidioides immitis	509	105767	27357230	68	0	5	0
B14134	Coccidioides posadasii	500	115791	27820124	69	1	4	0
B14135	Coccidioides immitis	401	152029	27998386	70	1	6	0
B14286	Coccidioides immitis	646	96951	28174189	71	1	6	1
B14288	Coccidioides immitis	517	117633	27645219	72	1	6	0
B14291	Coccidioides posadasii	905	71856	27800456	73	0	2	0
B14292	Coccidioides posadasii	732	89681	27907117	73	1	2	0
B14298	Coccidioides immitis	539	123980	27398305	74	0	6	0
B15142	Coccidioides immitis	471	138096	27164833	75	1	5	0
B15145	Coccidioides immitis	492	135806	27681411	67	0	6	0
B15146	Coccidioides immitis	569	117834	27857439	76	1	5	1
B15257	Coccidioides immitis	380	174446	27735142	77	1	5	0
B15317	Coccidioides immitis	885	72762	27232809	16	0	6	0
B15368	Coccidioides immitis	439	142438	27626656	78	1	6	0
B15369	Coccidioides posadasii	511	117854	27439121	79	1	4	0
B16293	Coccidioides posadasii	438	136538	27312004	80	1	2	0
B16294	Coccidioides posadasii	635	104731	27431306	81	1	3	0
B16338	Coccidioides immitis	398	149046	27011727	82	1	5	0
B16339	Coccidioides immitis	392	144776	27769952	83	1	5	1
B16364	Coccidioides immitis	415	157612	27586040	84	1	6	0
B16531	Coccidioides posadasii	701	99214	27817095	85	1	4	0
B16536	Coccidioides immitis	1768	45081	26750118	86	1	6	0
B16692	Coccidioides immitis	791	80486	27741293	16	0	6	0
B16712	Coccidioides posadasii	499	112337	27005243	87	1	2	0
B17554	Coccidioides immitis	1145	60109	27504176	16	0	6	1
B17567	Coccidioides immitis	1037	56406	27904741	88	1	6	0
B17635	Coccidioides immitis	958	64382	27896517	67	0	6	0
B3203	Coccidioides posadasii	290	236555	27750769	89	1	4	0
B3213	Coccidioides posadasii	255	304123	27668928	90	1	3	0
B3215	Coccidioides posadasii	282	256390	27809852	91	1	2	0
B3220	Coccidioides posadasii	231	390922	26641951	92	1	2	0
B3221	Coccidioides posadasii	295	222576	26621885	93	1	4	0
