label	family	rep_models	rep_len	n_members	n_members_hrma_hit	member_model_combos	n_members_PF11001	n_strains_with_member	max_copies_per_strain	n_strains_multicopy	bin	strain_count	frequency	frac_members_hit	Ci_present	Ci_genome_only	Ci_absent	Ci_n	Cp_present	Cp_genome_only	Cp_absent	Cp_n	Ci_frac_any	Cp_frac_any	fisher_p_any	Ci_frac_annot	Cp_frac_annot	fisher_p_annot	bh_q_any	bh_q_annot	Ci_mean_copies	Ci_max_copies	Cp_mean_copies	Cp_max_copies	locus
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	-	667	23	11	HrmA_middle:11	0	23	1	0	cloud	7	0.0526	0.478	7	0	162	169	16	0	344	360	0.0414	0.0444	1.0	0.0414	0.0444	1.0	1.0	1.0	1.0	1	1.0	1	L12
F02	578-1_L_NEW_CPA0049|C79DB71_000776-T1	HrmA	124	354	354	HrmA:354	0	354	1	0	singleton	0	0.0	1.0	0	0	169	169	354	0	6	360	0.0	0.9833	1.1659507286054516e-132	0.0	0.9833	1.1659507286054516e-132	1.6323310200476323e-131	1.6323310200476323e-131	0.0	0	1.0	1	L01
F03	578-1_L_NEW_CPA0049|C79DB71_008063-T1	HrmA	122	343	343	HrmA:343	0	343	1	0	singleton	0	0.0	1.0	0	0	169	169	343	0	17	360	0.0	0.9528	1.6094563407774025e-119	0.0	0.9528	1.6094563407774025e-119	1.3519433262530184e-118	1.3519433262530184e-118	0.0	0	1.0	1	L02
F04	GT-126|C8C79ED_001931-T1	HrmA	125	231	231	HrmA:231	0	162	2	69	core	127	0.9549	1.0	162	0	7	169	0	0	360	360	0.9586	0.0	5.3535156253243166e-129	0.9586	0.0	5.3535156253243166e-129	5.621191406590533e-128	5.621191406590533e-128	1.43	2	0.0	0	L04
F05	5SD|CCCC1E1_001005-T1	HrmA	117	191	191	HrmA:191	0	190	2	1	core	132	0.9925	1.0	168	0	1	169	22	0	338	360	0.9941	0.0611	3.6850987117960603e-112	0.9941	0.0611	3.6850987117960603e-112	2.211059227077636e-111	2.579569098257242e-111	1.01	2	1.0	1	L03
F06	5SD|CCCC1E1_003562-T1	HrmA	170	167	167	HrmA:167	0	167	1	0	core	131	0.985	1.0	167	0	2	169	0	0	360	360	0.9882	0.0	2.082531564227014e-138	0.9882	0.0	2.082531564227014e-138	8.746632569753459e-137	8.746632569753459e-137	1.0	1	0.0	0	L05
F07	5SD|CCCC1E1_000191-T1	HrmA	129	165	165	HrmA:165	0	165	1	0	core	130	0.9774	1.0	165	0	4	169	0	0	360	360	0.9763	0.0	2.293075505370364e-134	0.9763	0.0	2.293075505370364e-134	4.815458561277764e-133	4.815458561277764e-133	1.0	1	0.0	0	L06
F08	GT-146|CDEB87D_007880-T1	HrmA	117	135	135	HrmA:135	0	135	1	0	shell	101	0.7594	1.0	132	0	37	169	3	0	357	360	0.7811	0.0083	1.7550422745993373e-85	0.7811	0.0083	1.7550422745993373e-85	8.190197281463575e-85	1.0530253647596025e-84	1.0	1	1.0	1	L07
F09	5SD|CCCC1E1_000093-T1	HrmA	124	114	114	HrmA:114	0	114	1	0	cloud	10	0.0752	1.0	11	0	158	169	103	0	257	360	0.0651	0.2861	8.421170709676962e-10	0.0651	0.2861	8.421170709676962e-10	2.2105573112902037e-09	2.947409748386938e-09	1.0	1	1.0	1	L08
F10	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	HrmA	119	109	109	HrmA:109	0	109	1	0	singleton	0	0.0	1.0	0	0	169	169	109	0	251	360	0.0	0.3028	1.6501234100151797e-21	0.0	0.3028	1.6501234100151797e-21	5.3311679400490415e-21	7.700575913404172e-21	0.0	0	1.0	1	L09
F11	TX11|CEC36E2_008626-T1	HrmA	87	102	102	HrmA:102	0	102	1	0	singleton	0	0.0	1.0	0	0	169	169	102	0	258	360	0.0	0.2833	6.553601852075048e-20	0.0	0.2833	6.553601852075048e-20	1.8350085185810132e-19	2.5022843435195644e-19	0.0	0	1.0	1	L03
F12	GT-126|C8C79ED_008251-T1	HrmA	178	57	57	HrmA:57	0	57	1	0	shell	112	0.8421	1.0	57	88	24	169	0	0	360	360	0.858	0.0	2.605736758398119e-105	0.3373	0.0	2.8673728547714126e-32	1.3680117981590126e-104	1.5053707487549916e-31	1.0	1	0.0	0	L10
F13	CA2|CD8B963_008506-T1	HrmA	117	37	37	HrmA:37	0	37	1	0	shell	32	0.2406	1.0	37	0	132	169	0	0	360	360	0.2189	0.0	2.364451641609408e-20	0.2189	0.0	2.364451641609408e-20	7.093354924828223e-20	9.930696894759512e-20	1.0	1	0.0	0	L11
F14	730332_Guatemala|C45F23D_004938-T1	HrmA	124	36	36	HrmA:36	0	33	2	3	singleton	1	0.0075	1.0	1	0	168	169	32	0	328	360	0.0059	0.0889	5.829733686471321e-05	0.0059	0.0889	5.829733686471321e-05	0.0001288677972798	0.0001632325432211	1.0	1	1.09	2	L05
F15	B3314|CBC6125_000776-T1	HrmA	146	18	18	HrmA:18	0	18	1	0	singleton	0	0.0	1.0	0	0	169	169	18	0	342	360	0.0	0.05	0.0012833840390905	0.0	0.05	0.0012833840390905	0.002566768078181	0.0033688831026126	0.0	0	1.0	1	L13
F16	582-1_L_NEW_CPA0064|CF9574D_004546-T1	HrmA	120	17	17	HrmA:17	0	17	1	0	cloud	3	0.0226	1.0	3	0	166	169	14	0	346	360	0.0178	0.0389	0.2909174148114343	0.0178	0.0389	0.2909174148114343	0.4065990720054992	0.4626817026269474	1.0	1	1.0	1	L14
F17	B3353|C210CF2_008619-T1	HrmA	108	14	14	HrmA:14	0	14	1	0	singleton	0	0.0	1.0	0	0	169	169	14	0	346	360	0.0	0.0389	0.0067114997971401	0.0	0.0389	0.0067114997971401	0.0128128632490857	0.0165813524399933	0.0	0	1.0	1	L15
