label	family	in_pair_table
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	True
F02	578-1_L_NEW_CPA0049|C79DB71_000776-T1	False
F03	578-1_L_NEW_CPA0049|C79DB71_008063-T1	False
F04	GT-126|C8C79ED_001931-T1	False
F05	5SD|CCCC1E1_001005-T1	False
F06	5SD|CCCC1E1_003562-T1	False
F07	5SD|CCCC1E1_000191-T1	False
F08	GT-146|CDEB87D_007880-T1	True
F09	5SD|CCCC1E1_000093-T1	True
F10	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	False
F11	TX11|CEC36E2_008626-T1	False
F12	GT-126|C8C79ED_008251-T1	True
F13	CA2|CD8B963_008506-T1	True
F14	730332_Guatemala|C45F23D_004938-T1	False
F15	B3314|CBC6125_000776-T1	False
F16	582-1_L_NEW_CPA0064|CF9574D_004546-T1	False
F17	B3353|C210CF2_008619-T1	False
F18	B15142|CE5AC85_006064-T1	True
F19	B15146|CF83403_004486-T1	True
F20	B14298|C71D630_004309-T1	False
F21	B3417|C574D2D_005626-T1	False
F22	4545-MICE|CB4077B_003725-T1	False
F23	B3489|CCD713F_001533-T1	False
F24	GT-111|C5A2EA4_008657-T1	False
F25	UTAH_23742X195|C3F3A6B_006523-T1	False
F26	4M3|CB16A6A_002786-T1	True
F27	B11057|CCF9097_002456-T1	False
F28	B15146|CF83403_001699-T1	False
F29	B3348|C8D1221_008493-T1	False
F30	CA29|CCF2728_004905-T1	False
F31	COCSP-8945|C2B0656_003994-T1	False
F32	GT-118|C574A51_008475-T1	False
F33	RS|C3CED3A_008636-T1	False
F34	SDVA14|C979C11_006396-T1	False
F35	SDVA14|C979C11_007553-T1	False
F36	SJV_2|CEBEDBD_008473-T1	False
F37	S_675|CD889B5_008191-T1	False
F38	UTAH_23742X170|C9AA314_008204-T1	False
F39	M199|C82F880_004216-T1	False
F40	730332_Guatemala|C45F23D_000045-T1	False
F41	B3313|CDF0487_002293-T1	False
F42	730333_Guatemala|C537722_008849-T1	True
