label	family	n_genes	n_strains	median_dist_end_bp	frac_le20kb	frac_le50kb	median_contig_len	median_genes_to_contig_end	frac_nearest_end_telomeric	frac_on_contig_with_any_telomere
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	11	11	13468	1.0	1.0	39170	6.0	0.0	0.0
F02	578-1_L_NEW_CPA0049|C79DB71_000776-T1	354	354	29569	0.444	0.729	120508	10.0	0.0	0.0
F03	578-1_L_NEW_CPA0049|C79DB71_008063-T1	343	343	42379	0.306	0.574	165293	11.0	0.0	0.0
F04	GT-126|C8C79ED_001931-T1	231	162	20762	0.481	0.667	111059	3.0	0.0	0.0
F05	5SD|CCCC1E1_001005-T1	191	190	36181	0.335	0.859	125904	7.0	0.0	0.0
F06	5SD|CCCC1E1_003562-T1	167	167	50492	0.24	0.491	126585	10.0	0.0	0.0
F07	5SD|CCCC1E1_000191-T1	165	165	47590	0.327	0.515	167011	17.0	0.0	0.0
F08	GT-146|CDEB87D_007880-T1	135	135	17931	0.548	0.763	97005	4.0	0.0	0.0
F09	5SD|CCCC1E1_000093-T1	114	114	50132	0.316	0.474	155069	10.0	0.0	0.0
F10	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	109	109	13913	0.633	0.982	52335	0.0	0.0	0.0
F11	TX11|CEC36E2_008626-T1	102	102	34368	0.324	0.716	98124	1.0	0.01	0.01
F12	GT-126|C8C79ED_008251-T1	57	57	12358	0.825	0.912	32149	0.0	0.0	0.0
F13	CA2|CD8B963_008506-T1	37	37	5787	1.0	1.0	18417	0.0	0.0	0.0
F14	730332_Guatemala|C45F23D_004938-T1	36	33	15073	0.528	0.944	71216	0.0	0.0	0.0
F15	B3314|CBC6125_000776-T1	18	18	35160	0.111	0.556	249391	17.0	0.0	0.0
F16	582-1_L_NEW_CPA0064|CF9574D_004546-T1	17	17	30809	0.294	0.706	214888	0.0	0.0	0.0
F17	B3353|C210CF2_008619-T1	14	14	9070	1.0	1.0	26013	0.0	0.0	0.0
F18	B15142|CE5AC85_006064-T1	13	13	19553	0.538	0.923	100982	5.0	0.0	0.0
F19	B15146|CF83403_004486-T1	12	12	18408	0.5	0.75	86510	6.5	0.0	0.0
F20	B14298|C71D630_004309-T1	3	3	85487	0.0	0.333	189941	34.0	0.0	0.0
F21	B3417|C574D2D_005626-T1	3	3	21059	0.0	1.0	172770	0.0	0.0	0.0
F22	4545-MICE|CB4077B_003725-T1	2	2	30114	0.0	1.0	133929	12.0	0.0	0.0
F23	B3489|CCD713F_001533-T1	2	2	134820	0.0	0.0	432944	45.5	0.0	0.0
F24	GT-111|C5A2EA4_008657-T1	2	2	403	1.0	1.0	5039	0.0	0.0	0.0
F25	UTAH_23742X195|C3F3A6B_006523-T1	2	2	67201	0.0	0.5	406621	23.5	0.0	0.0
F26	4M3|CB16A6A_002786-T1	1	1	11857	1.0	1.0	55818	0.0	0.0	0.0
F27	B11057|CCF9097_002456-T1	1	1	36184	0.0	1.0	124583	8.0	0.0	0.0
F28	B15146|CF83403_001699-T1	1	1	85278	0.0	0.0	203201	33.0	0.0	0.0
F29	B3348|C8D1221_008493-T1	1	1	1147	1.0	1.0	14319	0.0	0.0	0.0
F30	CA29|CCF2728_004905-T1	1	1	16351	1.0	1.0	164068	5.0	0.0	0.0
F31	COCSP-8945|C2B0656_003994-T1	1	1	27587	0.0	1.0	206126	3.0	0.0	0.0
F32	GT-118|C574A51_008475-T1	1	1	943	1.0	1.0	15653	0.0	0.0	0.0
F33	RS|C3CED3A_008636-T1	1	1	1515	1.0	1.0	16566	0.0	0.0	0.0
F34	SDVA14|C979C11_006396-T1	1	1	39707	0.0	1.0	124085	5.0	0.0	0.0
F35	SDVA14|C979C11_007553-T1	1	1	11241	1.0	1.0	70962	3.0	0.0	0.0
F36	SJV_2|CEBEDBD_008473-T1	1	1	17972	1.0	1.0	49813	3.0	0.0	0.0
F37	S_675|CD889B5_008191-T1	1	1	21	1.0	1.0	7036	0.0	0.0	0.0
F38	UTAH_23742X170|C9AA314_008204-T1	1	1	238	1.0	1.0	21331	0.0	0.0	0.0
F39	M199|C82F880_004216-T1	7	7	10388	0.571	0.571	137645	3.0	0.0	0.0
F40	730332_Guatemala|C45F23D_000045-T1	3	3	20758	0.333	1.0	52409	1.0	0.0	0.0
F41	B3313|CDF0487_002293-T1	3	3	71091	0.0	0.333	241253	26.0	0.0	0.0
F42	730333_Guatemala|C537722_008849-T1	2	2	75	1.0	1.0	2733	0.0	0.0	0.0
