set	n	median_dist_end	frac_le20kb	frac_le50kb	median_contig_len	frac_contig_lt100kb
all_genes	4504703	29370.0	0.4007	0.6504	152922.0	0.3567
bin_core	3160869	31086.0	0.3811	0.6387	158655.0	0.3413
bin_soft_core	178398	25953.0	0.4326	0.675	141017.0	0.3866
bin_shell	530245	24017.0	0.4572	0.6868	136585.0	0.3991
bin_cloud	161491	19610.0	0.5045	0.7149	120301.0	0.448
bin_singleton	473700	27918.0	0.421	0.6568	149422.0	0.37
HrmA_hit_genes_all	2168	27519.0	0.4193	0.6914	118100.0	0.4271
HrmA_hit_HrmA	2142	27647.5	0.416	0.69	119048.0	0.4248
HrmA_hit_HrmA_N	13	21795.0	0.3846	0.6154	137645.0	0.3846
HrmA_hit_HrmA_middle	13	9819.0	1.0	1.0	35987.0	0.8462
