locus	families	n_markers	markers	Ci_occupied	Ci_empty_site	Ci_unresolved	Ci_no_marker	Ci_empty_site+rescue	Ci_unresolved+rescue	Ci_no_marker+rescue	Cp_occupied	Cp_empty_site	Cp_unresolved	Cp_no_marker	Cp_empty_site+rescue	Cp_unresolved+rescue	Cp_no_marker+rescue	Ci_occ_frac_resolved	Cp_occ_frac_resolved	fisher_p_resolved	bh_q_resolved
L01	F02,F25	6	578-1_L_NEW_CPA0049|C79DB71_000779-T1,578-1_L_NEW_CPA0049|C79DB71_000772-T1,578-1_L_NEW_CPA0049|C79DB71_000773-T1,578-1_L_NEW_CPA0049|C79DB71_000771-T1,5SD|CCCC1E1_007453-T1,578-1_L_NEW_CPA0049|C79DB71_000784-T1	1	88	79	1	0	0	0	351	1	7	1	0	0	0	0.011	0.997	3.180688058388767e-91	8.905926563488548e-91
L02	F03,F23,F35	6	B14135|CD69CCA_003448-T1,578-1_L_NEW_CPA0049|C79DB71_008056-T1,GT-127|C90F574_002416-T1,578-1_L_NEW_CPA0049|C79DB71_008057-T1,5SD|CCCC1E1_001707-T1,578-1_L_NEW_CPA0049|C79DB71_008053-T1	1	112	55	1	0	0	0	344	8	6	2	0	0	0	0.009	0.977	6.967880914840141e-97	3.2516777602587327e-96
L03	F05,F11,F27,F37	6	578-1_L_NEW_CPA0049|C79DB71_007393-T1,Phoenix_1|CDD70D4_007821-T1,578-1_L_NEW_CPA0049|C79DB71_007391-T1,574-0_S_OLD_CPA0039|C27CBD2_007882-T1,578-1_L_NEW_CPA0049|C79DB71_007395-T1,B3291|CE923C2_002789-T1	169	0	0	0	0	0	0	124	3	120	1	1	111	0	1.0	0.976	0.07791538511877495	0.10908153916628494
L04	F04,F24	6	SJV_5|C41EE07_000116-T1,B11035|C5FC1D8_003742-T1,578-1_L_NEW_CPA0049|C79DB71_000599-T1,B3335|C104461_002169-T1,578-1_L_NEW_CPA0049|C79DB71_000593-T1,578-1_L_NEW_CPA0049|C79DB71_000595-T1	146	13	10	0	0	0	0	0	294	64	2	0	0	0	0.918	0.0	2.170721662529189e-104	1.5195051637704324e-103
L05	F06,F14,F21,F32,F34	6	4SD|C8AA998_007437-T1,5SD|CCCC1E1_003560-T1,SJV_2|CEBEDBD_006543-T1,578-1_L_NEW_CPA0049|C79DB71_007642-T1,B11080|C6468CC_000418-T1,UTAH_23742X144|CA87B61_004067-T1	169	0	0	0	0	0	0	33	19	305	1	2	0	0	1.0	0.635	5.893006991387596e-14	1.1786013982775192e-13
L06	F07,F20,F28	6	5SD|CCCC1E1_000190-T1,578-1_L_NEW_CPA0049|C79DB71_005567-T1,578-1_L_NEW_CPA0049|C79DB71_005569-T1,5SD|CCCC1E1_000193-T1,5SD|CCCC1E1_000195-T1,578-1_L_NEW_CPA0049|C79DB71_005570-T1	169	0	0	0	0	0	0	0	269	89	2	0	0	0	1.0	0.0	3.614052283836152e-126	5.059673197370613e-125
L07	F08,F18,F19,F30,F36	6	Beeville|C6949CF_003418-T1,578-1_L_NEW_CPA0049|C79DB71_007033-T1,B3353|C210CF2_002931-T1,Michoacan_2|C26AA88_004336-T1,578-1_L_NEW_CPA0049|C79DB71_007037-T1,578-1_L_NEW_CPA0049|C79DB71_007039-T1	159	3	7	0	0	0	0	3	196	158	3	0	0	0	0.981	0.015	3.035197358367259e-95	1.0623190754285406e-94
L08	F09	6	578-1_L_NEW_CPA0049|C79DB71_006452-T1,578-1_L_NEW_CPA0049|C79DB71_006453-T1,578-1_L_NEW_CPA0049|C79DB71_006454-T1,Phoenix_1|CDD70D4_008582-T1,578-1_L_NEW_CPA0049|C79DB71_006450-T1,578-1_L_NEW_CPA0049|C79DB71_006451-T1	7	118	43	1	0	0	0	63	59	237	1	0	0	0	0.056	0.516	8.550025660400203e-17	1.995005987426714e-16
L09	F10	0		0	0	0	169	0	0	0	0	0	0	360	0	0	0				
L10	F12	0		0	0	0	169	0	0	0	0	0	0	360	0	0	0				
L11	F13	1	574-0_S_OLD_CPA0039|C27CBD2_008340-T1	33	7	129	0	0	0	0	0	27	136	197	0	0	0	0.825	0.0	1.5802837822848189e-12	2.765496618998433e-12
L12	F01	0		0	0	0	169	0	0	0	0	0	0	360	0	0	0				
L13	F15,F22	6	578-1_L_NEW_CPA0049|C79DB71_007160-T1,578-1_L_NEW_CPA0049|C79DB71_007163-T1,578-1_L_NEW_CPA0049|C79DB71_007164-T1,COCPO_175714|C2600DC_006763-T1,578-1_L_NEW_CPA0049|C79DB71_007165-T1,578-1_L_NEW_CPA0049|C79DB71_000002-T1	0	113	56	0	0	0	0	21	123	89	3	65	59	0	0.0	0.146	2.948893006202086e-06	4.587166898536578e-06
L14	F16	1	B11300|C7C73A6_000641-T1	3	35	131	0	0	0	0	15	89	238	18	0	0	0	0.079	0.144	0.39961505382724183	0.5086009775983078
L15	F17	0		0	0	0	169	0	0	0	0	0	0	360	0	0	0				
L16	F39	1	409B-0_L_OLD_CPA0011|C90261E_008448-T1	2	0	3	164	0	0	0	9	3	38	302	3	5	0	1.0	0.75	1.0	1.0
L17	F40	0		0	0	0	169	0	0	0	0	0	0	360	0	0	0				
L18	F41	1	578-1_L_NEW_CPA0049|C79DB71_003104-T1	0	50	117	2	0	0	0	2	109	246	2	0	1	0	0.0	0.018	1.0	1.0
L19	F42	0		0	0	0	169	0	0	0	0	0	0	360	0	0	0				
L20	F26	1	5SD|CCCC1E1_000835-T1	1	0	165	3	0	0	0	0	0	29	331	0	0	0	1.0			
L21	F29	0		0	0	0	169	0	0	0	0	0	0	360	0	0	0				
L22	F31	6	578-1_A_NEW_CPA0048|CD3293D_003438-T1,578-1_L_NEW_CPA0049|C79DB71_001004-T1,578-1_L_NEW_CPA0049|C79DB71_008156-T1,578-1_L_NEW_CPA0049|C79DB71_008157-T1,578-1_L_NEW_CPA0049|C79DB71_008158-T1,578-1_L_NEW_CPA0049|C79DB71_008159-T1	1	67	101	0	0	0	0	1	100	257	2	0	0	0	0.015	0.01	1.0	1.0
L23	F33	0		0	0	0	169	0	0	0	0	0	0	360	0	0	0				
L24	F38	0		0	0	0	169	0	0	0	0	0	0	360	0	0	0				
