label	anchor	species	n_contigs	offset	member	family	family_label	bin	pfam	hrmA_models	product
F01	CA25|C4385CC_008418-T1	Ci	352	-3	CA25|C4385CC_008415-T1	B1249_Guatemala|C40D72F_008025-T1		cloud	Zn_clus		hypothetical protein
F01	CA25|C4385CC_008418-T1	Ci	352	-2	CA25|C4385CC_008416-T1	GT-139|CB29A3D_006564-T1		shell			hypothetical protein
F01	CA25|C4385CC_008418-T1	Ci	352	-1	CA25|C4385CC_008417-T1	578-1_L_NEW_CPA0049|C79DB71_000424-T1		shell			hypothetical protein
F01	CA25|C4385CC_008418-T1	Ci	352	0	CA25|C4385CC_008418-T1	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	F01	cloud		HrmA_middle	hypothetical protein
F01	CA25|C4385CC_008418-T1	Ci	352	1	CA25|C4385CC_008419-T1	B15146|CF83403_008585-T1		cloud			hypothetical protein
F01	CA25|C4385CC_008418-T1	Ci	352	2	CA25|C4385CC_008420-T1	CA17|C6A2BBC_006283-T1		cloud	Pkinase,Pkinase_fungal		hypothetical protein
F01	CA25|C4385CC_008418-T1	Ci	352	3	CA25|C4385CC_008421-T1	CA17|C6A2BBC_006284-T1		cloud			hypothetical protein
F01	CA25|C4385CC_008418-T1	Ci	352	4	CA25|C4385CC_008422-T1	B12400|C21A9A5_002616-T1		shell			hypothetical protein
F01	CA25|C4385CC_008418-T1	Ci	352	5	CA25|C4385CC_008423-T1	578-1_L_NEW_CPA0049|C79DB71_000433-T1		shell	PK_Tyr_Ser-Thr,Pkinase		hypothetical protein
F01	CA25|C4385CC_008418-T1	Ci	352	6	CA25|C4385CC_008424-T1	578-1_L_NEW_CPA0049|C79DB71_000434-T1		shell			hypothetical protein
F01	CA25|C4385CC_008418-T1	Ci	352	7	CA25|C4385CC_008425-T1	B15146|CF83403_008475-T1		shell			hypothetical protein
F01	CA25|C4385CC_008418-T1	Ci	352	8	CA25|C4385CC_008426-T1	FMC233|C6DECAF_000481-T1		shell	BTB		hypothetical protein
F01	CA25|C4385CC_008418-T1	Ci	352	9	CA25|C4385CC_008427-T1	UTAH_23742X31|CE58396_008342-T1		cloud			hypothetical protein
F01	CA25|C4385CC_008418-T1	Ci	352	10	CA25|C4385CC_008428-T1	578-1_L_NEW_CPA0049_alt|C8EFFFA_008684-T1		singleton	Glyco_tranf_2_3		hypothetical protein
F01	SDVA3|CB7B8F1_008611-T1	Ci	374	-1	SDVA3|CB7B8F1_008610-T1	SDVA3|CB7B8F1_008610-T1		cloud	Pkinase_fungal		hypothetical protein
F01	SDVA3|CB7B8F1_008611-T1	Ci	374	0	SDVA3|CB7B8F1_008611-T1	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	F01	cloud		HrmA_middle	hypothetical protein
F01	SDVA3|CB7B8F1_008611-T1	Ci	374	1	SDVA3|CB7B8F1_008612-T1	578-1_L_NEW_CPA0049|C79DB71_000424-T1		shell			hypothetical protein
F01	SDVA3|CB7B8F1_008611-T1	Ci	374	2	SDVA3|CB7B8F1_008613-T1	GT-139|CB29A3D_006564-T1		shell			hypothetical protein
F01	SDVA3|CB7B8F1_008611-T1	Ci	374	3	SDVA3|CB7B8F1_008614-T1	B1249_Guatemala|C40D72F_008025-T1		cloud	Zn_clus		hypothetical protein
F01	SDVA3|CB7B8F1_008611-T1	Ci	374	4	SDVA3|CB7B8F1_008615-T1	CA17|C6A2BBC_006277-T1		cloud	AFUB_07903_YDR124W_hel		hypothetical protein
F01	SDVA3|CB7B8F1_008611-T1	Ci	374	5	SDVA3|CB7B8F1_008616-T1	M222|CDCA80C_007254-T1		cloud			hypothetical protein
F01	SDVA3|CB7B8F1_008611-T1	Ci	374	6	SDVA3|CB7B8F1_008617-T1	CA17|C6A2BBC_006275-T1		cloud	ABC_tran		hypothetical protein
F01	M222|CDCA80C_007900-T1	Cp	199	-9	M222|CDCA80C_007891-T1	730332_Guatemala|C45F23D_007159-T1		cloud	DUF3723		hypothetical protein
F01	M222|CDCA80C_007900-T1	Cp	199	-8	M222|CDCA80C_007892-T1	407-0_S_OLD_CPA0002|C577643_006949-T1		cloud			hypothetical protein
F01	M222|CDCA80C_007900-T1	Cp	199	-7	M222|CDCA80C_007893-T1	FMC233|C6DECAF_000481-T1		shell	BTB		hypothetical protein
F01	M222|CDCA80C_007900-T1	Cp	199	-6	M222|CDCA80C_007894-T1	B15146|CF83403_008475-T1		shell			hypothetical protein
F01	M222|CDCA80C_007900-T1	Cp	199	-5	M222|CDCA80C_007895-T1	578-1_L_NEW_CPA0049|C79DB71_000434-T1		shell			hypothetical protein
F01	M222|CDCA80C_007900-T1	Cp	199	-4	M222|CDCA80C_007896-T1	578-1_L_NEW_CPA0049|C79DB71_000433-T1		shell	PK_Tyr_Ser-Thr,Pkinase		hypothetical protein
