label	family	island_n_strains	example_strain	island_size	n_supporting_pairs	classifications	locus_id	locus_contig	locus_start	locus_end	pfam_domains
F41	B3313|CDF0487_002293-T1	1	B3313	74	3	ambiguous_linkage	B3313:scaffold_18:154755-264929	scaffold_18	154755	264929	AAA,AAA_29,ABC_tran,BCS1_N,DUF3723,DUF7924,F-box,F-box-like,FAD_binding_8,FKBP_C,HlyIII,NAD_binding_6,PK_Tyr_Ser-Thr,Patatin,Pkinase,RasGEF,RsgA_GTPase
F41	B3313|CDF0487_002293-T1	1	B3348	74	3	ambiguous_linkage	B3348:scaffold_36:107707-221564	scaffold_36	107707	221564	AAA,BCS1_N,DUF3723,DUF7924,F-box,F-box-like,FAD_binding_8,FKBP_C,Ferric_reduct,HlyIII,NAD_binding_6,PK_Tyr_Ser-Thr,Patatin,Pkinase,RasGEF
F41	B3313|CDF0487_002293-T1	1	UTAH_23742X246	68	6	ambiguous_linkage,unexplained_physical	UTAH_23742X246:scaffold_44:15543-118788	scaffold_44	15543	118788	AAA,BCS1_N,DUF3723,DUF7924,F-box,F-box-like,FAD_binding_8,FKBP_C,Ferric_reduct,HlyIII,NAD_binding_6,PK_Tyr_Ser-Thr,Patatin,Pkinase,RasGEF
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	1	M222	63	85	ambiguous_linkage,unexplained_physical	-	-	-	-	ABC_membrane,ABC_tran,APH,BTB,Choline_kinase,Chromo,DUF3435,DUF3723,DUF6540,EcKL,Glyco_tranf_2_3,NAD_binding_6,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,RsgA_GTPase,SPOK2_N,Zn_clus
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	1	M214	57	143	ambiguous_linkage,unexplained_physical	M214:scaffold_70:25153-124557	scaffold_70	25153	124557	AAA_29,ABC_membrane,ABC_tran,APH,BTB,Chromo,DUF3435,DUF7924,Glyco_tranf_2_3,Glycos_transf_2,HlyIII,HrmA_middle,Laminin_I,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,RsgA_GTPase,SMC_N,SPOK2_N,Shootin,Zn_clus,zf-BED,zf-C2H2,zf-C2H2_11,zf-C2H2_4
F42	730333_Guatemala|C537722_008849-T1	1	M214	57	143	ambiguous_linkage,unexplained_physical	M214:scaffold_70:25153-124557	scaffold_70	25153	124557	AAA_29,ABC_membrane,ABC_tran,APH,BTB,Chromo,DUF3435,DUF7924,Glyco_tranf_2_3,Glycos_transf_2,HlyIII,HrmA_middle,Laminin_I,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,RsgA_GTPase,SMC_N,SPOK2_N,Shootin,Zn_clus,zf-BED,zf-C2H2,zf-C2H2_11,zf-C2H2_4
F42	730333_Guatemala|C537722_008849-T1	1	UTAH_23742X199	52	99	ambiguous_linkage,unexplained_physical	UTAH_23742X199:scaffold_9:183622-311988	scaffold_9	183622	311988	APH,BTB,BTB_2,Chromo,DUF3435,DUF3723,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP
F42	730333_Guatemala|C537722_008849-T1	1	Tucson_16	49	57	ambiguous_linkage,unexplained_physical	Tucson_16:scaffold_75:565-103792	scaffold_75	565	103792	Alpha_kinase,DUF3435,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,SPOK2_N,Trypan_PARP
F42	730333_Guatemala|C537722_008849-T1	1	CA6	48	422	ambiguous_linkage,unexplained_physical	CA6:scaffold_66:4391-138596	scaffold_66	4391	138596	AFUB_07903_YDR124W_hel,APH,Alpha_kinase,BTB,BTB_2,DUF3435,DUF3723,DUF6540,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	FMC234	47	90	ambiguous_linkage,unexplained_physical	FMC234:scaffold_14:58910-187183	scaffold_14	58910	187183	APH,BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	UTAH_23742X242	47	428	ambiguous_linkage,unexplained_physical	UTAH_23742X242:scaffold_3:189402-366695	scaffold_3	189402	366695	AFUB_07903_YDR124W_hel,APH,Alpha_kinase,BTB,BTB_2,DUF3435,DUF3723,DUF3723_N,DUF6540,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	B11343	46	399	ambiguous_linkage,unexplained_physical	B11343:scaffold_6:15599-221204	scaffold_6	15599	221204	AFUB_07903_YDR124W_hel,APH,Alpha_kinase,BTB,BTB_2,DUF3435,DUF3723,DUF6540,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	1	B3409	44	58	ambiguous_linkage,unexplained_physical	B3409:scaffold_10:188001-277652	scaffold_10	188001	277652	APH,Alpha_kinase,BTB,BTB_2,Chromo,DUF3723,DUF3723_N,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP
