label	anchor_family	neighbour_family	frac_anchors	n_anchors	median_offset	bin	strain_count_Ci	pfam
F22	4545-MICE|CB4077B_003725-T1	578-1_L_NEW_CPA0049|C79DB71_000005-T1	1.0	2	0.0	core	133	HSP70,MreB_Mbl
F22	4545-MICE|CB4077B_003725-T1	578-1_L_NEW_CPA0049|C79DB71_000003-T1	1.0	2	0.0	core	131	Glyoxalase
F22	4545-MICE|CB4077B_003725-T1	COCPO_175714|C2600DC_006763-T1	1.0	2	0.0	core	133	
F22	4545-MICE|CB4077B_003725-T1	578-1_L_NEW_CPA0049|C79DB71_007160-T1	1.0	2	0.0	core	133	APG12,ATG8
F22	4545-MICE|CB4077B_003725-T1	M191|C1F3852_004709-T1	1.0	2	0.0	cloud	9	
F22	4545-MICE|CB4077B_003725-T1	578-1_L_NEW_CPA0049|C79DB71_000002-T1	1.0	2	0.0	core	133	Sft1-BET1
F22	4545-MICE|CB4077B_003725-T1	WA31|C87A2FA_006845-T1	1.0	2	0.0	core	133	PS_Dcarbxylase
F22	4545-MICE|CB4077B_003725-T1	578-1_L_NEW_CPA0049|C79DB71_000006-T1	1.0	2	0.0	core	129	ARB_05178
F26	4M3|CB16A6A_002786-T1	5SD|CCCC1E1_006841-T1	1.0	1	-1.0	shell	114	APH
F26	4M3|CB16A6A_002786-T1	CA27|C176CCC_008577-T1	1.0	1	-2.0	shell	43	APH
F26	4M3|CB16A6A_002786-T1	5SD|CCCC1E1_000835-T1	1.0	1	-3.0	core	131	
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	578-1_L_NEW_CPA0049|C79DB71_000424-T1	1.0	11	1.0	shell	23	
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B1249_Guatemala|C40D72F_008025-T1	1.0	11	3.0	cloud	8	Zn_clus
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	GT-139|CB29A3D_006564-T1	0.909	10	0.0	shell	24	
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006283-T1	0.727	8	0.0	cloud	5	Pkinase,Pkinase_fungal
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006284-T1	0.727	8	0.0	cloud	6	
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	578-1_L_NEW_CPA0049|C79DB71_000433-T1	0.727	8	0.0	shell	23	PK_Tyr_Ser-Thr,Pkinase
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	578-1_L_NEW_CPA0049|C79DB71_000434-T1	0.636	7	-4.0	shell	22	
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_008475-T1	0.636	7	-5.0	shell	22	
F10	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	574-0_S_OLD_CPA0039|C27CBD2_008387-T1	0.982	107	1.0	singleton	0	APH
F10	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	578-1_L_NEW_CPA0049|C79DB71_007075-T1	0.22	24	-3.5	core	129	F420_oxidored,NAD_binding_11,NAD_binding_2
F10	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	B11517|C06DA8C_001974-T1	0.22	24	-8.5	core	128	T6SS_Tle1-like_cat
F10	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	409B-0_L_OLD_CPA0011|C90261E_007649-T1	0.22	24	-4.5	core	129	Beta-prop_RSE1_1st,Beta-prop_RSE1_2nd,CPSF_A
F10	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	578-1_L_NEW_CPA0049|C79DB71_007072-T1	0.22	24	-6.5	core	129	PGA2
F10	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	B13534|C8E24F7_001507-T1	0.22	24	-7.5	core	129	
F10	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	B3301|C251A4F_000235-T1	0.22	24	-5.5	core	129	CENP-S
F10	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	M195|C2FDFE7_006018-T1	0.193	21	-1.0	singleton	0	
F02	578-1_L_NEW_CPA0049|C79DB71_000776-T1	578-1_L_NEW_CPA0049|C79DB71_000779-T1	0.96	340	2.0	core	132	AA_permease,AA_permease_2
F02	578-1_L_NEW_CPA0049|C79DB71_000776-T1	Beeville|C6949CF_002794-T1	0.927	328	1.0	shell	118	APH
F02	578-1_L_NEW_CPA0049|C79DB71_000776-T1	578-1_L_NEW_CPA0049|C79DB71_000772-T1	0.864	306	4.0	core	132	Mtf2
F02	578-1_L_NEW_CPA0049|C79DB71_000776-T1	578-1_L_NEW_CPA0049|C79DB71_000773-T1	0.864	306	3.0	core	132	COQ9
F02	578-1_L_NEW_CPA0049|C79DB71_000776-T1	578-1_L_NEW_CPA0049|C79DB71_000771-T1	0.862	305	5.0	core	132	WD40
F02	578-1_L_NEW_CPA0049|C79DB71_000776-T1	B11058|C2FAE97_004394-T1	0.819	290	-2.0	singleton	0	DUF3435
F02	578-1_L_NEW_CPA0049|C79DB71_000776-T1	5SD|CCCC1E1_007453-T1	0.811	287	4.0	core	130	
F02	578-1_L_NEW_CPA0049|C79DB71_000776-T1	578-1_L_NEW_CPA0049|C79DB71_000784-T1	0.797	282	6.0	core	132	FmdA_AmdA
F03	578-1_L_NEW_CPA0049|C79DB71_008063-T1	B14135|CD69CCA_003448-T1	0.994	341	-1.0	core	130	APH
F03	578-1_L_NEW_CPA0049|C79DB71_008063-T1	578-1_L_NEW_CPA0049|C79DB71_008059-T1	0.974	334	-3.0	singleton	0	
F03	578-1_L_NEW_CPA0049|C79DB71_008063-T1	578-1_L_NEW_CPA0049|C79DB71_008058-T1	0.968	332	-4.0	singleton	0	
F03	578-1_L_NEW_CPA0049|C79DB71_008063-T1	578-1_L_NEW_CPA0049|C79DB71_008056-T1	0.953	327	-6.0	core	131	HhH-GPD,OGG_N
F03	578-1_L_NEW_CPA0049|C79DB71_008063-T1	GT-127|C90F574_002416-T1	0.953	327	-7.0	core	132	RRM_1,RRM_MUD2_C
F03	578-1_L_NEW_CPA0049|C79DB71_008063-T1	578-1_L_NEW_CPA0049|C79DB71_008057-T1	0.936	321	-5.0	core	132	SET
F03	578-1_L_NEW_CPA0049|C79DB71_008063-T1	5SD|CCCC1E1_001707-T1	0.93	319	-8.0	core	130	7tm_2
F03	578-1_L_NEW_CPA0049|C79DB71_008063-T1	578-1_L_NEW_CPA0049|C79DB71_008053-T1	0.79	271	-9.0	core	132	
F16	582-1_L_NEW_CPA0064|CF9574D_004546-T1	B11300|C7C73A6_000641-T1	1.0	17	1.0	core	133	APH
F16	582-1_L_NEW_CPA0064|CF9574D_004546-T1	578-1_L_NEW_CPA0049|C79DB71_000217-T1	0.412	7	-6.0	core	133	Nop52
F16	582-1_L_NEW_CPA0064|CF9574D_004546-T1	574-0_S_OLD_CPA0039|C27CBD2_008006-T1	0.412	7	-4.0	core	133	DUF1604,G-patch,HTH_TGH
F16	582-1_L_NEW_CPA0064|CF9574D_004546-T1	578-1_L_NEW_CPA0049|C79DB71_000215-T1	0.412	7	-8.0	core	133	Adaptin_N,Cnd1,Coatamer_beta_C,Coatomer_b_Cpla
F16	582-1_L_NEW_CPA0064|CF9574D_004546-T1	5SD|CCCC1E1_004845-T1	0.412	7	-10.0	core	133	Vac_ImportDeg
F16	582-1_L_NEW_CPA0064|CF9574D_004546-T1	578-1_L_NEW_CPA0049|C79DB71_008449-T1	0.412	7	-2.0	core	132	Pre-SET,SET
F16	582-1_L_NEW_CPA0064|CF9574D_004546-T1	578-1_L_NEW_CPA0049|C79DB71_000216-T1	0.412	7	-7.0	core	133	DAGK_cat,DUF7493,YegS_C
F16	582-1_L_NEW_CPA0064|CF9574D_004546-T1	578-1_L_NEW_CPA0049|C79DB71_000218-T1	0.412	7	-5.0	core	133	UBD
F09	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000094-T1	0.991	113	1.0	cloud	10	APH
F09	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000100-T1	0.93	106	7.0	cloud	7	
F09	5SD|CCCC1E1_000093-T1	B11199|C018C7F_000327-T1	0.921	105	4.0	cloud	7	
F09	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000095-T1	0.886	101	2.0	cloud	7	
F09	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000098-T1	0.877	100	5.0	cloud	2	
F09	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000099-T1	0.86	98	6.0	cloud	2	
F09	5SD|CCCC1E1_000093-T1	730332_Guatemala|C45F23D_000065-T1	0.851	97	8.0	singleton	1	ABC_membrane,ABC_tran,Glyco_tranf_2_3,Glycos_transf_2
F09	5SD|CCCC1E1_000093-T1	UTAH_23742X165|CD81EC9_006004-T1	0.746	85	9.0	cloud	6	PK_Tyr_Ser-Thr,Pkinase
F07	5SD|CCCC1E1_000191-T1	5SD|CCCC1E1_000190-T1	0.994	164	-1.0	core	133	
F07	5SD|CCCC1E1_000191-T1	5SD|CCCC1E1_000195-T1	0.982	162	4.0	core	133	ApoO
F07	5SD|CCCC1E1_000191-T1	5SD|CCCC1E1_000193-T1	0.982	162	2.0	core	133	
F07	5SD|CCCC1E1_000191-T1	578-1_L_NEW_CPA0049|C79DB71_005569-T1	0.982	162	5.0	core	133	GRASP55_65
F07	5SD|CCCC1E1_000191-T1	578-1_L_NEW_CPA0049|C79DB71_005567-T1	0.982	162	3.0	core	133	Peptidase_M3
F07	5SD|CCCC1E1_000191-T1	578-1_L_NEW_CPA0049|C79DB71_005570-T1	0.97	160	6.0	core	133	Cons_hypoth95,Methyltransf_15,Methyltransf_37,TRM5-TYW2_MTfase,UPF0020
F07	5SD|CCCC1E1_000191-T1	578-1_L_NEW_CPA0049|C79DB71_005562-T1	0.939	155	-6.0	core	133	
F07	5SD|CCCC1E1_000191-T1	578-1_L_NEW_CPA0049|C79DB71_005561-T1	0.939	155	-7.0	core	133	Pr_beta_C,Proteasome
F05	5SD|CCCC1E1_001005-T1	578-1_L_NEW_CPA0049|C79DB71_007393-T1	1.0	191	-2.0	core	133	Methyltransf_23,Methyltransf_25
F05	5SD|CCCC1E1_001005-T1	Phoenix_1|CDD70D4_007821-T1	1.0	191	-1.0	core	133	p450
F05	5SD|CCCC1E1_001005-T1	578-1_L_NEW_CPA0049|C79DB71_007391-T1	0.984	188	-4.0	core	133	MBOAT_2
F05	5SD|CCCC1E1_001005-T1	574-0_S_OLD_CPA0039|C27CBD2_007882-T1	0.979	187	-3.0	core	132	Abhydrolase_6,Thioesterase
F05	5SD|CCCC1E1_001005-T1	578-1_L_NEW_CPA0049|C79DB71_007395-T1	0.974	186	1.0	core	130	APH
F05	5SD|CCCC1E1_001005-T1	B3291|CE923C2_002789-T1	0.963	184	-5.0	core	128	p450
F05	5SD|CCCC1E1_001005-T1	B3344|C50AAF5_002296-T1	0.937	179	-5.0	core	130	
F05	5SD|CCCC1E1_001005-T1	5SD|CCCC1E1_000998-T1	0.838	160	-7.0	core	132	
F06	5SD|CCCC1E1_003562-T1	4SD|C8AA998_007437-T1	1.0	167	-1.0	core	133	APH
F06	5SD|CCCC1E1_003562-T1	5SD|CCCC1E1_003560-T1	0.952	159	-2.0	core	133	
F06	5SD|CCCC1E1_003562-T1	SJV_2|CEBEDBD_006543-T1	0.868	145	-3.0	soft_core	126	BTB,BTB_2
F06	5SD|CCCC1E1_003562-T1	578-1_L_NEW_CPA0049|C79DB71_007642-T1	0.838	140	1.0	core	133	
F06	5SD|CCCC1E1_003562-T1	B11080|C6468CC_000418-T1	0.838	140	3.0	core	133	Far-17a_AIG1
F06	5SD|CCCC1E1_003562-T1	UTAH_23742X144|CA87B61_004067-T1	0.838	140	2.0	core	133	Pam17
F06	5SD|CCCC1E1_003562-T1	B15369|C717ABB_007735-T1	0.832	139	5.0	core	133	Fungal_trans_2,Zn_clus
F06	5SD|CCCC1E1_003562-T1	GT-131|C0FAE91_002525-T1	0.826	138	4.0	core	131	DUF3602
F40	730332_Guatemala|C45F23D_000045-T1	B0858-Guatemala|CBD0EE9_000072-T1	1.0	3	-4.0	singleton	0	
F40	730332_Guatemala|C45F23D_000045-T1	730332_Guatemala|C45F23D_000046-T1	1.0	3	1.0	singleton	0	
F40	730332_Guatemala|C45F23D_000045-T1	730332_Guatemala|C45F23D_000043-T1	1.0	3	-2.0	singleton	0	AAA,DUF7025
F40	730332_Guatemala|C45F23D_000045-T1	730333_Guatemala|C537722_002980-T1	0.667	2	-3.0	singleton	0	APH,Kdo,Pkinase
F40	730332_Guatemala|C45F23D_000045-T1	730332_Guatemala|C45F23D_000035-T1	0.667	2	-1.0	cloud	4	
F40	730332_Guatemala|C45F23D_000045-T1	730332_Guatemala|C45F23D_000037-T1	0.667	2	-1.0	singleton	0	
F40	730332_Guatemala|C45F23D_000045-T1	730333_Guatemala|C537722_002982-T1	0.667	2	-1.0	singleton	0	
F40	730332_Guatemala|C45F23D_000045-T1	730332_Guatemala|C45F23D_000036-T1	0.667	2	-1.0	singleton	0	Zn_clus
F14	730332_Guatemala|C45F23D_004938-T1	4SD|C8AA998_007437-T1	0.861	31	-1.0	core	133	APH
F14	730332_Guatemala|C45F23D_004938-T1	5SD|CCCC1E1_003560-T1	0.639	23	-2.0	core	133	
F14	730332_Guatemala|C45F23D_004938-T1	578-1_L_NEW_CPA0049|C79DB71_007396-T1	0.389	14	3.5	core	133	Acetyltransf_1
F14	730332_Guatemala|C45F23D_004938-T1	574-0_S_OLD_CPA0039|C27CBD2_008082-T1	0.389	14	4.5	soft_core	126	
F14	730332_Guatemala|C45F23D_004938-T1	730332_Guatemala|C45F23D_000416-T1	0.306	11	6.0	singleton	0	
F14	730332_Guatemala|C45F23D_004938-T1	B11199|C018C7F_001444-T1	0.25	9	6.0	singleton	0	SPOK2_N
F14	730332_Guatemala|C45F23D_004938-T1	B3292|C780200_007657-T1	0.222	8	-3.0	shell	91	
F14	730332_Guatemala|C45F23D_004938-T1	B3382|C074AB1_006995-T1	0.167	6	1.0	singleton	0	ABC_tran
F27	B11057|CCF9097_002456-T1	578-1_L_NEW_CPA0049|C79DB71_006714-T1	1.0	1	-9.0	core	133	
F27	B11057|CCF9097_002456-T1	5SD|CCCC1E1_001011-T1	1.0	1	6.0	shell	111	
F27	B11057|CCF9097_002456-T1	578-1_L_NEW_CPA0049|C79DB71_007395-T1	1.0	1	1.0	core	130	APH
F27	B11057|CCF9097_002456-T1	578-1_L_NEW_CPA0049|C79DB71_007393-T1	1.0	1	-2.0	core	133	Methyltransf_23,Methyltransf_25
F27	B11057|CCF9097_002456-T1	COCSP-3478|C07E340_008283-T1	1.0	1	8.0	core	129	ULD_2
F27	B11057|CCF9097_002456-T1	B3344|C50AAF5_002296-T1	1.0	1	-5.0	core	130	
F27	B11057|CCF9097_002456-T1	578-1_L_NEW_CPA0049|C79DB71_007391-T1	1.0	1	-4.0	core	133	MBOAT_2
F27	B11057|CCF9097_002456-T1	578-1_L_NEW_CPA0049|C79DB71_006717-T1	1.0	1	5.0	core	133	PK_Tyr_Ser-Thr,Pkinase
F20	B14298|C71D630_004309-T1	578-1_L_NEW_CPA0049|C79DB71_005561-T1	1.0	3	-8.0	core	133	Pr_beta_C,Proteasome
F20	B14298|C71D630_004309-T1	578-1_L_NEW_CPA0049|C79DB71_005562-T1	1.0	3	-7.0	core	133	
F20	B14298|C71D630_004309-T1	5SD|CCCC1E1_000190-T1	1.0	3	-1.0	core	133	
