family_a	family_b	classification	linkage_fraction	jaccard	fisher_p	fdr_q	permutation_p	direction_a	clade_composition	asymmetry_a	direction_a_freq	hrmA_family	partner	label	partner_label	partner_bin	partner_pfam	partner_frac_anchors_within10
407-0_S_OLD_CPA0002|C577643_002224-T1	5SD|CCCC1E1_000093-T1	trans_unconfirmed	0.0	0.4667	6.87e-07	0.000669	0.0	ambiguous	{'Coccidioides immitis': 12}	0.9972	loss	5SD|CCCC1E1_000093-T1	407-0_S_OLD_CPA0002|C577643_002224-T1	F09		cloud		0.0
407-0_S_OLD_CPA0002|C577643_004006-T1	5SD|CCCC1E1_000093-T1	trans_unconfirmed	0.0	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 7}	0.275	ambiguous	5SD|CCCC1E1_000093-T1	407-0_S_OLD_CPA0002|C577643_004006-T1	F09		cloud		0.0
407-0_S_OLD_CPA0002|C577643_004376-T1	730333_Guatemala|C537722_008849-T1	trans_unconfirmed	0.0	0.359	3.86e-06	0.00282	0.0	ambiguous	{'Coccidioides immitis': 33}	0.4472	ambiguous	730333_Guatemala|C537722_008849-T1	407-0_S_OLD_CPA0002|C577643_004376-T1	F42		shell		0.0
407-0_S_OLD_CPA0002|C577643_006949-T1	730333_Guatemala|C537722_008849-T1	unexplained_physical	0.5714	0.7273	3.88e-15	2.67e-11	0.0	ambiguous	{'Coccidioides immitis': 18}	0.1778	ambiguous	730333_Guatemala|C537722_008849-T1	407-0_S_OLD_CPA0002|C577643_006949-T1	F42		cloud		0.0
407-0_S_OLD_CPA0002|C577643_006949-T1	CA2|CD8B963_008506-T1	trans_unconfirmed	0.0	0.3514	3.72e-06	0.00273	0.0	ambiguous	{'Coccidioides immitis': 18}	0.1778	ambiguous	CA2|CD8B963_008506-T1	407-0_S_OLD_CPA0002|C577643_006949-T1	F13		cloud		0.0
4545-MICE|CB4077B_006085-T1	730333_Guatemala|C537722_008849-T1	trans_unconfirmed	0.0	0.5714	1.52e-11	5.84e-08	0.0	ambiguous	{'Coccidioides immitis': 24}	0.2333	ambiguous	730333_Guatemala|C537722_008849-T1	4545-MICE|CB4077B_006085-T1	F42		shell		0.0
485B-1_L_OLD_CPA0023|C4025D1_002383-T1	5SD|CCCC1E1_000093-T1	trans_unconfirmed	0.0	0.3158	0.000119	0.0418	0.0001	ambiguous	{'Coccidioides immitis': 15}	0.275	ambiguous	5SD|CCCC1E1_000093-T1	485B-1_L_OLD_CPA0023|C4025D1_002383-T1	F09		cloud		0.0
485B-1_L_OLD_CPA0023|C4025D1_002383-T1	730333_Guatemala|C537722_008849-T1	unexplained_physical	0.78	0.75	6.39e-16	4.78e-12	0.0	ambiguous	{'Coccidioides immitis': 15}	0.275	ambiguous	730333_Guatemala|C537722_008849-T1	485B-1_L_OLD_CPA0023|C4025D1_002383-T1	F42		cloud		0.0
485B-1_L_OLD_CPA0023|C4025D1_002383-T1	CA2|CD8B963_008506-T1	trans_unconfirmed	0.0	0.3429	1.62e-06	0.00138	0.0	ambiguous	{'Coccidioides immitis': 15}	0.275	ambiguous	CA2|CD8B963_008506-T1	485B-1_L_OLD_CPA0023|C4025D1_002383-T1	F13		cloud		0.0
4M3|CB16A6A_002786-T1	5SD|CCCC1E1_003469-T1	ambiguous_linkage	0.1176	0.5443	3.7e-08	5.64e-05	0.0	gain	{'Coccidioides immitis': 68}	0.0	gain	4M3|CB16A6A_002786-T1	5SD|CCCC1E1_003469-T1	F26		shell		0.0
4M3|CB16A6A_002786-T1	5SD|CCCC1E1_006841-T1	unexplained_physical	1.0	0.5826	7.3e-06	0.00475	0.0	gain	{'Coccidioides immitis': 68}	0.0	gain	4M3|CB16A6A_002786-T1	5SD|CCCC1E1_006841-T1	F26		shell	APH	1.0
4M3|CB16A6A_002786-T1	B11343|C7ABD37_006907-T1	trans_unconfirmed	0.0	0.36	0.000105	0.0381	0.0001	gain	{'Coccidioides immitis': 68}	0.0	gain	4M3|CB16A6A_002786-T1	B11343|C7ABD37_006907-T1	F26		shell		0.0
4M3|CB16A6A_002786-T1	B13535|C7AA01B_000794-T1	ambiguous_linkage	0.1176	0.506	5.64e-06	0.00385	0.0	gain	{'Coccidioides immitis': 68}	0.0	gain	4M3|CB16A6A_002786-T1	B13535|C7AA01B_000794-T1	F26		shell		0.0
4M3|CB16A6A_002786-T1	GT-126|C8C79ED_008251-T1	unexplained_physical	1.0	0.5929	1.35e-06	0.00118	0.0	gain	{'Coccidioides immitis': 68}	0.0	gain	4M3|CB16A6A_002786-T1	GT-126|C8C79ED_008251-T1	F26	F12	shell	HrmA	0.0
574-0_S_OLD_CPA0039|C27CBD2_002751-T1	730333_Guatemala|C537722_008849-T1	trans_unconfirmed	0.0	0.2609	7.93e-05	0.0309	0.0001	ambiguous	{'Coccidioides immitis': 67}	0.425	ambiguous	730333_Guatemala|C537722_008849-T1	574-0_S_OLD_CPA0039|C27CBD2_002751-T1	F42		shell		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	578-1_L_NEW_CPA0049|C79DB71_000424-T1	unexplained_physical	1.0	0.3043	1.97e-06	0.00162	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	578-1_L_NEW_CPA0049|C79DB71_000424-T1	F01		shell		1.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	730332_Guatemala|C45F23D_001415-T1	trans_unconfirmed	0.0	0.4118	1.56e-07	0.000192	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	730332_Guatemala|C45F23D_001415-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	730332_Guatemala|C45F23D_002634-T1	trans_unconfirmed	0.0	0.5	2.76e-08	4.38e-05	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	730332_Guatemala|C45F23D_002634-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	730332_Guatemala|C45F23D_002635-T1	trans_unconfirmed	0.0	0.5	2.76e-08	4.38e-05	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	730332_Guatemala|C45F23D_002635-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	730332_Guatemala|C45F23D_004770-T1	trans_unconfirmed	0.0	0.875	6.43e-11	2.15e-07	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	730332_Guatemala|C45F23D_004770-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	730332_Guatemala|C45F23D_008025-T1	trans_unconfirmed	0.0	0.875	6.43e-11	2.15e-07	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	730332_Guatemala|C45F23D_008025-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	730332_Guatemala|C45F23D_008761-T1	trans_unconfirmed	0.0	0.3571	4.71e-05	0.0207	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	730332_Guatemala|C45F23D_008761-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B0727_Argentina|C5AAF22_000468-T1	trans_unconfirmed	0.0	0.75	7.1e-09	1.34e-05	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B0727_Argentina|C5AAF22_000468-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B0727_Argentina|C5AAF22_000471-T1	trans_unconfirmed	0.0	0.6364	2.65e-09	5.75e-06	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B0727_Argentina|C5AAF22_000471-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B0727_Argentina|C5AAF22_003995-T1	insufficient_data	0.0	0.4444	4.06e-05	0.0184	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B0727_Argentina|C5AAF22_003995-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B0727_Argentina|C5AAF22_006195-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B0727_Argentina|C5AAF22_006195-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B0727_Argentina|C5AAF22_007711-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B0727_Argentina|C5AAF22_007711-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B1249_Guatemala|C40D72F_008025-T1	unexplained_physical	0.9444	0.875	6.43e-11	2.15e-07	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B1249_Guatemala|C40D72F_008025-T1	F01		cloud	Zn_clus	1.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B12526|CF6BC4C_000234-T1	trans_unconfirmed	0.0	0.5	2.76e-08	4.38e-05	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B12526|CF6BC4C_000234-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B12526|CF6BC4C_000235-T1	trans_unconfirmed	0.0	0.4118	1.56e-07	0.000192	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B12526|CF6BC4C_000235-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_007163-T1	trans_unconfirmed	0.0	0.625	3.87e-07	0.000413	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_007163-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_007168-T1	trans_unconfirmed	0.0	0.875	6.43e-11	2.15e-07	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_007168-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_007171-T1	trans_unconfirmed	0.0	0.75	7.1e-09	1.34e-05	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_007171-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_007172-T1	trans_unconfirmed	0.0	0.875	6.43e-11	2.15e-07	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_007172-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_007831-T1	trans_unconfirmed	0.0	0.4545	7.81e-06	0.005	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_007831-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_007988-T1	insufficient_data	0.0	0.4444	4.06e-05	0.0184	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_007988-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_008010-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_008010-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_008011-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_008011-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_008014-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_008014-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_008175-T1	trans_unconfirmed	0.0	0.875	6.43e-11	2.15e-07	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_008175-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_008585-T1	unexplained_physical	1.0	0.8571	1.02e-09	2.48e-06	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_008585-T1	F01		cloud		0.273
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_008759-T1	trans_unconfirmed	0.0	0.6	8.4e-08	0.000113	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	B15146|CF83403_008759-T1	F01		cloud	DUF3435	0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	Beeville|C6949CF_002609-T1	trans_unconfirmed	0.0	0.4	9.29e-05	0.0345	0.0001	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	Beeville|C6949CF_002609-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006114-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006114-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006120-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006120-T1	F01		cloud		0.0
574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006122-T1	insufficient_data	0.0	0.5	1.38e-05	0.00789	0.0	ambiguous	{'Coccidioides immitis': 7}	0.0444	gain	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	CA17|C6A2BBC_006122-T1	F01		cloud		0.0
