Short	n_telomeric_ends
1M0	0
21SD	0
3M3	1
407-0_S_OLD_CPA0002	0
407-1_S_OLD_CPA0004	0
409B-0_L_OLD_CPA0011	0
409B-0_S_OLD_CPA0012	0
4545-MICE	0
485B-0_S_OLD_CPA0021	1
485B-1_L_OLD_CPA0023	0
485B-4_S_NEW_CPA0029	0
4M3	0
4SD	0
573-1_L_NEW_CPA0031	1
573-1_S_NEW_CPA0033	0
574-0_L_OLD_CPA0038	0
574-0_S_OLD_CPA0039	0
574-1_L_NEW_CPA0040	3
578-1_A_NEW_CPA0048	0
578-1_L_NEW_CPA0049	0
578-1_L_NEW_CPA0049_alt	1
582-1_L_NEW_CPA0064	0
5SD	0
730332_Guatemala	0
730333_Guatemala	0
730334_Guatemala	0
A391	1
A432	1
A502-1	1
A502-2	0
B0727_Argentina	0
B0858-Guatemala	0
B10757_Nevada	0
B10813_Texas	0
B10917	0
B10918	1
B10919	0
B11002	1
B11019	1
B11034	1
B11035	0
B11036	0
B11057	0
B11058	0
B11080	0
B11198	0
B11199	1
B11232	0
B11299	1
B11300	2
B11343	1
B11400	0
B11517	2
B11518	0
B11587	1
B11863	2
B11871	0
B11872	0
B11873	0
B11877	1
B12202	2
B12216	0
B12218	0
B12219	2
B12220	2
B12226	0
B12397	1
B12398	0
B12399	3
B12400	0
B12402	1
B12471	3
B12475	2
B12495	3
B12496	5
B12498	0
B1249_Guatemala	0
B12526	0
B12527	2
B13534	2
B13535	0
B13956	0
B13981	0
B14104	0
B14130	0
B14131	2
B14132	1
B14133	0
B14134	4
B14135	0
B14286	0
B14288	1
B14291	0
B14292	1
B14298	5
B15142	2
B15145	1
B15146	1
B15257	2
B15317	0
B15368	2
B15369	1
B16293	0
B16294	1
B16338	0
B16339	1
B16364	2
B16531	0
B16536	1
B16692	1
B16712	0
B17554	0
B17567	1
B17635	0
B3203	0
B3213	3
B3215	2
B3220	4
B3221	5
B3222	4
B3224	4
B3226	3
B3227	2
B3228	0
B3236	4
B3242	4
B3244	0
B3245	1
B3246	4
B3251	0
B3256	3
B3269	0
B3276	1
