Short	hac6_gene	genes_to_nearest_hrmA	hrmA_label	bp_to_nearest_hrmA
407-0_S_OLD_CPA0002	407-0_S_OLD_CPA0002|C577643_004005-T1	15	F09	37394
407-1_S_OLD_CPA0004	407-1_S_OLD_CPA0004|CC44035_005230-T1	16	F09	37948
4545-MICE	4545-MICE|CB4077B_001347-T1	14	F09	38132
5SD	5SD|CCCC1E1_000110-T1	17	F09	37434
B0858-Guatemala	B0858-Guatemala|CBD0EE9_000129-T1	15	F09	37976
B10757_Nevada	B10757_Nevada|CAE1CCF_000155-T1	15	F09	37394
B10917	B10917|CF2C0CF_000196-T1	15	F09	37892
B10918	B10918|C0D9C49_000212-T1	15	F09	37393
B11199	B11199|C018C7F_000317-T1	15	F09	37991
B11232	B11232|C29E0E0_000492-T1	14	F09	29503
B12218	B12218|C4C1EDB_002866-T1	15	F09	37920
B12226	B12226|CF8BF1D_000021-T1	15	F09	37920
B12402	B12402|CA90374_003799-T1	16	F09	37394
B12471	B12471|CD39253_001177-T1	15	F09	37673
B1249_Guatemala	B1249_Guatemala|C40D72F_000228-T1	15	F09	37464
B15142	B15142|CE5AC85_004563-T1	7	F06	27927
B3213	B3213|CDAADD1_000862-T1	16	F09	38072
B3246	B3246|C90A8A7_002811-T1	15	F09	37621
B3251	B3251|C8F4B83_006287-T1	15	F09	37394
B3256	B3256|C818D8D_002983-T1	15	F09	37673
B3290	B3290|C1CD50B_002134-T1	16	F09	37674
B3314	B3314|CBC6125_000985-T1	15	F09	37394
B3315	B3315|C362512_005075-T1	15	F09	38092
B3326	B3326|CF96F29_000499-T1	15	F09	37674
B3335	B3335|C104461_002830-T1	15	F09	37695
B3344	B3344|C50AAF5_001316-T1	14	F09	37892
B3398	B3398|C1EFAD8_002545-T1	15	F09	37674
B3417	B3417|C574D2D_001912-T1	14	F09	37534
B3476	B3476|CE9CA74_006607-T1	5	F14	27370
B3482	B3482|C59F6A8_006916-T1	15	F09	37407
B3489	B3489|CCD713F_002843-T1	16	F09	38112
B3491	B3491|C53B4A4_002115-T1	15	F09	38147
CA15	CA15|CEB9A78_002592-T1	15	F05	63157
CA3	CA3|CFB083D_002252-T1	99	F04	252551
COCPO_103721	COCPO_103721|CBC12DE_006007-T1	15	F09	37381
COCPO_114072	COCPO_114072|CC7CCBF_006907-T1	14	F09	38088
