label	family	Short	contig	start	overlapping_gene	overlapping_family	overlapping_is_hrmA_hit
F22	4545-MICE|CB4077B_003725-T1	407-0_S_OLD_CPA0002	scaffold_112	77763	407-0_S_OLD_CPA0002|C577643_007274-T1;407-0_S_OLD_CPA0002|C577643_007275-T1	B11300|C7C73A6_001960-T1;B3310|C2B8E97_008010-T1	False
F22	4545-MICE|CB4077B_003725-T1	409B-0_L_OLD_CPA0011	scaffold_90	2689	409B-0_L_OLD_CPA0011|C90261E_003857-T1	B3246|C90A8A7_007942-T1	False
F22	4545-MICE|CB4077B_003725-T1	409B-0_S_OLD_CPA0012	scaffold_165	39030	409B-0_S_OLD_CPA0012|CD06E9E_007883-T1	B3246|C90A8A7_007942-T1	False
F22	4545-MICE|CB4077B_003725-T1	485B-0_S_OLD_CPA0021	scaffold_182	28230	485B-0_S_OLD_CPA0021|CFE8A8D_008294-T1	B11300|C7C73A6_001960-T1	False
F22	4545-MICE|CB4077B_003725-T1	485B-1_L_OLD_CPA0023	scaffold_190	6042	485B-1_L_OLD_CPA0023|C4025D1_008223-T1	B3246|C90A8A7_007942-T1	False
F22	4545-MICE|CB4077B_003725-T1	485B-4_S_NEW_CPA0029	scaffold_235	17886	485B-4_S_NEW_CPA0029|CFB3627_008394-T1	B11300|C7C73A6_001960-T1	False
F22	4545-MICE|CB4077B_003725-T1	573-1_L_NEW_CPA0031	scaffold_131	59094	573-1_L_NEW_CPA0031|C24A26E_007371-T1	B3246|C90A8A7_007942-T1	False
F22	4545-MICE|CB4077B_003725-T1	573-1_S_NEW_CPA0033	scaffold_289	8347	573-1_S_NEW_CPA0033|CA22261_008691-T1	B3246|C90A8A7_007942-T1	False
F22	4545-MICE|CB4077B_003725-T1	574-0_L_OLD_CPA0038	scaffold_91	84617			False
F22	4545-MICE|CB4077B_003725-T1	574-0_S_OLD_CPA0039	scaffold_22	26238			False
F22	4545-MICE|CB4077B_003725-T1	574-1_L_NEW_CPA0040	scaffold_233	28112	574-1_L_NEW_CPA0040|CDD7BF6_008252-T1	B3246|C90A8A7_007942-T1	False
F22	4545-MICE|CB4077B_003725-T1	578-1_A_NEW_CPA0048	scaffold_106	77004	578-1_A_NEW_CPA0048|CD3293D_007351-T1	B3310|C2B8E97_008010-T1	False
F22	4545-MICE|CB4077B_003725-T1	578-1_L_NEW_CPA0049	scaffold_115	77121	578-1_L_NEW_CPA0049|C79DB71_007169-T1	B3246|C90A8A7_007942-T1	False
F22	4545-MICE|CB4077B_003725-T1	578-1_L_NEW_CPA0049_alt	scaffold_90	98418	578-1_L_NEW_CPA0049_alt|C8EFFFA_006687-T1	B3246|C90A8A7_007942-T1	False
F22	4545-MICE|CB4077B_003725-T1	730334_Guatemala	scaffold_19	20122			False
F22	4545-MICE|CB4077B_003725-T1	B10757_Nevada	scaffold_137	22507	B10757_Nevada|CAE1CCF_003085-T1	B3246|C90A8A7_007942-T1	False
F22	4545-MICE|CB4077B_003725-T1	B10813_Texas	scaffold_4	201197	B10813_Texas|CFDA6A7_000086-T1	B11300|C7C73A6_001960-T1	False
F22	4545-MICE|CB4077B_003725-T1	B10919	scaffold_11	98317			False
F22	4545-MICE|CB4077B_003725-T1	B11036	scaffold_15	105324	B11036|C28702D_001112-T1	B11300|C7C73A6_001960-T1	False
F22	4545-MICE|CB4077B_003725-T1	B11058	scaffold_501	13441	B11058|C2FAE97_006302-T1;B11058|C2FAE97_006303-T1	B3246|C90A8A7_007942-T1;B11300|C7C73A6_001960-T1	False
F22	4545-MICE|CB4077B_003725-T1	B11299	scaffold_129	66607	B11299|C72C725_005713-T1;B11299|C72C725_005714-T1	B11300|C7C73A6_001960-T1;B3246|C90A8A7_007942-T1	False
