Short,Species,Strain,Group,TaxonGroup,Protein_Source,Protein_Accession,Taxon_ID,Genome_Source,Genome_Accession,GFF3_Source,GFF3_Accession
Nirr,Neolecta irregularis,DAH-3,OUT,Taphrinomycotina,uniprot,UP000186594,1198029,ncbi,GCA_001929475.1,,
CneoH99,Cryptococcus neoformans,H99,OUT,Basidiomycota,uniprot,UP000010091,235443,ncbi,GCA_000149245.3,,
Ccin,Coprinopsis cinerea,Okayama-7/130,OUT,Basidiomycota,uniprot,UP000001861,240176,ncbi,GCA_000182895.1,,
Mcir,Mucor circinelloides,1006PhL,OUT,Mucoromycotina,uniprot,UP000014254,1220926,ncbi,GCA_000401635.1,,
Spom,Schizosaccharomyces pombe,972h,OUT,Taphrinomycotina,uniprot,UP000002485,284812,ncbi,GCA_000002945.2,,
Scer,Saccharomyces cerevisiae,S288C,OUT,Saccharomycotina,uniprot,UP000002311,559292,ncbi,GCA_000146045.2,,
Amega,Arthrobotrys megalospora,TWF281,IN,Pezizomycotina,uniprot,UP001658139,2528406,ncbi,GCA_036971655.1,,
Ncra,Neurospora crassa,OR74A,IN,Pezizomycotina,uniprot,UP000001805,367110,ncbi,GCA_000182925.2,,
Afum,Aspergillus fumigatus,Af293,IN,Pezizomycotina,uniprot,UP000002530,330879,ncbi,GCA_000002655.1,,
Ztri,Zymoseptoria tritici,IPO323,IN,Pezizomycotina,uniprot,UP000008062,336722,ncbi,GCA_000219625.1,,
Cimm,Coccidioides immitis,RS,IN,Pezizomycotina,uniprot,UP000001261,246410,ncbi,GCA_000149335.2,,
