protein_id	UHM125bin22	UHM102bin47	UHM145bin33	UHM145bin17	UHM125bin48	UHM145bin28	UHM17bin35	UHM18bin40	UHM20bin40	UHM20bin12	UHM22bin50	UHM22bin54	UHM40bin4	UHM22bin8	UHM56bin19	UHM43bin53	UHM72bin19	UHM40bin27
WP_000301869.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_000358960.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_000613954.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_000617546.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_000868187.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_001096202.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_001138115.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_001140434.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_001181005.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_001311244.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_002919667.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_002919754.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_002919759.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_002919773.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_003031119.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004097642.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004101614.1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_004106334.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004106336.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004106339.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004106341.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004106343.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004106345.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004106347.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004106350.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004106354.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004106362.1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
WP_004109725.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004109728.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004109731.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004114622.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004114623.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004115953.1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
WP_004117092.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004136901.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004136903.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004138729.1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_004200439.1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1
WP_004222578.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004864249.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_004871831.1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1
WP_009654551.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_010434179.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
