protein_id	source_proteome
UHM102bin47__k141_113605_9	UHM102bin47
UHM102bin47__k141_116961_3	UHM102bin47
UHM102bin47__k141_116961_37	UHM102bin47
UHM102bin47__k141_117384_27	UHM102bin47
UHM102bin47__k141_119261_30	UHM102bin47
UHM102bin47__k141_120499_24	UHM102bin47
UHM102bin47__k141_121109_5	UHM102bin47
UHM102bin47__k141_131645_5	UHM102bin47
UHM102bin47__k141_134112_6	UHM102bin47
UHM102bin47__k141_135727_34	UHM102bin47
UHM102bin47__k141_138182_13	UHM102bin47
UHM102bin47__k141_138711_10	UHM102bin47
UHM102bin47__k141_139350_22	UHM102bin47
UHM102bin47__k141_139702_10	UHM102bin47
UHM102bin47__k141_144615_4	UHM102bin47
UHM102bin47__k141_144615_5	UHM102bin47
UHM102bin47__k141_144615_7	UHM102bin47
UHM102bin47__k141_144621_20	UHM102bin47
UHM102bin47__k141_144747_4	UHM102bin47
UHM102bin47__k141_15921_3	UHM102bin47
UHM102bin47__k141_21772_14	UHM102bin47
UHM102bin47__k141_22727_15	UHM102bin47
UHM102bin47__k141_22727_25	UHM102bin47
UHM102bin47__k141_24501_14	UHM102bin47
UHM102bin47__k141_2843_4	UHM102bin47
UHM102bin47__k141_33357_6	UHM102bin47
UHM102bin47__k141_34177_4	UHM102bin47
UHM102bin47__k141_34895_2	UHM102bin47
UHM102bin47__k141_34947_3	UHM102bin47
UHM102bin47__k141_38395_1	UHM102bin47
UHM102bin47__k141_39567_2	UHM102bin47
UHM102bin47__k141_44979_2	UHM102bin47
UHM102bin47__k141_47894_2	UHM102bin47
UHM102bin47__k141_48864_39	UHM102bin47
UHM102bin47__k141_54027_7	UHM102bin47
UHM102bin47__k141_57807_12	UHM102bin47
UHM102bin47__k141_57807_18	UHM102bin47
UHM102bin47__k141_57807_25	UHM102bin47
UHM102bin47__k141_61961_20	UHM102bin47
UHM102bin47__k141_63081_11	UHM102bin47
UHM102bin47__k141_73636_4	UHM102bin47
UHM102bin47__k141_77912_5	UHM102bin47
UHM102bin47__k141_81591_30	UHM102bin47
UHM102bin47__k141_87317_3	UHM102bin47
UHM102bin47__k141_9567_12	UHM102bin47
UHM125bin22__k141_105336_13	UHM125bin22
UHM125bin22__k141_105336_48	UHM125bin22
UHM125bin22__k141_108317_44	UHM125bin22
UHM125bin22__k141_108317_9	UHM125bin22
UHM125bin22__k141_11459_76	UHM125bin22
UHM125bin22__k141_116436_109	UHM125bin22
UHM125bin22__k141_116436_13	UHM125bin22
UHM125bin22__k141_116436_145	UHM125bin22
UHM125bin22__k141_116436_189	UHM125bin22
UHM125bin22__k141_116436_218	UHM125bin22
UHM125bin22__k141_116436_52	UHM125bin22
UHM125bin22__k141_116436_77	UHM125bin22
UHM125bin22__k141_121389_1	UHM125bin22
UHM125bin22__k141_125417_18	UHM125bin22
UHM125bin22__k141_125417_30	UHM125bin22
UHM125bin22__k141_125570_52	UHM125bin22
UHM125bin22__k141_128872_16	UHM125bin22
UHM125bin22__k141_131084_69	UHM125bin22
UHM125bin22__k141_131614_15	UHM125bin22
UHM125bin22__k141_154965_41	UHM125bin22
UHM125bin22__k141_155483_44	UHM125bin22
UHM125bin22__k141_20697_159	UHM125bin22
UHM125bin22__k141_20697_42	UHM125bin22
UHM125bin22__k141_23854_32	UHM125bin22
UHM125bin22__k141_27491_115	UHM125bin22
UHM125bin22__k141_27491_4	UHM125bin22
UHM125bin22__k141_27491_57	UHM125bin22
UHM125bin22__k141_27491_67	UHM125bin22
UHM125bin22__k141_35465_127	UHM125bin22
UHM125bin22__k141_35480_2	UHM125bin22
UHM125bin22__k141_35901_26	UHM125bin22
UHM125bin22__k141_35901_36	UHM125bin22
UHM125bin22__k141_40548_92	UHM125bin22
UHM125bin22__k141_40554_24	UHM125bin22
UHM125bin22__k141_55992_66	UHM125bin22
UHM125bin22__k141_57044_31	UHM125bin22
UHM125bin22__k141_5898_55	UHM125bin22
UHM125bin22__k141_61065_21	UHM125bin22
UHM125bin22__k141_62480_69	UHM125bin22
UHM125bin22__k141_70341_17	UHM125bin22
UHM125bin22__k141_89394_301	UHM125bin22
UHM125bin22__k141_89394_302	UHM125bin22
UHM125bin22__k141_89394_304	UHM125bin22
UHM125bin48__k141_12330_137	UHM125bin48
UHM125bin48__k141_132383_128	UHM125bin48
UHM125bin48__k141_134485_32	UHM125bin48
UHM125bin48__k141_13765_2	UHM125bin48
UHM125bin48__k141_142709_34	UHM125bin48
UHM125bin48__k141_167857_122	UHM125bin48
UHM125bin48__k141_203804_102	UHM125bin48
UHM125bin48__k141_205170_107	UHM125bin48
UHM125bin48__k141_21561_1	UHM125bin48
UHM125bin48__k141_299522_119	UHM125bin48
UHM125bin48__k141_299522_84	UHM125bin48
UHM125bin48__k141_92202_124	UHM125bin48
UHM125bin48__k141_92202_134	UHM125bin48
UHM125bin48__k141_92202_187	UHM125bin48
UHM125bin48__k141_92202_4	UHM125bin48
UHM125bin48__k141_92202_76	UHM125bin48
UHM145bin17__k141_100486_5	UHM145bin17
UHM145bin17__k141_113344_2	UHM145bin17
UHM145bin17__k141_118445_4	UHM145bin17
UHM145bin17__k141_119420_14	UHM145bin17
UHM145bin17__k141_121710_1	UHM145bin17
UHM145bin17__k141_124820_9	UHM145bin17
UHM145bin17__k141_127317_4	UHM145bin17
UHM145bin17__k141_132383_10	UHM145bin17
UHM145bin17__k141_135854_3	UHM145bin17
UHM145bin17__k141_140830_3	UHM145bin17
UHM145bin17__k141_140906_3	UHM145bin17
UHM145bin17__k141_145161_4	UHM145bin17
UHM145bin17__k141_16853_2	UHM145bin17
UHM145bin17__k141_17742_6	UHM145bin17
UHM145bin17__k141_19577_5	UHM145bin17
UHM145bin17__k141_20989_5	UHM145bin17
UHM145bin17__k141_38534_2	UHM145bin17
UHM145bin17__k141_38534_4	UHM145bin17
UHM145bin17__k141_39625_1	UHM145bin17
UHM145bin17__k141_40619_2	UHM145bin17
UHM145bin17__k141_44253_2	UHM145bin17
UHM145bin17__k141_44935_3	UHM145bin17
UHM145bin17__k141_45768_1	UHM145bin17
UHM145bin17__k141_46975_5	UHM145bin17
UHM145bin17__k141_55779_7	UHM145bin17
UHM145bin17__k141_60008_8	UHM145bin17
UHM145bin17__k141_63612_2	UHM145bin17
UHM145bin17__k141_66140_2	UHM145bin17
UHM145bin17__k141_74359_3	UHM145bin17
UHM145bin17__k141_77723_5	UHM145bin17
UHM145bin17__k141_7989_4	UHM145bin17
UHM145bin17__k141_86069_1	UHM145bin17
UHM145bin17__k141_87543_1	UHM145bin17
UHM145bin17__k141_90939_11	UHM145bin17
UHM145bin17__k141_93975_6	UHM145bin17
UHM145bin17__k141_97365_8	UHM145bin17
UHM145bin28__k141_101097_6	UHM145bin28
UHM145bin28__k141_101835_25	UHM145bin28
UHM145bin28__k141_101835_35	UHM145bin28
UHM145bin28__k141_101835_64	UHM145bin28
UHM145bin28__k141_144755_20	UHM145bin28
UHM145bin28__k141_153204_18	UHM145bin28
UHM145bin28__k141_157115_8	UHM145bin28
UHM145bin28__k141_166374_70	UHM145bin28
UHM145bin28__k141_180629_17	UHM145bin28
UHM145bin28__k141_180629_53	UHM145bin28
UHM145bin28__k141_192550_1	UHM145bin28
UHM145bin28__k141_200935_27	UHM145bin28
UHM145bin28__k141_208910_8	UHM145bin28
UHM145bin28__k141_214162_107	UHM145bin28
UHM145bin28__k141_214162_140	UHM145bin28
UHM145bin28__k141_214162_29	UHM145bin28
UHM145bin28__k141_214162_71	UHM145bin28
UHM145bin28__k141_218190_3	UHM145bin28
UHM145bin28__k141_218190_42	UHM145bin28
UHM145bin28__k141_220579_126	UHM145bin28
UHM145bin28__k141_220579_47	UHM145bin28
UHM145bin28__k141_227303_39	UHM145bin28
UHM145bin28__k141_233280_4	UHM145bin28
UHM145bin28__k141_237176_2	UHM145bin28
UHM145bin28__k141_245763_59	UHM145bin28
UHM145bin28__k141_246764_2	UHM145bin28
UHM145bin28__k141_255422_64	UHM145bin28
UHM145bin28__k141_256650_12	UHM145bin28
UHM145bin28__k141_256650_5	UHM145bin28
UHM145bin28__k141_257196_130	UHM145bin28
UHM145bin28__k141_257196_35	UHM145bin28
UHM145bin28__k141_29627_63	UHM145bin28
UHM145bin28__k141_29627_64	UHM145bin28
UHM145bin28__k141_29627_66	UHM145bin28
UHM145bin28__k141_32743_1	UHM145bin28
UHM145bin28__k141_4249_9	UHM145bin28
UHM145bin28__k141_46230_135	UHM145bin28
UHM145bin28__k141_46230_169	UHM145bin28
UHM145bin28__k141_46230_61	UHM145bin28
UHM145bin28__k141_60526_2	UHM145bin28
UHM145bin28__k141_66451_9	UHM145bin28
UHM145bin28__k141_9153_71	UHM145bin28
UHM145bin33__k141_104710_10	UHM145bin33
UHM145bin33__k141_107551_25	UHM145bin33
UHM145bin33__k141_108505_28	UHM145bin33
UHM145bin33__k141_108505_29	UHM145bin33
UHM145bin33__k141_108505_31	UHM145bin33
UHM145bin33__k141_125673_1	UHM145bin33
UHM145bin33__k141_125756_14	UHM145bin33
UHM145bin33__k141_126548_9	UHM145bin33
UHM145bin33__k141_130605_2	UHM145bin33
UHM145bin33__k141_131588_32	UHM145bin33
UHM145bin33__k141_131588_66	UHM145bin33
UHM145bin33__k141_133338_9	UHM145bin33
UHM145bin33__k141_133591_16	UHM145bin33
UHM145bin33__k141_19754_8	UHM145bin33
UHM145bin33__k141_19916_2	UHM145bin33
UHM145bin33__k141_19916_9	UHM145bin33
UHM145bin33__k141_2088_8	UHM145bin33
UHM145bin33__k141_2136_22	UHM145bin33
UHM145bin33__k141_21633_27	UHM145bin33
UHM145bin33__k141_22275_2	UHM145bin33
UHM145bin33__k141_2311_2	UHM145bin33
UHM145bin33__k141_23388_22	UHM145bin33
UHM145bin33__k141_31941_36	UHM145bin33
UHM145bin33__k141_32067_19	UHM145bin33
UHM145bin33__k141_35811_26	UHM145bin33
UHM145bin33__k141_36839_3	UHM145bin33
UHM145bin33__k141_37340_7	UHM145bin33
UHM145bin33__k141_44193_41	UHM145bin33
