protein_id	KoxO_050916275	KoxO_016734995	KoxO_030343105	KoxO_030343565	KoxO_030343375	KoxO_900083995	KoxO_004360035	KoxO_030344075	KoxO_051951865	KoxO_017310465	KoxO_929608445	KoxO_040561445	KoxO_024918735	KoxO_900083795	KoxO_053276915	KoxO_902162875
UHM102bin47__k141_113605_9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_116961_3	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1
UHM102bin47__k141_116961_37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_117384_27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_119261_30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_120499_24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_121109_5	0	0	1	1	1	0	1	1	1	0	1	0	0	1	1	0
UHM102bin47__k141_131645_5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_134112_6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_135727_34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_138182_13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_138711_10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_139350_22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_139702_10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_144615_4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_144615_5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_144615_7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_144621_20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_144747_4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_15921_3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_21772_14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_22727_15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_22727_25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_24501_14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_2843_4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_33357_6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_34177_4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_34895_2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_34947_3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_38395_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_39567_2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_44979_2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_47894_2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_48864_39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_54027_7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_57807_12	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
UHM102bin47__k141_57807_18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_57807_25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_61961_20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_63081_11	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_73636_4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_77912_5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_81591_30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_87317_3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM102bin47__k141_9567_12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM125bin22__k141_105336_13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM125bin22__k141_105336_48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM125bin22__k141_108317_44	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1
UHM125bin22__k141_108317_9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM125bin22__k141_11459_76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM125bin22__k141_116436_109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM125bin22__k141_116436_13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UHM125bin22__k141_116436_145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
