Short,Species,Strain,Group,TaxonGroup,Source,Accession
KoxO_050916275,Klebsiella oxytoca,KOHN1,OUT,Mammal_koxytoca,ncbi_refseq,GCF_050916275.1
KoxO_017310465,Klebsiella oxytoca,IR5392,OUT,Mammal_koxytoca,ncbi_refseq,GCF_017310465.1
KoxO_929608445,Klebsiella oxytoca,cpe088,OUT,Mammal_koxytoca,ncbi_refseq,GCF_929608445.1
KoxO_040561445,Klebsiella oxytoca,ST106KO11,OUT,Mammal_koxytoca,ncbi_refseq,GCF_040561445.1
KoxO_900083795,Klebsiella oxytoca,2880STDY5682743,OUT,Mammal_koxytoca,ncbi_refseq,GCF_900083795.1
KoxO_024918735,Klebsiella oxytoca,ST34,OUT,Mammal_koxytoca,ncbi_refseq,GCF_024918735.1
KoxO_902162875,Klebsiella oxytoca,4928STDY7071180,OUT,Mammal_koxytoca,ncbi_refseq,GCF_902162875.1
KoxO_053276915,Klebsiella oxytoca,KP111,OUT,Mammal_koxytoca,ncbi_refseq,GCF_053276915.1
KoxO_030343105,Klebsiella oxytoca,NMI1636_19,OUT,Mammal_koxytoca,ncbi_refseq,GCF_030343105.1
KoxO_030343375,Klebsiella oxytoca,NMI2383_18,OUT,Mammal_koxytoca,ncbi_refseq,GCF_030343375.1
KoxO_016734995,Klebsiella oxytoca,KLEB012,OUT,Mammal_koxytoca,ncbi_refseq,GCF_016734995.1
KoxO_030343565,Klebsiella oxytoca,NMI4062_17,OUT,Mammal_koxytoca,ncbi_refseq,GCF_030343565.1
KoxO_900083995,Klebsiella oxytoca,2880STDY5682534,OUT,Mammal_koxytoca,ncbi_refseq,GCF_900083995.1
KoxO_004360035,Klebsiella oxytoca,SO-KOX16-1,OUT,Mammal_koxytoca,ncbi_refseq,GCF_004360035.1
KoxO_030344075,Klebsiella oxytoca,NMI4566_15,OUT,Mammal_koxytoca,ncbi_refseq,GCF_030344075.1
KoxO_051951865,Klebsiella oxytoca,KO67,OUT,Mammal_koxytoca,ncbi_refseq,GCF_051951865.1
UHM102bin47,Klebsiella oxytoca,UHM102bin47,IN,UHM_koxytoca,uhm_mag_metashot,UHM102.35765_R.bin.47
UHM125bin22,Klebsiella oxytoca,UHM125bin22,IN,UHM_koxytoca,uhm_mag_metashot,UHM125.35768_R.bin.22
UHM125bin48,Klebsiella oxytoca,UHM125bin48,IN,UHM_koxytoca,uhm_mag_metashot,UHM125.35770_R.bin.48
UHM145bin17,Klebsiella oxytoca,UHM145bin17,IN,UHM_koxytoca,uhm_mag_metashot,UHM145.35771_R.bin.17
UHM145bin33,Klebsiella oxytoca,UHM145bin33,IN,UHM_koxytoca,uhm_mag_metashot,UHM145.35772_R.bin.33
UHM145bin28,Klebsiella oxytoca,UHM145bin28,IN,UHM_koxytoca,uhm_mag_metashot,UHM145.35773_R.bin.28
UHM17bin35,Klebsiella oxytoca,UHM17bin35,IN,UHM_koxytoca,uhm_mag_metashot,UHM17.35739_R.bin.35
UHM18bin40,Klebsiella oxytoca,UHM18bin40,IN,UHM_koxytoca,uhm_mag_metashot,UHM18.35742_R.bin.40
UHM20bin40,Klebsiella oxytoca,UHM20bin40,IN,UHM_koxytoca,uhm_mag_metashot,UHM20.35743_R.bin.40
UHM20bin12,Klebsiella oxytoca,UHM20bin12,IN,UHM_koxytoca,uhm_mag_metashot,UHM20.35744_R.bin.12
UHM22bin50,Klebsiella oxytoca,UHM22bin50,IN,UHM_koxytoca,uhm_mag_metashot,UHM22.35745_R.bin.50
UHM22bin54,Klebsiella oxytoca,UHM22bin54,IN,UHM_koxytoca,uhm_mag_metashot,UHM22.35746_R.bin.54
UHM22bin8,Klebsiella oxytoca,UHM22bin8,IN,UHM_koxytoca,uhm_mag_metashot,UHM22.35747_R.bin.8
UHM40bin4,Klebsiella oxytoca,UHM40bin4,IN,UHM_koxytoca,uhm_mag_metashot,UHM40.35754_R.bin.4
UHM40bin27,Klebsiella oxytoca,UHM40bin27,IN,UHM_koxytoca,uhm_mag_metashot,UHM40.35755_R.bin.27
UHM43bin53,Klebsiella oxytoca,UHM43bin53,IN,UHM_koxytoca,uhm_mag_metashot,UHM43.10836_R.bin.53
UHM56bin19,Klebsiella oxytoca,UHM56bin19,IN,UHM_koxytoca,uhm_mag_metashot,UHM56.35760_R.bin.19
UHM72bin19,Klebsiella oxytoca,UHM72bin19,IN,UHM_koxytoca,uhm_mag_metashot,UHM72.35762_R.bin.19
