GROUP,Species,Strain,Protein,DNA,GFF3,Short,TaxonGroup
OUT,Aspergillus lentulus,,UP000465220_293939.pep.fa,UP000465220_293939.dna.fa,UP000465220_293939.gff3,Aslen_ref,
OUT,Aspergillus fischeri,,UP000006702_331117.pep.fa,UP000006702_331117.dna.fa,UP000006702_331117.gff3,Neofi_ref,
IN,Aspergillus fumigatus,niveus,Asfu_niveus.pep.fa,Asfu_niveus.dna.fa,Asfu_niveus.gff3,Asfu_niveus,Mash_clade_1
IN,Aspergillus fumigatus,HMR AF 270,Asfu_HMR_AF_270.pep.fa,Asfu_HMR_AF_270.dna.fa,Asfu_HMR_AF_270.gff3,Asfu_HMR_AF_270,Mash_clade_2
IN,Aspergillus fumigatus,HMR AF 706,Asfu_HMR_AF_706.pep.fa,Asfu_HMR_AF_706.dna.fa,Asfu_HMR_AF_706.gff3,Asfu_HMR_AF_706,Mash_clade_0
IN,Aspergillus fumigatus,CNM-CM8686,Asfu_CNMCM8686.pep.fa,Asfu_CNMCM8686.dna.fa,Asfu_CNMCM8686.gff3,Asfu_CNMCM8686,Mash_clade_3
IN,Aspergillus fumigatus,CNM-CM8689,Asfu_CNMCM8689.pep.fa,Asfu_CNMCM8689.dna.fa,Asfu_CNMCM8689.gff3,Asfu_CNMCM8689,Mash_clade_0
IN,Aspergillus fumigatus,CNM-CM8812,Asfu_CNMCM8812.pep.fa,Asfu_CNMCM8812.dna.fa,Asfu_CNMCM8812.gff3,Asfu_CNMCM8812,Mash_clade_2
IN,Aspergillus fumigatus,CNM-CM8714,Asfu_CNMCM8714.pep.fa,Asfu_CNMCM8714.dna.fa,Asfu_CNMCM8714.gff3,Asfu_CNMCM8714,Mash_clade_2
IN,Aspergillus fumigatus,CNM-CM8057,Asfu_CNMCM8057.pep.fa,Asfu_CNMCM8057.dna.fa,Asfu_CNMCM8057.gff3,Asfu_CNMCM8057,Mash_clade_2
IN,Aspergillus fumigatus,D-2-28L-1,Asfu_D228L1.pep.fa,Asfu_D228L1.dna.fa,Asfu_D228L1.gff3,Asfu_D228L1,Barber_cluster6
IN,Aspergillus fumigatus,B-1-26-5,Asfu_B1265.pep.fa,Asfu_B1265.dna.fa,Asfu_B1265.gff3,Asfu_B1265,Barber_cluster6
IN,Aspergillus fumigatus,B-1-27-5,Asfu_B1275.pep.fa,Asfu_B1275.dna.fa,Asfu_B1275.gff3,Asfu_B1275,Barber_cluster6
IN,Aspergillus fumigatus,E-1-75s-2,Asfu_E175s2.pep.fa,Asfu_E175s2.dna.fa,Asfu_E175s2.gff3,Asfu_E175s2,Barber_cluster7
IN,Aspergillus fumigatus,E-1-65L-4,Asfu_E165L4.pep.fa,Asfu_E165L4.dna.fa,Asfu_E165L4.gff3,Asfu_E165L4,Barber_cluster2
IN,Aspergillus fumigatus,D-2-49L-5,Asfu_D249L5.pep.fa,Asfu_D249L5.dna.fa,Asfu_D249L5.gff3,Asfu_D249L5,Barber_cluster6
IN,Aspergillus fumigatus,D-2-47L-1,Asfu_D247L1.pep.fa,Asfu_D247L1.dna.fa,Asfu_D247L1.gff3,Asfu_D247L1,Barber_cluster2
IN,Aspergillus fumigatus,B-1-45-2,Asfu_B1452.pep.fa,Asfu_B1452.dna.fa,Asfu_B1452.gff3,Asfu_B1452,Barber_cluster6
IN,Aspergillus fumigatus,B-1-45-5,Asfu_B1455.pep.fa,Asfu_B1455.dna.fa,Asfu_B1455.gff3,Asfu_B1455,Barber_cluster6
IN,Aspergillus fumigatus,B-1-44-s,Asfu_B144s.pep.fa,Asfu_B144s.dna.fa,Asfu_B144s.gff3,Asfu_B144s,Barber_cluster4
