Short,Species,Strain,Group,TaxonGroup,Protein_Source,Protein_Accession,Taxon_ID,Genome_Source,Genome_Accession,GFF3_Source,GFF3_Accession
Aslen_ref,Aspergillus lentulus,OUT,,,uniprot,UP000465220,293939,ncbi,GCA_010724575.1,,
Neofi_ref,Aspergillus fischeri,OUT,,,uniprot,UP000006702,331117,ncbi,GCA_000149645.4,,
Asfu_niveus,Aspergillus fumigatus,niveus,INGROUP,,ncbi,GCA_000731615.1,746128,ncbi,GCA_000731615.1,,
Asfu_HMR_AF_270,Aspergillus fumigatus,HMR AF 270,INGROUP,,ncbi,GCA_002234955.1,746128,ncbi,GCA_002234955.1,,
Asfu_HMR_AF_706,Aspergillus fumigatus,HMR AF 706,INGROUP,,ncbi,GCA_002234985.1,746128,ncbi,GCA_002234985.1,,
Asfu_CNMCM8686,Aspergillus fumigatus,CNM-CM8686,INGROUP,,ncbi,GCA_012656115.1,746128,ncbi,GCA_012656115.1,,
Asfu_CNMCM8689,Aspergillus fumigatus,CNM-CM8689,INGROUP,,ncbi,GCA_012656125.1,746128,ncbi,GCA_012656125.1,,
Asfu_CNMCM8812,Aspergillus fumigatus,CNM-CM8812,INGROUP,,ncbi,GCA_012656165.1,746128,ncbi,GCA_012656165.1,,
Asfu_CNMCM8714,Aspergillus fumigatus,CNM-CM8714,INGROUP,,ncbi,GCA_012656185.1,746128,ncbi,GCA_012656185.1,,
Asfu_CNMCM8057,Aspergillus fumigatus,CNM-CM8057,INGROUP,,ncbi,GCA_012656215.1,746128,ncbi,GCA_012656215.1,,
Asfu_D228L1,Aspergillus fumigatus,D-2-28L-1,INGROUP,,ncbi,GCA_020498725.1,746128,ncbi,GCA_020498725.1,,
Asfu_B1265,Aspergillus fumigatus,B-1-26-5,INGROUP,,ncbi,GCA_020498735.1,746128,ncbi,GCA_020498735.1,,
Asfu_B1275,Aspergillus fumigatus,B-1-27-5,INGROUP,,ncbi,GCA_020498745.1,746128,ncbi,GCA_020498745.1,,
Asfu_E175s2,Aspergillus fumigatus,E-1-75s-2,INGROUP,,ncbi,GCA_020498755.1,746128,ncbi,GCA_020498755.1,,
Asfu_E165L4,Aspergillus fumigatus,E-1-65L-4,INGROUP,,ncbi,GCA_020498765.1,746128,ncbi,GCA_020498765.1,,
Asfu_D249L5,Aspergillus fumigatus,D-2-49L-5,INGROUP,,ncbi,GCA_020498805.1,746128,ncbi,GCA_020498805.1,,
Asfu_D247L1,Aspergillus fumigatus,D-2-47L-1,INGROUP,,ncbi,GCA_020498815.1,746128,ncbi,GCA_020498815.1,,
Asfu_B1452,Aspergillus fumigatus,B-1-45-2,INGROUP,,ncbi,GCA_020498865.1,746128,ncbi,GCA_020498865.1,,
Asfu_B1455,Aspergillus fumigatus,B-1-45-5,INGROUP,,ncbi,GCA_020498875.1,746128,ncbi,GCA_020498875.1,,
Asfu_B144s,Aspergillus fumigatus,B-1-44-s,INGROUP,,ncbi,GCA_020498885.1,746128,ncbi,GCA_020498885.1,,
Asfu_E165L2,Aspergillus fumigatus,E-1-65L-2,INGROUP,,ncbi,GCA_020498895.1,746128,ncbi,GCA_020498895.1,,
Asfu_E174s1,Aspergillus fumigatus,E-1-74s-1,INGROUP,,ncbi,GCA_020498905.1,746128,ncbi,GCA_020498905.1,,
Asfu_E170L5,Aspergillus fumigatus,E-1-70L-5,INGROUP,,ncbi,GCA_020498945.1,746128,ncbi,GCA_020498945.1,,
Asfu_B1431,Aspergillus fumigatus,B-1-43-1,INGROUP,,ncbi,GCA_020498965.1,746128,ncbi,GCA_020498965.1,,
Asfu_E170L4,Aspergillus fumigatus,E-1-70L-4,INGROUP,,ncbi,GCA_020498985.1,746128,ncbi,GCA_020498985.1,,
Asfu_C193L3,Aspergillus fumigatus,C-1-93L-3,INGROUP,,ncbi,GCA_020499005.1,746128,ncbi,GCA_020499005.1,,
Asfu_E175s1,Aspergillus fumigatus,E-1-75s-1,INGROUP,,ncbi,GCA_020499015.1,746128,ncbi,GCA_020499015.1,,
Asfu_D223L5,Aspergillus fumigatus,D-2-23L-5,INGROUP,,ncbi,GCA_020499035.1,746128,ncbi,GCA_020499035.1,,
Asfu_E1212,Aspergillus fumigatus,E-1-21-2,INGROUP,,ncbi,GCA_020499045.1,746128,ncbi,GCA_020499045.1,,
Asfu_E12510,Aspergillus fumigatus,E-1-25-10,INGROUP,,ncbi,GCA_020499075.1,746128,ncbi,GCA_020499075.1,,
Asfu_E171,Aspergillus fumigatus,E-1-7-1,INGROUP,,ncbi,GCA_020499115.1,746128,ncbi,GCA_020499115.1,,
Asfu_E1141,Aspergillus fumigatus,E-1-14-1,INGROUP,,ncbi,GCA_020499125.1,746128,ncbi,GCA_020499125.1,,
Asfu_E156s1,Aspergillus fumigatus,E-1-56s-1,INGROUP,,ncbi,GCA_020499135.1,746128,ncbi,GCA_020499135.1,,
Asfu_C151s1,Aspergillus fumigatus,C-1-51s-1,INGROUP,,ncbi,GCA_020499155.1,746128,ncbi,GCA_020499155.1,,
Asfu_D224s1,Aspergillus fumigatus,D-2-24s-1,INGROUP,,ncbi,GCA_020499185.1,746128,ncbi,GCA_020499185.1,,
Asfu_D217L1,Aspergillus fumigatus,D-2-17L-1,INGROUP,,ncbi,GCA_020499195.1,746128,ncbi,GCA_020499195.1,,
Asfu_C169L1,Aspergillus fumigatus,C-1-69L-1,INGROUP,,ncbi,GCA_020499225.1,746128,ncbi,GCA_020499225.1,,
Asfu_C172L1,Aspergillus fumigatus,C-1-72L-1,INGROUP,,ncbi,GCA_020499245.1,746128,ncbi,GCA_020499245.1,,
Asfu_D222s1,Aspergillus fumigatus,D-2-22s-1,INGROUP,,ncbi,GCA_020499255.1,746128,ncbi,GCA_020499255.1,,
Asfu_D225L2,Aspergillus fumigatus,D-2-25L-2,INGROUP,,ncbi,GCA_020499265.1,746128,ncbi,GCA_020499265.1,,
Asfu_D225L3,Aspergillus fumigatus,D-2-25L-3,INGROUP,,ncbi,GCA_020499315.1,746128,ncbi,GCA_020499315.1,,
Asfu_C133L1,Aspergillus fumigatus,C-1-33L-1,INGROUP,,ncbi,GCA_020499325.1,746128,ncbi,GCA_020499325.1,,
Asfu_C127s1,Aspergillus fumigatus,C-1-27s-1,INGROUP,,ncbi,GCA_020499335.1,746128,ncbi,GCA_020499335.1,,
Asfu_C16s2,Aspergillus fumigatus,C-1-6s-2,INGROUP,,ncbi,GCA_020499355.1,746128,ncbi,GCA_020499355.1,,
Asfu_E1351,Aspergillus fumigatus,E-1-35-1,INGROUP,,ncbi,GCA_020499395.1,746128,ncbi,GCA_020499395.1,,
Asfu_E133L1,Aspergillus fumigatus,E-1-33L-1,INGROUP,,ncbi,GCA_020499405.1,746128,ncbi,GCA_020499405.1,,
Asfu_E1491,Aspergillus fumigatus,E-1-49-1,INGROUP,,ncbi,GCA_020499415.1,746128,ncbi,GCA_020499415.1,,
Asfu_E1482,Aspergillus fumigatus,E-1-48-2,INGROUP,,ncbi,GCA_020499455.1,746128,ncbi,GCA_020499455.1,,
Asfu_C131L1,Aspergillus fumigatus,C-1-31L-1,INGROUP,,ncbi,GCA_020499475.1,746128,ncbi,GCA_020499475.1,,
Asfu_C128L2,Aspergillus fumigatus,C-1-28L-2,INGROUP,,ncbi,GCA_020499485.1,746128,ncbi,GCA_020499485.1,,
Asfu_C16s3,Aspergillus fumigatus,C-1-6s-3,INGROUP,,ncbi,GCA_020499495.1,746128,ncbi,GCA_020499495.1,,
Asfu_B1485,Aspergillus fumigatus,B-1-48-5,INGROUP,,ncbi,GCA_020499505.1,746128,ncbi,GCA_020499505.1,,
Asfu_B1321,Aspergillus fumigatus,B-1-32-1,INGROUP,,ncbi,GCA_020499565.1,746128,ncbi,GCA_020499565.1,,
Asfu_D22s2,Aspergillus fumigatus,D-2-2s-2,INGROUP,,ncbi,GCA_020499575.1,746128,ncbi,GCA_020499575.1,,
Asfu_D229s1,Aspergillus fumigatus,D-2-29s-1,INGROUP,,ncbi,GCA_020499585.1,746128,ncbi,GCA_020499585.1,,
Asfu_D235s1,Aspergillus fumigatus,D-2-35s-1,INGROUP,,ncbi,GCA_020499595.1,746128,ncbi,GCA_020499595.1,,
Asfu_D239L1,Aspergillus fumigatus,D-2-39L-1,INGROUP,,ncbi,GCA_020499605.1,746128,ncbi,GCA_020499605.1,,
Asfu_D243L2,Aspergillus fumigatus,D-2-43L-2,INGROUP,,ncbi,GCA_020499645.1,746128,ncbi,GCA_020499645.1,,
Asfu_NRZ2016141,Aspergillus fumigatus,NRZ-2016-141,INGROUP,,ncbi,GCA_020499675.1,746128,ncbi,GCA_020499675.1,,
Asfu_NRZ2016121,Aspergillus fumigatus,NRZ-2016-121,INGROUP,,ncbi,GCA_020499685.1,746128,ncbi,GCA_020499685.1,,
Asfu_NRZ2016342,Aspergillus fumigatus,NRZ-2016-342,INGROUP,,ncbi,GCA_020499695.1,746128,ncbi,GCA_020499695.1,,
Asfu_NRZ2016108,Aspergillus fumigatus,NRZ-2016-108,INGROUP,,ncbi,GCA_020499715.1,746128,ncbi,GCA_020499715.1,,
Asfu_NRZ2016071,Aspergillus fumigatus,NRZ-2016-071,INGROUP,,ncbi,GCA_020499755.1,746128,ncbi,GCA_020499755.1,,
Asfu_NRZ2018649,Aspergillus fumigatus,NRZ-2018-649,INGROUP,,ncbi,GCA_020499775.1,746128,ncbi,GCA_020499775.1,,
Asfu_NRZ2016063,Aspergillus fumigatus,NRZ-2016-063,INGROUP,,ncbi,GCA_020499785.1,746128,ncbi,GCA_020499785.1,,
Asfu_NRZ2018646,Aspergillus fumigatus,NRZ-2018-646,INGROUP,,ncbi,GCA_020499805.1,746128,ncbi,GCA_020499805.1,,
Asfu_NRZ2018539,Aspergillus fumigatus,NRZ-2018-539,INGROUP,,ncbi,GCA_020499815.1,746128,ncbi,GCA_020499815.1,,
Asfu_NRZ2018529,Aspergillus fumigatus,NRZ-2018-529,INGROUP,,ncbi,GCA_020499825.1,746128,ncbi,GCA_020499825.1,,
Asfu_NRZ2018396,Aspergillus fumigatus,NRZ-2018-396,INGROUP,,ncbi,GCA_020499865.1,746128,ncbi,GCA_020499865.1,,
Asfu_C160L1,Aspergillus fumigatus,C-1-60L-1,INGROUP,,ncbi,GCA_020499885.1,746128,ncbi,GCA_020499885.1,,
Asfu_B175L1,Aspergillus fumigatus,B-1-75L-1,INGROUP,,ncbi,GCA_020499905.1,746128,ncbi,GCA_020499905.1,,
Asfu_B167L1,Aspergillus fumigatus,B-1-67L-1,INGROUP,,ncbi,GCA_020499915.1,746128,ncbi,GCA_020499915.1,,
Asfu_B168s1,Aspergillus fumigatus,B-1-68s-1,INGROUP,,ncbi,GCA_020499935.1,746128,ncbi,GCA_020499935.1,,
Asfu_B166s1,Aspergillus fumigatus,B-1-66s-1,INGROUP,,ncbi,GCA_020499975.1,746128,ncbi,GCA_020499975.1,,
Asfu_B163s1,Aspergillus fumigatus,B-1-63s-1,INGROUP,,ncbi,GCA_020499985.1,746128,ncbi,GCA_020499985.1,,
Asfu_B170s1,Aspergillus fumigatus,B-1-70s-1,INGROUP,,ncbi,GCA_020499995.1,746128,ncbi,GCA_020499995.1,,
Asfu_B169L1,Aspergillus fumigatus,B-1-69L-1,INGROUP,,ncbi,GCA_020500025.1,746128,ncbi,GCA_020500025.1,,
Asfu_C172s2,Aspergillus fumigatus,C-1-72s-2,INGROUP,,ncbi,GCA_020500065.1,746128,ncbi,GCA_020500065.1,,
Asfu_B171L1,Aspergillus fumigatus,B-1-71L-1,INGROUP,,ncbi,GCA_020500075.1,746128,ncbi,GCA_020500075.1,,
Asfu_C176s1,Aspergillus fumigatus,C-1-76s-1,INGROUP,,ncbi,GCA_020500085.1,746128,ncbi,GCA_020500085.1,,
Asfu_D238L1,Aspergillus fumigatus,D-2-38L-1,INGROUP,,ncbi,GCA_020500105.1,746128,ncbi,GCA_020500105.1,,
