Short	Complete_pct	Single_pct	Duplicated_pct	Fragmented_pct	Missing_pct	n_BUSCOs	Scaffolds	Contigs	Total_length	Percent_gaps
Asfu_0030661546_AFU_2506	99.0	98.8	0.3	0.4	0.5	1122	152	195	29410496	0.009
Asfu_0040668669_AFU_3006	99.1	98.8	0.3	0.4	0.5	1122	102	135	27598660	0.009
Asfu_0040673067_AFU_3006	99.1	98.9	0.2	0.4	0.4	1122	110	137	28366050	0.003
Asfu_0040675686_AFU_3006	99.0	98.8	0.3	0.4	0.6	1122	135	171	27792231	0.009
Asfu_0040676010_AFU_3006	99.0	98.8	0.2	0.4	0.5	1122	110	132	28356161	0.003
Asfu_0040676907_AFU_2506	98.9	98.7	0.3	0.4	0.7	1122	156	195	29517944	0.008
Asfu_0040679185_AFU_3006	99.1	98.8	0.3	0.4	0.4	1122	155	189	28838888	0.008
Asfu_070_0170BAL1	99.0	98.8	0.2	0.5	0.4	1122	93	111	28574449	0.002
Asfu_08190230	99.1	98.8	0.3	0.4	0.4	1122	16	16	29063333	0.000
Asfu_4710	99.0	98.6	0.4	0.4	0.5	1122	12	12	29164066	0.000
Asfu_474	99.1	98.9	0.2	0.4	0.4	1122	26	26	29095063	0.000
Asfu_51TA	99.1	98.9	0.2	0.4	0.4	1122	87	111	28249281	0.003
Asfu_A1163	98.8	98.6	0.3	0.4	0.7	1122	32	200	29174577	0.372
Asfu_A226s2	99.1	98.9	0.2	0.4	0.4	1122	461	461	28438661	0.000
Asfu_A227s1	98.9	98.8	0.2	0.6	0.4	1122	426	426	28187794	0.000
Asfu_A234L2	98.5	98.2	0.3	0.7	0.8	1122	647	647	27623983	0.000
Asfu_A235L1	98.6	98.4	0.2	0.8	0.6	1122	582	582	27715326	0.000
Asfu_A235s1	98.9	98.8	0.2	0.4	0.6	1122	537	537	27638782	0.000
Asfu_A236s3	98.8	98.6	0.2	0.6	0.6	1122	573	573	27562632	0.000
Asfu_A243L2	98.7	98.5	0.2	0.6	0.7	1122	595	595	27848613	0.000
Asfu_A244L2	98.6	98.4	0.2	0.8	0.6	1122	600	600	27986019	0.000
Asfu_A245L5	98.8	98.7	0.2	0.5	0.6	1122	556	556	28343697	0.000
Asfu_A247L2	98.9	98.8	0.2	0.5	0.5	1122	393	393	28106554	0.000
Asfu_A247s3	98.8	98.7	0.2	0.6	0.5	1122	551	551	28094856	0.000
Asfu_A248s2	98.9	98.8	0.2	0.5	0.5	1122	680	681	28545083	0.000
Asfu_A249L2	98.8	98.7	0.2	0.5	0.6	1122	635	635	27656720	0.000
Asfu_A249L5	98.9	98.8	0.2	0.5	0.5	1122	400	400	28202446	0.000
Asfu_A330s2	98.9	98.8	0.2	0.6	0.4	1122	584	584	28456015	0.000
Asfu_A337s1	98.7	98.5	0.2	0.5	0.8	1122	480	480	27549654	0.000
Asfu_A340L1	98.8	98.5	0.3	0.6	0.6	1122	485	485	28108325	0.000
Asfu_A343s1	98.8	98.5	0.3	0.5	0.7	1122	484	484	27493876	0.000
Asfu_A345L2	98.7	98.5	0.2	0.8	0.5	1122	624	624	28406238	0.000
Asfu_A346s1	99.0	98.6	0.4	0.4	0.6	1122	619	619	27988699	0.000
Asfu_AF1009B	98.9	98.8	0.2	0.5	0.5	1122	9	9	28371457	0.000
Asfu_ATCC_13073	99.0	98.8	0.2	0.4	0.6	1122	9	9	28627188	0.000
Asfu_ATCC_42202	98.9	98.8	0.2	0.4	0.7	1122	15	15	28891284	0.000
Asfu_ATCC_46645	99.1	98.9	0.2	0.4	0.5	1122	20	20	30526740	0.000
Asfu_Af293	98.8	98.5	0.4	0.3	0.9	1122	8	19	29384958	1.957
Asfu_AfB2	98.0	97.8	0.2	0.8	1.2	1122	246	246	28096561	0.000
Asfu_AfB6	98.3	98.1	0.2	0.8	0.9	1122	216	216	27946110	0.000
Asfu_AfB7	97.9	97.7	0.2	0.8	1.3	1122	261	261	27922046	0.000
Asfu_AfB8	97.9	97.8	0.1	0.8	1.3	1122	260	260	28026996	0.000
Asfu_B1265	98.7	98.5	0.2	0.8	0.5	1122	602	602	27331522	0.000
Asfu_B1275	98.7	98.5	0.2	0.9	0.4	1122	612	612	27890898	0.000
Asfu_B1301	98.9	98.7	0.3	0.4	0.6	1122	603	603	28204945	0.000
Asfu_B1321	98.7	98.5	0.2	0.7	0.6	1122	576	576	27872757	0.000
