label	direction	other_evalue	n_candidates	shared_default	tblastn_other_hit	tblastn_no_hit	tblastn_unknown	tblastn_hit_frac_of_known
agaricomycetes_default	gain	1e-05	9441	9441	2707	6734	0	0.2867
agaricomycetes_default	gain	1e-10	10104	9441	2734	6743	627	0.2885
agaricomycetes_default	gain	1e-20	11448	9441	2753	6747	1948	0.2898
agaricomycetes_default	gain	1e-30	13226	9441	2753	6747	3726	0.2898
agaricomycetes_default	loss	1e-05	215	215	96	119	0	0.4465
agaricomycetes_default	loss	1e-10	277	215	96	119	62	0.4465
agaricomycetes_default	loss	1e-20	515	215	96	120	299	0.4444
agaricomycetes_default	loss	1e-30	973	215	96	120	757	0.4444
agaricomycetes_very_sensitive	gain	1e-05	9961	6553	908	9053	0	0.0912
agaricomycetes_very_sensitive	gain	1e-10	11687	7541	1372	9577	738	0.1253
agaricomycetes_very_sensitive	gain	1e-20	14018	8410	1999	9819	2200	0.1691
agaricomycetes_very_sensitive	gain	1e-30	16489	8962	2495	9875	4119	0.2017
agaricomycetes_very_sensitive	loss	1e-05	241	92	25	216	0	0.1037
agaricomycetes_very_sensitive	loss	1e-10	471	118	38	229	204	0.1423
agaricomycetes_very_sensitive	loss	1e-20	1228	147	53	243	932	0.1791
agaricomycetes_very_sensitive	loss	1e-30	2264	178	77	250	1937	0.2355
pezizo_set1_default	gain	1e-05	3515	3515	1599	1916	0	0.4549
pezizo_set1_default	gain	1e-10	4199	3515	1612	1921	666	0.4563
pezizo_set1_default	gain	1e-20	5739	3515	1627	1923	2189	0.4583
pezizo_set1_default	gain	1e-30	7517	3515	1627	1923	3967	0.4583
pezizo_set1_default	loss	1e-05	101	101	70	31	0	0.6931
pezizo_set1_default	loss	1e-10	173	101	70	31	72	0.6931
pezizo_set1_default	loss	1e-20	498	101	72	31	395	0.699
pezizo_set1_default	loss	1e-30	1263	101	72	31	1160	0.699
pezizo_set1_very_sensitive	gain	1e-05	3193	1755	439	2754	0	0.1375
pezizo_set1_very_sensitive	gain	1e-10	4794	2274	714	2998	1082	0.1923
pezizo_set1_very_sensitive	gain	1e-20	7403	2818	1141	3115	3147	0.2681
pezizo_set1_very_sensitive	gain	1e-30	10130	3170	1470	3138	5522	0.319
pezizo_set1_very_sensitive	loss	1e-05	141	28	46	95	0	0.3262
pezizo_set1_very_sensitive	loss	1e-10	524	37	49	101	374	0.3267
pezizo_set1_very_sensitive	loss	1e-20	1888	56	67	102	1719	0.3964
pezizo_set1_very_sensitive	loss	1e-30	3751	69	80	102	3569	0.4396
sordariales_shallow_default	gain	1e-05	568	568	307	261	0	0.5405
sordariales_shallow_default	gain	1e-10	704	568	307	264	133	0.5377
sordariales_shallow_default	gain	1e-20	1239	568	309	264	666	0.5393
sordariales_shallow_default	gain	1e-30	2029	568	309	264	1456	0.5393
sordariales_shallow_default	loss	1e-05	1620	1620	1031	589	0	0.6364
sordariales_shallow_default	loss	1e-10	2126	1620	1037	592	497	0.6366
sordariales_shallow_default	loss	1e-20	3433	1620	1049	592	1792	0.6392
sordariales_shallow_default	loss	1e-30	5618	1620	1049	592	3977	0.6392
sordariales_shallow_very_sensitive	gain	1e-05	509	280	127	382	0	0.2495
sordariales_shallow_very_sensitive	gain	1e-10	881	368	179	418	284	0.2998
sordariales_shallow_very_sensitive	gain	1e-20	1712	467	270	426	1016	0.3879
sordariales_shallow_very_sensitive	gain	1e-30	2791	516	319	426	2046	0.4282
sordariales_shallow_very_sensitive	loss	1e-05	1330	648	445	885	0	0.3346
sordariales_shallow_very_sensitive	loss	1e-10	2622	866	579	969	1074	0.374
sordariales_shallow_very_sensitive	loss	1e-20	4948	1072	752	1002	3194	0.4287
sordariales_shallow_very_sensitive	loss	1e-30	8574	1308	988	1002	6584	0.4965
